Query 64: list all articles on el1 and acl el1 may be given as el 1 i don t remember how they did it 

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  1.000
02  	  N  	  0.500  	  1.000
03  	  N  	  0.333  	  1.000
04  	  N  	  0.250  	  1.000
05  	  N  	  0.200  	  1.000
06  	  N  	  0.167  	  1.000
07  	  N  	  0.143  	  1.000
08  	  N  	  0.125  	  1.000
09  	  N  	  0.111  	  1.000
10  	  N  	  0.100  	  1.000
11  	  N  	  0.091  	  1.000
12  	  N  	  0.083  	  1.000
13  	  N  	  0.077  	  1.000
14  	  N  	  0.071  	  1.000
15  	  N  	  0.067  	  1.000
16  	  N  	  0.062  	  1.000
17  	  N  	  0.059  	  1.000
18  	  N  	  0.056  	  1.000
19  	  N  	  0.053  	  1.000
20  	  N  	  0.050  	  1.000
21  	  N  	  0.048  	  1.000
22  	  N  	  0.045  	  1.000
23  	  N  	  0.043  	  1.000
24  	  N  	  0.042  	  1.000
25  	  N  	  0.040  	  1.000
26  	  N  	  0.038  	  1.000
27  	  N  	  0.037  	  1.000
28  	  N  	  0.036  	  1.000
29  	  N  	  0.034  	  1.000
30  	  N  	  0.033  	  1.000
31  	  N  	  0.032  	  1.000
32  	  N  	  0.031  	  1.000
33  	  N  	  0.030  	  1.000
34  	  N  	  0.029  	  1.000
35  	  N  	  0.029  	  1.000
36  	  N  	  0.028  	  1.000
37  	  N  	  0.027  	  1.000
38  	  N  	  0.026  	  1.000
39  	  N  	  0.026  	  1.000
40  	  N  	  0.025  	  1.000
41  	  N  	  0.024  	  1.000
42  	  N  	  0.024  	  1.000
43  	  N  	  0.023  	  1.000
44  	  N  	  0.023  	  1.000
45  	  N  	  0.022  	  1.000
46  	  N  	  0.022  	  1.000
47  	  N  	  0.021  	  1.000
48  	  N  	  0.021  	  1.000
49  	  N  	  0.020  	  1.000
50  	  N  	  0.020  	  1.000
51  	  N  	  0.020  	  1.000
52  	  N  	  0.019  	  1.000
53  	  N  	  0.019  	  1.000
54  	  N  	  0.019  	  1.000
55  	  N  	  0.018  	  1.000
56  	  N  	  0.018  	  1.000
57  	  N  	  0.018  	  1.000
58  	  N  	  0.017  	  1.000
59  	  N  	  0.017  	  1.000
60  	  N  	  0.017  	  1.000
61  	  N  	  0.016  	  1.000
62  	  N  	  0.016  	  1.000
63  	  N  	  0.016  	  1.000
64  	  N  	  0.016  	  1.000
65  	  N  	  0.015  	  1.000
66  	  N  	  0.015  	  1.000
67  	  N  	  0.015  	  1.000
68  	  N  	  0.015  	  1.000
69  	  N  	  0.014  	  1.000
70  	  N  	  0.014  	  1.000
71  	  N  	  0.014  	  1.000
72  	  N  	  0.014  	  1.000
73  	  N  	  0.014  	  1.000
74  	  N  	  0.014  	  1.000
75  	  N  	  0.013  	  1.000
76  	  N  	  0.013  	  1.000
77  	  N  	  0.013  	  1.000
78  	  N  	  0.013  	  1.000
79  	  N  	  0.013  	  1.000
80  	  N  	  0.013  	  1.000
81  	  N  	  0.012  	  1.000
82  	  N  	  0.012  	  1.000
83  	  N  	  0.012  	  1.000
84  	  N  	  0.012  	  1.000
85  	  N  	  0.012  	  1.000
86  	  N  	  0.012  	  1.000
87  	  N  	  0.011  	  1.000
88  	  N  	  0.011  	  1.000
89  	  N  	  0.011  	  1.000
90  	  N  	  0.011  	  1.000
91  	  N  	  0.011  	  1.000
92  	  N  	  0.011  	  1.000
93  	  N  	  0.011  	  1.000
94  	  N  	  0.011  	  1.000
95  	  N  	  0.011  	  1.000
96  	  N  	  0.010  	  1.000
97  	  N  	  0.010  	  1.000
98  	  N  	  0.010  	  1.000
99  	  N  	  0.010  	  1.000
100  	  N  	  0.010  	  1.000
