Query 10: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.029
02  	  N  	  0.500  	  0.029
03  	  R  	  0.667  	  0.057
04  	  N  	  0.500  	  0.057
05  	  R  	  0.600  	  0.086
06  	  R  	  0.667  	  0.114
07  	  R  	  0.714  	  0.143
08  	  R  	  0.750  	  0.171
09  	  N  	  0.667  	  0.171
10  	  N  	  0.600  	  0.171
11  	  R  	  0.636  	  0.200
12  	  R  	  0.667  	  0.229
13  	  N  	  0.615  	  0.229
14  	  R  	  0.643  	  0.257
15  	  R  	  0.667  	  0.286
16  	  R  	  0.688  	  0.314
17  	  R  	  0.706  	  0.343
18  	  N  	  0.667  	  0.343
19  	  R  	  0.684  	  0.371
20  	  N  	  0.650  	  0.371
21  	  N  	  0.619  	  0.371
22  	  N  	  0.591  	  0.371
23  	  R  	  0.609  	  0.400
24  	  R  	  0.625  	  0.429
25  	  N  	  0.600  	  0.429
26  	  N  	  0.577  	  0.429
27  	  N  	  0.556  	  0.429
28  	  N  	  0.536  	  0.429
29  	  N  	  0.517  	  0.429
30  	  R  	  0.533  	  0.457
31  	  N  	  0.516  	  0.457
32  	  N  	  0.500  	  0.457
33  	  N  	  0.485  	  0.457
34  	  N  	  0.471  	  0.457
35  	  N  	  0.457  	  0.457
36  	  N  	  0.444  	  0.457
37  	  N  	  0.432  	  0.457
38  	  N  	  0.421  	  0.457
39  	  N  	  0.410  	  0.457
40  	  N  	  0.400  	  0.457
41  	  N  	  0.390  	  0.457
42  	  N  	  0.381  	  0.457
43  	  N  	  0.372  	  0.457
44  	  N  	  0.364  	  0.457
45  	  N  	  0.356  	  0.457
46  	  N  	  0.348  	  0.457
47  	  N  	  0.340  	  0.457
48  	  N  	  0.333  	  0.457
49  	  N  	  0.327  	  0.457
50  	  N  	  0.320  	  0.457
51  	  N  	  0.314  	  0.457
52  	  N  	  0.308  	  0.457
53  	  N  	  0.302  	  0.457
54  	  N  	  0.296  	  0.457
55  	  N  	  0.291  	  0.457
56  	  N  	  0.286  	  0.457
57  	  N  	  0.281  	  0.457
58  	  N  	  0.276  	  0.457
59  	  N  	  0.271  	  0.457
60  	  N  	  0.267  	  0.457
61  	  N  	  0.262  	  0.457
62  	  N  	  0.258  	  0.457
63  	  N  	  0.254  	  0.457
64  	  N  	  0.250  	  0.457
65  	  N  	  0.246  	  0.457
66  	  R  	  0.258  	  0.486
67  	  N  	  0.254  	  0.486
68  	  N  	  0.250  	  0.486
69  	  N  	  0.246  	  0.486
70  	  N  	  0.243  	  0.486
71  	  N  	  0.239  	  0.486
72  	  N  	  0.236  	  0.486
73  	  N  	  0.233  	  0.486
74  	  N  	  0.230  	  0.486
75  	  N  	  0.227  	  0.486
76  	  N  	  0.224  	  0.486
77  	  N  	  0.221  	  0.486
78  	  N  	  0.218  	  0.486
79  	  N  	  0.215  	  0.486
80  	  N  	  0.212  	  0.486
81  	  N  	  0.210  	  0.486
82  	  N  	  0.207  	  0.486
83  	  R  	  0.217  	  0.514
84  	  N  	  0.214  	  0.514
85  	  N  	  0.212  	  0.514
86  	  N  	  0.209  	  0.514
87  	  N  	  0.207  	  0.514
88  	  N  	  0.205  	  0.514
89  	  N  	  0.202  	  0.514
90  	  N  	  0.200  	  0.514
91  	  R  	  0.209  	  0.543
92  	  N  	  0.207  	  0.543
93  	  N  	  0.204  	  0.543
94  	  N  	  0.202  	  0.543
95  	  N  	  0.200  	  0.543
96  	  N  	  0.198  	  0.543
97  	  N  	  0.196  	  0.543
98  	  N  	  0.194  	  0.543
99  	  N  	  0.192  	  0.543
100  	  N  	  0.190  	  0.543
