Query 16: find all descriptions of file handling in operating systems based on multiple processes and message passing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.059
03  	  N  	  0.333  	  0.059
04  	  N  	  0.250  	  0.059
05  	  N  	  0.200  	  0.059
06  	  N  	  0.167  	  0.059
07  	  N  	  0.143  	  0.059
08  	  N  	  0.125  	  0.059
09  	  N  	  0.111  	  0.059
10  	  N  	  0.100  	  0.059
11  	  N  	  0.091  	  0.059
12  	  N  	  0.083  	  0.059
13  	  N  	  0.077  	  0.059
14  	  N  	  0.071  	  0.059
15  	  N  	  0.067  	  0.059
16  	  N  	  0.062  	  0.059
17  	  R  	  0.118  	  0.118
18  	  N  	  0.111  	  0.118
19  	  N  	  0.105  	  0.118
20  	  N  	  0.100  	  0.118
21  	  N  	  0.095  	  0.118
22  	  R  	  0.136  	  0.176
23  	  N  	  0.130  	  0.176
24  	  N  	  0.125  	  0.176
25  	  R  	  0.160  	  0.235
26  	  N  	  0.154  	  0.235
27  	  N  	  0.148  	  0.235
28  	  N  	  0.143  	  0.235
29  	  N  	  0.138  	  0.235
30  	  N  	  0.133  	  0.235
31  	  N  	  0.129  	  0.235
32  	  N  	  0.125  	  0.235
33  	  N  	  0.121  	  0.235
34  	  N  	  0.118  	  0.235
35  	  N  	  0.114  	  0.235
36  	  N  	  0.111  	  0.235
37  	  N  	  0.108  	  0.235
38  	  N  	  0.105  	  0.235
39  	  N  	  0.103  	  0.235
40  	  N  	  0.100  	  0.235
41  	  N  	  0.098  	  0.235
42  	  N  	  0.095  	  0.235
43  	  N  	  0.093  	  0.235
44  	  N  	  0.091  	  0.235
45  	  N  	  0.089  	  0.235
46  	  N  	  0.087  	  0.235
47  	  N  	  0.085  	  0.235
48  	  R  	  0.104  	  0.294
49  	  N  	  0.102  	  0.294
50  	  N  	  0.100  	  0.294
51  	  N  	  0.098  	  0.294
52  	  N  	  0.096  	  0.294
53  	  N  	  0.094  	  0.294
54  	  N  	  0.093  	  0.294
55  	  R  	  0.109  	  0.353
56  	  N  	  0.107  	  0.353
57  	  N  	  0.105  	  0.353
58  	  N  	  0.103  	  0.353
59  	  N  	  0.102  	  0.353
60  	  N  	  0.100  	  0.353
61  	  N  	  0.098  	  0.353
62  	  N  	  0.097  	  0.353
63  	  N  	  0.095  	  0.353
64  	  N  	  0.094  	  0.353
65  	  N  	  0.092  	  0.353
66  	  N  	  0.091  	  0.353
67  	  N  	  0.090  	  0.353
68  	  N  	  0.088  	  0.353
69  	  N  	  0.087  	  0.353
70  	  R  	  0.100  	  0.412
71  	  N  	  0.099  	  0.412
72  	  N  	  0.097  	  0.412
73  	  N  	  0.096  	  0.412
74  	  N  	  0.095  	  0.412
75  	  N  	  0.093  	  0.412
76  	  N  	  0.092  	  0.412
77  	  N  	  0.091  	  0.412
78  	  N  	  0.090  	  0.412
79  	  N  	  0.089  	  0.412
80  	  N  	  0.087  	  0.412
81  	  N  	  0.086  	  0.412
82  	  N  	  0.085  	  0.412
83  	  N  	  0.084  	  0.412
84  	  N  	  0.083  	  0.412
85  	  N  	  0.082  	  0.412
86  	  N  	  0.081  	  0.412
87  	  N  	  0.080  	  0.412
88  	  N  	  0.080  	  0.412
89  	  N  	  0.079  	  0.412
90  	  N  	  0.078  	  0.412
91  	  N  	  0.077  	  0.412
92  	  N  	  0.076  	  0.412
93  	  N  	  0.075  	  0.412
94  	  N  	  0.074  	  0.412
95  	  N  	  0.074  	  0.412
96  	  R  	  0.083  	  0.471
97  	  N  	  0.082  	  0.471
98  	  N  	  0.082  	  0.471
99  	  N  	  0.081  	  0.471
100  	  N  	  0.080  	  0.471
