Query 37: articles describing the relationship between data types and concurrency e g what is the type of a process when is a synchronization attempt between two processes type correct in a message passing system is there any notion of the types of messages i e any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  N  	  0.250  	  0.083
05  	  N  	  0.200  	  0.083
06  	  R  	  0.333  	  0.167
07  	  N  	  0.286  	  0.167
08  	  R  	  0.375  	  0.250
09  	  N  	  0.333  	  0.250
10  	  N  	  0.300  	  0.250
11  	  N  	  0.273  	  0.250
12  	  N  	  0.250  	  0.250
13  	  R  	  0.308  	  0.333
14  	  N  	  0.286  	  0.333
15  	  N  	  0.267  	  0.333
16  	  R  	  0.312  	  0.417
17  	  N  	  0.294  	  0.417
18  	  N  	  0.278  	  0.417
19  	  N  	  0.263  	  0.417
20  	  N  	  0.250  	  0.417
21  	  N  	  0.238  	  0.417
22  	  N  	  0.227  	  0.417
23  	  N  	  0.217  	  0.417
24  	  N  	  0.208  	  0.417
25  	  N  	  0.200  	  0.417
26  	  N  	  0.192  	  0.417
27  	  N  	  0.185  	  0.417
28  	  N  	  0.179  	  0.417
29  	  N  	  0.172  	  0.417
30  	  N  	  0.167  	  0.417
31  	  N  	  0.161  	  0.417
32  	  N  	  0.156  	  0.417
33  	  N  	  0.152  	  0.417
34  	  N  	  0.147  	  0.417
35  	  N  	  0.143  	  0.417
36  	  N  	  0.139  	  0.417
37  	  N  	  0.135  	  0.417
38  	  N  	  0.132  	  0.417
39  	  N  	  0.128  	  0.417
40  	  N  	  0.125  	  0.417
41  	  N  	  0.122  	  0.417
42  	  N  	  0.119  	  0.417
43  	  N  	  0.116  	  0.417
44  	  N  	  0.114  	  0.417
45  	  N  	  0.111  	  0.417
46  	  N  	  0.109  	  0.417
47  	  N  	  0.106  	  0.417
48  	  N  	  0.104  	  0.417
49  	  N  	  0.102  	  0.417
50  	  N  	  0.100  	  0.417
51  	  N  	  0.098  	  0.417
52  	  N  	  0.096  	  0.417
53  	  N  	  0.094  	  0.417
54  	  N  	  0.093  	  0.417
55  	  N  	  0.091  	  0.417
56  	  N  	  0.089  	  0.417
57  	  N  	  0.088  	  0.417
58  	  N  	  0.086  	  0.417
59  	  N  	  0.085  	  0.417
60  	  N  	  0.083  	  0.417
61  	  N  	  0.082  	  0.417
62  	  N  	  0.081  	  0.417
63  	  N  	  0.079  	  0.417
64  	  N  	  0.078  	  0.417
65  	  N  	  0.077  	  0.417
66  	  N  	  0.076  	  0.417
67  	  N  	  0.075  	  0.417
68  	  N  	  0.074  	  0.417
69  	  N  	  0.072  	  0.417
70  	  N  	  0.071  	  0.417
71  	  N  	  0.070  	  0.417
72  	  N  	  0.069  	  0.417
73  	  N  	  0.068  	  0.417
74  	  N  	  0.068  	  0.417
75  	  N  	  0.067  	  0.417
76  	  N  	  0.066  	  0.417
77  	  N  	  0.065  	  0.417
78  	  N  	  0.064  	  0.417
79  	  N  	  0.063  	  0.417
80  	  N  	  0.062  	  0.417
81  	  N  	  0.062  	  0.417
82  	  N  	  0.061  	  0.417
83  	  N  	  0.060  	  0.417
84  	  N  	  0.060  	  0.417
85  	  N  	  0.059  	  0.417
86  	  N  	  0.058  	  0.417
87  	  N  	  0.057  	  0.417
88  	  N  	  0.057  	  0.417
89  	  N  	  0.056  	  0.417
90  	  N  	  0.056  	  0.417
91  	  N  	  0.055  	  0.417
92  	  N  	  0.054  	  0.417
93  	  N  	  0.054  	  0.417
94  	  N  	  0.053  	  0.417
95  	  N  	  0.053  	  0.417
96  	  N  	  0.052  	  0.417
97  	  N  	  0.052  	  0.417
98  	  N  	  0.051  	  0.417
99  	  N  	  0.051  	  0.417
100  	  N  	  0.050  	  0.417
