Query 38: what is the type of a module i don t want the entire literature on abstract data types here but i m not sure how to phrase this to avoid it i m interested in questions about how one can check that a module matches contexts in which it is used

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  R  	  0.077  	  0.062
14  	  N  	  0.071  	  0.062
15  	  N  	  0.067  	  0.062
16  	  N  	  0.062  	  0.062
17  	  N  	  0.059  	  0.062
18  	  N  	  0.056  	  0.062
19  	  N  	  0.053  	  0.062
20  	  N  	  0.050  	  0.062
21  	  N  	  0.048  	  0.062
22  	  N  	  0.045  	  0.062
23  	  N  	  0.043  	  0.062
24  	  N  	  0.042  	  0.062
25  	  R  	  0.080  	  0.125
26  	  N  	  0.077  	  0.125
27  	  N  	  0.074  	  0.125
28  	  N  	  0.071  	  0.125
29  	  N  	  0.069  	  0.125
30  	  N  	  0.067  	  0.125
31  	  N  	  0.065  	  0.125
32  	  N  	  0.062  	  0.125
33  	  N  	  0.061  	  0.125
34  	  N  	  0.059  	  0.125
35  	  N  	  0.057  	  0.125
36  	  N  	  0.056  	  0.125
37  	  N  	  0.054  	  0.125
38  	  N  	  0.053  	  0.125
39  	  N  	  0.051  	  0.125
40  	  N  	  0.050  	  0.125
41  	  N  	  0.049  	  0.125
42  	  N  	  0.048  	  0.125
43  	  N  	  0.047  	  0.125
44  	  N  	  0.045  	  0.125
45  	  N  	  0.044  	  0.125
46  	  N  	  0.043  	  0.125
47  	  N  	  0.043  	  0.125
48  	  N  	  0.042  	  0.125
49  	  N  	  0.041  	  0.125
50  	  N  	  0.040  	  0.125
51  	  N  	  0.039  	  0.125
52  	  N  	  0.038  	  0.125
53  	  N  	  0.038  	  0.125
54  	  N  	  0.037  	  0.125
55  	  N  	  0.036  	  0.125
56  	  N  	  0.036  	  0.125
57  	  N  	  0.035  	  0.125
58  	  N  	  0.034  	  0.125
59  	  N  	  0.034  	  0.125
60  	  N  	  0.033  	  0.125
61  	  N  	  0.033  	  0.125
62  	  N  	  0.032  	  0.125
63  	  N  	  0.032  	  0.125
64  	  N  	  0.031  	  0.125
65  	  N  	  0.031  	  0.125
66  	  N  	  0.030  	  0.125
67  	  N  	  0.030  	  0.125
68  	  N  	  0.029  	  0.125
69  	  N  	  0.029  	  0.125
70  	  N  	  0.029  	  0.125
71  	  R  	  0.042  	  0.188
72  	  N  	  0.042  	  0.188
73  	  N  	  0.041  	  0.188
74  	  N  	  0.041  	  0.188
75  	  N  	  0.040  	  0.188
76  	  N  	  0.039  	  0.188
77  	  N  	  0.039  	  0.188
78  	  N  	  0.038  	  0.188
79  	  N  	  0.038  	  0.188
80  	  N  	  0.037  	  0.188
81  	  N  	  0.037  	  0.188
82  	  N  	  0.037  	  0.188
83  	  N  	  0.036  	  0.188
84  	  N  	  0.036  	  0.188
85  	  N  	  0.035  	  0.188
86  	  N  	  0.035  	  0.188
87  	  N  	  0.034  	  0.188
88  	  N  	  0.034  	  0.188
89  	  N  	  0.034  	  0.188
90  	  N  	  0.033  	  0.188
91  	  N  	  0.033  	  0.188
92  	  N  	  0.033  	  0.188
93  	  N  	  0.032  	  0.188
94  	  N  	  0.032  	  0.188
95  	  N  	  0.032  	  0.188
96  	  N  	  0.031  	  0.188
97  	  N  	  0.031  	  0.188
98  	  N  	  0.031  	  0.188
99  	  N  	  0.030  	  0.188
100  	  N  	  0.030  	  0.188
