Query 39: what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer supplied definitions of operators like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  N  	  0.250  	  0.083
05  	  R  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  N  	  0.286  	  0.167
08  	  N  	  0.250  	  0.167
09  	  N  	  0.222  	  0.167
10  	  N  	  0.200  	  0.167
11  	  N  	  0.182  	  0.167
12  	  N  	  0.167  	  0.167
13  	  N  	  0.154  	  0.167
14  	  N  	  0.143  	  0.167
15  	  R  	  0.200  	  0.250
16  	  N  	  0.188  	  0.250
17  	  N  	  0.176  	  0.250
18  	  N  	  0.167  	  0.250
19  	  N  	  0.158  	  0.250
20  	  N  	  0.150  	  0.250
21  	  R  	  0.190  	  0.333
22  	  N  	  0.182  	  0.333
23  	  N  	  0.174  	  0.333
24  	  R  	  0.208  	  0.417
25  	  R  	  0.240  	  0.500
26  	  N  	  0.231  	  0.500
27  	  N  	  0.222  	  0.500
28  	  N  	  0.214  	  0.500
29  	  N  	  0.207  	  0.500
30  	  N  	  0.200  	  0.500
31  	  N  	  0.194  	  0.500
32  	  N  	  0.188  	  0.500
33  	  N  	  0.182  	  0.500
34  	  N  	  0.176  	  0.500
35  	  N  	  0.171  	  0.500
36  	  R  	  0.194  	  0.583
37  	  N  	  0.189  	  0.583
38  	  R  	  0.211  	  0.667
39  	  N  	  0.205  	  0.667
40  	  N  	  0.200  	  0.667
41  	  N  	  0.195  	  0.667
42  	  N  	  0.190  	  0.667
43  	  N  	  0.186  	  0.667
44  	  N  	  0.182  	  0.667
45  	  N  	  0.178  	  0.667
46  	  N  	  0.174  	  0.667
47  	  N  	  0.170  	  0.667
48  	  N  	  0.167  	  0.667
49  	  N  	  0.163  	  0.667
50  	  N  	  0.160  	  0.667
51  	  N  	  0.157  	  0.667
52  	  N  	  0.154  	  0.667
53  	  N  	  0.151  	  0.667
54  	  N  	  0.148  	  0.667
55  	  N  	  0.145  	  0.667
56  	  N  	  0.143  	  0.667
57  	  N  	  0.140  	  0.667
58  	  N  	  0.138  	  0.667
59  	  N  	  0.136  	  0.667
60  	  N  	  0.133  	  0.667
61  	  N  	  0.131  	  0.667
62  	  N  	  0.129  	  0.667
63  	  N  	  0.127  	  0.667
64  	  N  	  0.125  	  0.667
65  	  N  	  0.123  	  0.667
66  	  N  	  0.121  	  0.667
67  	  N  	  0.119  	  0.667
68  	  N  	  0.118  	  0.667
69  	  N  	  0.116  	  0.667
70  	  N  	  0.114  	  0.667
71  	  N  	  0.113  	  0.667
72  	  N  	  0.111  	  0.667
73  	  N  	  0.110  	  0.667
74  	  N  	  0.108  	  0.667
75  	  N  	  0.107  	  0.667
76  	  N  	  0.105  	  0.667
77  	  N  	  0.104  	  0.667
78  	  N  	  0.103  	  0.667
79  	  R  	  0.114  	  0.750
80  	  N  	  0.113  	  0.750
81  	  N  	  0.111  	  0.750
82  	  N  	  0.110  	  0.750
83  	  N  	  0.108  	  0.750
84  	  N  	  0.107  	  0.750
85  	  N  	  0.106  	  0.750
86  	  N  	  0.105  	  0.750
87  	  N  	  0.103  	  0.750
88  	  N  	  0.102  	  0.750
89  	  N  	  0.101  	  0.750
90  	  N  	  0.100  	  0.750
91  	  N  	  0.099  	  0.750
92  	  N  	  0.098  	  0.750
93  	  N  	  0.097  	  0.750
94  	  N  	  0.096  	  0.750
95  	  N  	  0.095  	  0.750
96  	  N  	  0.094  	  0.750
97  	  N  	  0.093  	  0.750
98  	  N  	  0.092  	  0.750
99  	  N  	  0.091  	  0.750
100  	  N  	  0.090  	  0.750
