Query 49: the role of information retrieval in knowledge based systems i e expert systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  R  	  0.043  	  0.125
24  	  N  	  0.042  	  0.125
25  	  N  	  0.040  	  0.125
26  	  N  	  0.038  	  0.125
27  	  N  	  0.037  	  0.125
28  	  N  	  0.036  	  0.125
29  	  N  	  0.034  	  0.125
30  	  N  	  0.033  	  0.125
31  	  N  	  0.032  	  0.125
32  	  N  	  0.031  	  0.125
33  	  N  	  0.030  	  0.125
34  	  N  	  0.029  	  0.125
35  	  N  	  0.029  	  0.125
36  	  N  	  0.028  	  0.125
37  	  N  	  0.027  	  0.125
38  	  N  	  0.026  	  0.125
39  	  N  	  0.026  	  0.125
40  	  N  	  0.025  	  0.125
41  	  N  	  0.024  	  0.125
42  	  N  	  0.024  	  0.125
43  	  N  	  0.023  	  0.125
44  	  N  	  0.023  	  0.125
45  	  N  	  0.022  	  0.125
46  	  N  	  0.022  	  0.125
47  	  N  	  0.021  	  0.125
48  	  N  	  0.021  	  0.125
49  	  N  	  0.020  	  0.125
50  	  N  	  0.020  	  0.125
51  	  N  	  0.020  	  0.125
52  	  N  	  0.019  	  0.125
53  	  N  	  0.019  	  0.125
54  	  N  	  0.019  	  0.125
55  	  N  	  0.018  	  0.125
56  	  N  	  0.018  	  0.125
57  	  N  	  0.018  	  0.125
58  	  N  	  0.017  	  0.125
59  	  N  	  0.017  	  0.125
60  	  N  	  0.017  	  0.125
61  	  N  	  0.016  	  0.125
62  	  N  	  0.016  	  0.125
63  	  R  	  0.032  	  0.250
64  	  N  	  0.031  	  0.250
65  	  N  	  0.031  	  0.250
66  	  N  	  0.030  	  0.250
67  	  N  	  0.030  	  0.250
68  	  R  	  0.044  	  0.375
69  	  N  	  0.043  	  0.375
70  	  N  	  0.043  	  0.375
71  	  N  	  0.042  	  0.375
72  	  N  	  0.042  	  0.375
73  	  R  	  0.055  	  0.500
74  	  N  	  0.054  	  0.500
75  	  N  	  0.053  	  0.500
76  	  N  	  0.053  	  0.500
77  	  N  	  0.052  	  0.500
78  	  N  	  0.051  	  0.500
79  	  N  	  0.051  	  0.500
80  	  N  	  0.050  	  0.500
81  	  N  	  0.049  	  0.500
82  	  N  	  0.049  	  0.500
83  	  N  	  0.048  	  0.500
84  	  N  	  0.048  	  0.500
85  	  N  	  0.047  	  0.500
86  	  N  	  0.047  	  0.500
87  	  N  	  0.046  	  0.500
88  	  N  	  0.045  	  0.500
89  	  N  	  0.045  	  0.500
90  	  N  	  0.044  	  0.500
91  	  N  	  0.044  	  0.500
92  	  N  	  0.043  	  0.500
93  	  N  	  0.043  	  0.500
94  	  N  	  0.043  	  0.500
95  	  N  	  0.042  	  0.500
96  	  N  	  0.042  	  0.500
97  	  N  	  0.041  	  0.500
98  	  N  	  0.041  	  0.500
99  	  N  	  0.040  	  0.500
100  	  N  	  0.040  	  0.500
