Query 58: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.033
02  	  R  	  1.000  	  0.067
03  	  R  	  1.000  	  0.100
04  	  R  	  1.000  	  0.133
05  	  N  	  0.800  	  0.133
06  	  N  	  0.667  	  0.133
07  	  N  	  0.571  	  0.133
08  	  N  	  0.500  	  0.133
09  	  N  	  0.444  	  0.133
10  	  N  	  0.400  	  0.133
11  	  R  	  0.455  	  0.167
12  	  R  	  0.500  	  0.200
13  	  N  	  0.462  	  0.200
14  	  N  	  0.429  	  0.200
15  	  N  	  0.400  	  0.200
16  	  N  	  0.375  	  0.200
17  	  R  	  0.412  	  0.233
18  	  N  	  0.389  	  0.233
19  	  N  	  0.368  	  0.233
20  	  R  	  0.400  	  0.267
21  	  R  	  0.429  	  0.300
22  	  R  	  0.455  	  0.333
23  	  N  	  0.435  	  0.333
24  	  N  	  0.417  	  0.333
25  	  N  	  0.400  	  0.333
26  	  N  	  0.385  	  0.333
27  	  N  	  0.370  	  0.333
28  	  N  	  0.357  	  0.333
29  	  N  	  0.345  	  0.333
30  	  N  	  0.333  	  0.333
31  	  N  	  0.323  	  0.333
32  	  N  	  0.312  	  0.333
33  	  N  	  0.303  	  0.333
34  	  R  	  0.324  	  0.367
35  	  N  	  0.314  	  0.367
36  	  N  	  0.306  	  0.367
37  	  N  	  0.297  	  0.367
38  	  N  	  0.289  	  0.367
39  	  N  	  0.282  	  0.367
40  	  N  	  0.275  	  0.367
41  	  N  	  0.268  	  0.367
42  	  R  	  0.286  	  0.400
43  	  N  	  0.279  	  0.400
44  	  R  	  0.295  	  0.433
45  	  N  	  0.289  	  0.433
46  	  N  	  0.283  	  0.433
47  	  N  	  0.277  	  0.433
48  	  N  	  0.271  	  0.433
49  	  R  	  0.286  	  0.467
50  	  N  	  0.280  	  0.467
51  	  N  	  0.275  	  0.467
52  	  N  	  0.269  	  0.467
53  	  N  	  0.264  	  0.467
54  	  N  	  0.259  	  0.467
55  	  N  	  0.255  	  0.467
56  	  N  	  0.250  	  0.467
57  	  N  	  0.246  	  0.467
58  	  N  	  0.241  	  0.467
59  	  N  	  0.237  	  0.467
60  	  N  	  0.233  	  0.467
61  	  N  	  0.230  	  0.467
62  	  N  	  0.226  	  0.467
63  	  N  	  0.222  	  0.467
64  	  N  	  0.219  	  0.467
65  	  N  	  0.215  	  0.467
66  	  N  	  0.212  	  0.467
67  	  N  	  0.209  	  0.467
68  	  N  	  0.206  	  0.467
69  	  N  	  0.203  	  0.467
70  	  N  	  0.200  	  0.467
71  	  N  	  0.197  	  0.467
72  	  N  	  0.194  	  0.467
73  	  N  	  0.192  	  0.467
74  	  N  	  0.189  	  0.467
75  	  N  	  0.187  	  0.467
76  	  N  	  0.184  	  0.467
77  	  N  	  0.182  	  0.467
78  	  N  	  0.179  	  0.467
79  	  N  	  0.177  	  0.467
80  	  N  	  0.175  	  0.467
81  	  N  	  0.173  	  0.467
82  	  N  	  0.171  	  0.467
83  	  N  	  0.169  	  0.467
84  	  N  	  0.167  	  0.467
85  	  N  	  0.165  	  0.467
86  	  N  	  0.163  	  0.467
87  	  N  	  0.161  	  0.467
88  	  N  	  0.159  	  0.467
89  	  N  	  0.157  	  0.467
90  	  N  	  0.156  	  0.467
91  	  N  	  0.154  	  0.467
92  	  N  	  0.152  	  0.467
93  	  N  	  0.151  	  0.467
94  	  N  	  0.149  	  0.467
95  	  N  	  0.147  	  0.467
96  	  N  	  0.146  	  0.467
97  	  N  	  0.144  	  0.467
98  	  N  	  0.143  	  0.467
99  	  N  	  0.141  	  0.467
100  	  N  	  0.140  	  0.467
