Query 62: results relating parallel complexity theory both for pram s and uniform circuits

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  R  	  0.053  	  0.125
20  	  N  	  0.050  	  0.125
21  	  N  	  0.048  	  0.125
22  	  N  	  0.045  	  0.125
23  	  N  	  0.043  	  0.125
24  	  N  	  0.042  	  0.125
25  	  N  	  0.040  	  0.125
26  	  N  	  0.038  	  0.125
27  	  N  	  0.037  	  0.125
28  	  N  	  0.036  	  0.125
29  	  N  	  0.034  	  0.125
30  	  N  	  0.033  	  0.125
31  	  N  	  0.032  	  0.125
32  	  N  	  0.031  	  0.125
33  	  N  	  0.030  	  0.125
34  	  N  	  0.029  	  0.125
35  	  N  	  0.029  	  0.125
36  	  N  	  0.028  	  0.125
37  	  N  	  0.027  	  0.125
38  	  R  	  0.053  	  0.250
39  	  N  	  0.051  	  0.250
40  	  N  	  0.050  	  0.250
41  	  N  	  0.049  	  0.250
42  	  N  	  0.048  	  0.250
43  	  N  	  0.047  	  0.250
44  	  N  	  0.045  	  0.250
45  	  N  	  0.044  	  0.250
46  	  N  	  0.043  	  0.250
47  	  N  	  0.043  	  0.250
48  	  N  	  0.042  	  0.250
49  	  N  	  0.041  	  0.250
50  	  N  	  0.040  	  0.250
51  	  R  	  0.059  	  0.375
52  	  N  	  0.058  	  0.375
53  	  N  	  0.057  	  0.375
54  	  N  	  0.056  	  0.375
55  	  N  	  0.055  	  0.375
56  	  N  	  0.054  	  0.375
57  	  N  	  0.053  	  0.375
58  	  N  	  0.052  	  0.375
59  	  N  	  0.051  	  0.375
60  	  N  	  0.050  	  0.375
61  	  N  	  0.049  	  0.375
62  	  N  	  0.048  	  0.375
63  	  N  	  0.048  	  0.375
64  	  N  	  0.047  	  0.375
65  	  N  	  0.046  	  0.375
66  	  N  	  0.045  	  0.375
67  	  N  	  0.045  	  0.375
68  	  N  	  0.044  	  0.375
69  	  N  	  0.043  	  0.375
70  	  N  	  0.043  	  0.375
71  	  N  	  0.042  	  0.375
72  	  N  	  0.042  	  0.375
73  	  N  	  0.041  	  0.375
74  	  N  	  0.041  	  0.375
75  	  N  	  0.040  	  0.375
76  	  N  	  0.039  	  0.375
77  	  N  	  0.039  	  0.375
78  	  N  	  0.038  	  0.375
79  	  N  	  0.038  	  0.375
80  	  N  	  0.037  	  0.375
81  	  N  	  0.037  	  0.375
82  	  N  	  0.037  	  0.375
83  	  N  	  0.036  	  0.375
84  	  N  	  0.036  	  0.375
85  	  N  	  0.035  	  0.375
86  	  N  	  0.035  	  0.375
87  	  N  	  0.034  	  0.375
88  	  N  	  0.034  	  0.375
89  	  N  	  0.034  	  0.375
90  	  N  	  0.033  	  0.375
91  	  N  	  0.033  	  0.375
92  	  R  	  0.043  	  0.500
93  	  N  	  0.043  	  0.500
94  	  N  	  0.043  	  0.500
95  	  N  	  0.042  	  0.500
96  	  N  	  0.042  	  0.500
97  	  N  	  0.041  	  0.500
98  	  N  	  0.041  	  0.500
99  	  N  	  0.040  	  0.500
100  	  R  	  0.050  	  0.625
