Query 7: i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.036
02  	  R  	  1.000  	  0.071
03  	  N  	  0.667  	  0.071
04  	  N  	  0.500  	  0.071
05  	  R  	  0.600  	  0.107
06  	  N  	  0.500  	  0.107
07  	  N  	  0.429  	  0.107
08  	  N  	  0.375  	  0.107
09  	  N  	  0.333  	  0.107
10  	  N  	  0.300  	  0.107
11  	  N  	  0.273  	  0.107
12  	  R  	  0.333  	  0.143
13  	  N  	  0.308  	  0.143
14  	  R  	  0.357  	  0.179
15  	  N  	  0.333  	  0.179
16  	  N  	  0.312  	  0.179
17  	  N  	  0.294  	  0.179
18  	  N  	  0.278  	  0.179
19  	  N  	  0.263  	  0.179
20  	  N  	  0.250  	  0.179
21  	  N  	  0.238  	  0.179
22  	  N  	  0.227  	  0.179
23  	  N  	  0.217  	  0.179
24  	  N  	  0.208  	  0.179
25  	  N  	  0.200  	  0.179
26  	  R  	  0.231  	  0.214
27  	  N  	  0.222  	  0.214
28  	  N  	  0.214  	  0.214
29  	  N  	  0.207  	  0.214
30  	  N  	  0.200  	  0.214
31  	  N  	  0.194  	  0.214
32  	  R  	  0.219  	  0.250
33  	  N  	  0.212  	  0.250
34  	  N  	  0.206  	  0.250
35  	  N  	  0.200  	  0.250
36  	  N  	  0.194  	  0.250
37  	  N  	  0.189  	  0.250
38  	  N  	  0.184  	  0.250
39  	  N  	  0.179  	  0.250
40  	  N  	  0.175  	  0.250
41  	  N  	  0.171  	  0.250
42  	  N  	  0.167  	  0.250
43  	  N  	  0.163  	  0.250
44  	  N  	  0.159  	  0.250
45  	  N  	  0.156  	  0.250
46  	  N  	  0.152  	  0.250
47  	  N  	  0.149  	  0.250
48  	  N  	  0.146  	  0.250
49  	  N  	  0.143  	  0.250
50  	  N  	  0.140  	  0.250
51  	  N  	  0.137  	  0.250
52  	  R  	  0.154  	  0.286
53  	  N  	  0.151  	  0.286
54  	  N  	  0.148  	  0.286
55  	  N  	  0.145  	  0.286
56  	  N  	  0.143  	  0.286
57  	  N  	  0.140  	  0.286
58  	  N  	  0.138  	  0.286
59  	  N  	  0.136  	  0.286
60  	  N  	  0.133  	  0.286
61  	  N  	  0.131  	  0.286
62  	  N  	  0.129  	  0.286
63  	  N  	  0.127  	  0.286
64  	  N  	  0.125  	  0.286
65  	  N  	  0.123  	  0.286
66  	  N  	  0.121  	  0.286
67  	  N  	  0.119  	  0.286
68  	  N  	  0.118  	  0.286
69  	  N  	  0.116  	  0.286
70  	  N  	  0.114  	  0.286
71  	  N  	  0.113  	  0.286
72  	  N  	  0.111  	  0.286
73  	  N  	  0.110  	  0.286
74  	  N  	  0.108  	  0.286
75  	  N  	  0.107  	  0.286
76  	  N  	  0.105  	  0.286
77  	  N  	  0.104  	  0.286
78  	  N  	  0.103  	  0.286
79  	  N  	  0.101  	  0.286
80  	  R  	  0.113  	  0.321
81  	  N  	  0.111  	  0.321
82  	  N  	  0.110  	  0.321
83  	  N  	  0.108  	  0.321
84  	  N  	  0.107  	  0.321
85  	  N  	  0.106  	  0.321
86  	  N  	  0.105  	  0.321
87  	  N  	  0.103  	  0.321
88  	  N  	  0.102  	  0.321
89  	  R  	  0.112  	  0.357
90  	  N  	  0.111  	  0.357
91  	  N  	  0.110  	  0.357
92  	  N  	  0.109  	  0.357
93  	  N  	  0.108  	  0.357
94  	  N  	  0.106  	  0.357
95  	  N  	  0.105  	  0.357
96  	  N  	  0.104  	  0.357
97  	  N  	  0.103  	  0.357
98  	  N  	  0.102  	  0.357
99  	  N  	  0.101  	  0.357
100  	  N  	  0.100  	  0.357
