Query 14: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.023
02  	  N  	  0.500  	  0.023
03  	  R  	  0.667  	  0.045
04  	  N  	  0.500  	  0.045
05  	  N  	  0.400  	  0.045
06  	  N  	  0.333  	  0.045
07  	  R  	  0.429  	  0.068
08  	  N  	  0.375  	  0.068
09  	  N  	  0.333  	  0.068
10  	  N  	  0.300  	  0.068
11  	  N  	  0.273  	  0.068
12  	  N  	  0.250  	  0.068
13  	  N  	  0.231  	  0.068
14  	  N  	  0.214  	  0.068
15  	  N  	  0.200  	  0.068
16  	  N  	  0.188  	  0.068
17  	  N  	  0.176  	  0.068
18  	  N  	  0.167  	  0.068
19  	  N  	  0.158  	  0.068
20  	  N  	  0.150  	  0.068
21  	  N  	  0.143  	  0.068
22  	  N  	  0.136  	  0.068
23  	  N  	  0.130  	  0.068
24  	  N  	  0.125  	  0.068
25  	  N  	  0.120  	  0.068
26  	  N  	  0.115  	  0.068
27  	  N  	  0.111  	  0.068
28  	  N  	  0.107  	  0.068
29  	  N  	  0.103  	  0.068
30  	  N  	  0.100  	  0.068
31  	  N  	  0.097  	  0.068
32  	  N  	  0.094  	  0.068
33  	  N  	  0.091  	  0.068
34  	  N  	  0.088  	  0.068
35  	  N  	  0.086  	  0.068
36  	  N  	  0.083  	  0.068
37  	  N  	  0.081  	  0.068
38  	  N  	  0.079  	  0.068
39  	  N  	  0.077  	  0.068
40  	  N  	  0.075  	  0.068
41  	  N  	  0.073  	  0.068
42  	  N  	  0.071  	  0.068
43  	  N  	  0.070  	  0.068
44  	  N  	  0.068  	  0.068
45  	  N  	  0.067  	  0.068
46  	  N  	  0.065  	  0.068
47  	  N  	  0.064  	  0.068
48  	  N  	  0.062  	  0.068
49  	  R  	  0.082  	  0.091
50  	  N  	  0.080  	  0.091
51  	  N  	  0.078  	  0.091
52  	  N  	  0.077  	  0.091
53  	  N  	  0.075  	  0.091
54  	  N  	  0.074  	  0.091
55  	  N  	  0.073  	  0.091
56  	  N  	  0.071  	  0.091
57  	  N  	  0.070  	  0.091
58  	  N  	  0.069  	  0.091
59  	  N  	  0.068  	  0.091
60  	  N  	  0.067  	  0.091
61  	  N  	  0.066  	  0.091
62  	  N  	  0.065  	  0.091
63  	  N  	  0.063  	  0.091
64  	  N  	  0.062  	  0.091
65  	  N  	  0.062  	  0.091
66  	  N  	  0.061  	  0.091
67  	  N  	  0.060  	  0.091
68  	  N  	  0.059  	  0.091
69  	  N  	  0.058  	  0.091
70  	  N  	  0.057  	  0.091
71  	  N  	  0.056  	  0.091
72  	  N  	  0.056  	  0.091
73  	  N  	  0.055  	  0.091
74  	  N  	  0.054  	  0.091
75  	  R  	  0.067  	  0.114
76  	  N  	  0.066  	  0.114
77  	  N  	  0.065  	  0.114
78  	  N  	  0.064  	  0.114
79  	  N  	  0.063  	  0.114
80  	  R  	  0.075  	  0.136
81  	  R  	  0.086  	  0.159
82  	  N  	  0.085  	  0.159
83  	  N  	  0.084  	  0.159
84  	  N  	  0.083  	  0.159
85  	  N  	  0.082  	  0.159
86  	  N  	  0.081  	  0.159
87  	  N  	  0.080  	  0.159
88  	  N  	  0.080  	  0.159
89  	  N  	  0.079  	  0.159
90  	  N  	  0.078  	  0.159
91  	  N  	  0.077  	  0.159
92  	  N  	  0.076  	  0.159
93  	  N  	  0.075  	  0.159
94  	  N  	  0.074  	  0.159
95  	  N  	  0.074  	  0.159
96  	  N  	  0.073  	  0.159
97  	  N  	  0.072  	  0.159
98  	  N  	  0.071  	  0.159
99  	  N  	  0.071  	  0.159
100  	  N  	  0.070  	  0.159
