Query 18: languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.091
02  	  R  	  1.000  	  0.182
03  	  N  	  0.667  	  0.182
04  	  N  	  0.500  	  0.182
05  	  N  	  0.400  	  0.182
06  	  R  	  0.500  	  0.273
07  	  N  	  0.429  	  0.273
08  	  N  	  0.375  	  0.273
09  	  N  	  0.333  	  0.273
10  	  N  	  0.300  	  0.273
11  	  N  	  0.273  	  0.273
12  	  N  	  0.250  	  0.273
13  	  N  	  0.231  	  0.273
14  	  N  	  0.214  	  0.273
15  	  N  	  0.200  	  0.273
16  	  N  	  0.188  	  0.273
17  	  R  	  0.235  	  0.364
18  	  R  	  0.278  	  0.455
19  	  N  	  0.263  	  0.455
20  	  N  	  0.250  	  0.455
21  	  N  	  0.238  	  0.455
22  	  N  	  0.227  	  0.455
23  	  R  	  0.261  	  0.545
24  	  N  	  0.250  	  0.545
25  	  N  	  0.240  	  0.545
26  	  N  	  0.231  	  0.545
27  	  N  	  0.222  	  0.545
28  	  N  	  0.214  	  0.545
29  	  N  	  0.207  	  0.545
30  	  N  	  0.200  	  0.545
31  	  N  	  0.194  	  0.545
32  	  R  	  0.219  	  0.636
33  	  N  	  0.212  	  0.636
34  	  N  	  0.206  	  0.636
35  	  N  	  0.200  	  0.636
36  	  R  	  0.222  	  0.727
37  	  N  	  0.216  	  0.727
38  	  N  	  0.211  	  0.727
39  	  N  	  0.205  	  0.727
40  	  N  	  0.200  	  0.727
41  	  N  	  0.195  	  0.727
42  	  N  	  0.190  	  0.727
43  	  N  	  0.186  	  0.727
44  	  N  	  0.182  	  0.727
45  	  N  	  0.178  	  0.727
46  	  N  	  0.174  	  0.727
47  	  N  	  0.170  	  0.727
48  	  N  	  0.167  	  0.727
49  	  N  	  0.163  	  0.727
50  	  N  	  0.160  	  0.727
51  	  N  	  0.157  	  0.727
52  	  N  	  0.154  	  0.727
53  	  N  	  0.151  	  0.727
54  	  N  	  0.148  	  0.727
55  	  N  	  0.145  	  0.727
56  	  N  	  0.143  	  0.727
57  	  N  	  0.140  	  0.727
58  	  N  	  0.138  	  0.727
59  	  N  	  0.136  	  0.727
60  	  N  	  0.133  	  0.727
61  	  N  	  0.131  	  0.727
62  	  N  	  0.129  	  0.727
63  	  N  	  0.127  	  0.727
64  	  N  	  0.125  	  0.727
65  	  N  	  0.123  	  0.727
66  	  N  	  0.121  	  0.727
67  	  N  	  0.119  	  0.727
68  	  N  	  0.118  	  0.727
69  	  N  	  0.116  	  0.727
70  	  N  	  0.114  	  0.727
71  	  N  	  0.113  	  0.727
72  	  N  	  0.111  	  0.727
73  	  N  	  0.110  	  0.727
74  	  N  	  0.108  	  0.727
75  	  N  	  0.107  	  0.727
76  	  N  	  0.105  	  0.727
77  	  N  	  0.104  	  0.727
78  	  N  	  0.103  	  0.727
79  	  N  	  0.101  	  0.727
80  	  N  	  0.100  	  0.727
81  	  N  	  0.099  	  0.727
82  	  N  	  0.098  	  0.727
83  	  N  	  0.096  	  0.727
84  	  N  	  0.095  	  0.727
85  	  N  	  0.094  	  0.727
86  	  N  	  0.093  	  0.727
87  	  N  	  0.092  	  0.727
88  	  N  	  0.091  	  0.727
89  	  N  	  0.090  	  0.727
90  	  N  	  0.089  	  0.727
91  	  N  	  0.088  	  0.727
92  	  N  	  0.087  	  0.727
93  	  N  	  0.086  	  0.727
94  	  N  	  0.085  	  0.727
95  	  N  	  0.084  	  0.727
96  	  R  	  0.094  	  0.818
97  	  N  	  0.093  	  0.818
98  	  N  	  0.092  	  0.818
99  	  N  	  0.091  	  0.818
100  	  N  	  0.090  	  0.818
