Query 27: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.034
02  	  R  	  1.000  	  0.069
03  	  N  	  0.667  	  0.069
04  	  R  	  0.750  	  0.103
05  	  R  	  0.800  	  0.138
06  	  N  	  0.667  	  0.138
07  	  R  	  0.714  	  0.172
08  	  R  	  0.750  	  0.207
09  	  R  	  0.778  	  0.241
10  	  R  	  0.800  	  0.276
11  	  N  	  0.727  	  0.276
12  	  N  	  0.667  	  0.276
13  	  R  	  0.692  	  0.310
14  	  N  	  0.643  	  0.310
15  	  R  	  0.667  	  0.345
16  	  N  	  0.625  	  0.345
17  	  N  	  0.588  	  0.345
18  	  N  	  0.556  	  0.345
19  	  R  	  0.579  	  0.379
20  	  N  	  0.550  	  0.379
21  	  N  	  0.524  	  0.379
22  	  R  	  0.545  	  0.414
23  	  N  	  0.522  	  0.414
24  	  N  	  0.500  	  0.414
25  	  N  	  0.480  	  0.414
26  	  N  	  0.462  	  0.414
27  	  N  	  0.444  	  0.414
28  	  N  	  0.429  	  0.414
29  	  N  	  0.414  	  0.414
30  	  N  	  0.400  	  0.414
31  	  N  	  0.387  	  0.414
32  	  N  	  0.375  	  0.414
33  	  N  	  0.364  	  0.414
34  	  N  	  0.353  	  0.414
35  	  N  	  0.343  	  0.414
36  	  N  	  0.333  	  0.414
37  	  N  	  0.324  	  0.414
38  	  N  	  0.316  	  0.414
39  	  R  	  0.333  	  0.448
40  	  N  	  0.325  	  0.448
41  	  N  	  0.317  	  0.448
42  	  N  	  0.310  	  0.448
43  	  N  	  0.302  	  0.448
44  	  N  	  0.295  	  0.448
45  	  N  	  0.289  	  0.448
46  	  N  	  0.283  	  0.448
47  	  N  	  0.277  	  0.448
48  	  N  	  0.271  	  0.448
49  	  N  	  0.265  	  0.448
50  	  N  	  0.260  	  0.448
51  	  R  	  0.275  	  0.483
52  	  N  	  0.269  	  0.483
53  	  N  	  0.264  	  0.483
54  	  N  	  0.259  	  0.483
55  	  N  	  0.255  	  0.483
56  	  N  	  0.250  	  0.483
57  	  N  	  0.246  	  0.483
58  	  N  	  0.241  	  0.483
59  	  N  	  0.237  	  0.483
60  	  N  	  0.233  	  0.483
61  	  N  	  0.230  	  0.483
62  	  N  	  0.226  	  0.483
63  	  R  	  0.238  	  0.517
64  	  N  	  0.234  	  0.517
65  	  N  	  0.231  	  0.517
66  	  N  	  0.227  	  0.517
67  	  N  	  0.224  	  0.517
68  	  N  	  0.221  	  0.517
69  	  N  	  0.217  	  0.517
70  	  N  	  0.214  	  0.517
71  	  N  	  0.211  	  0.517
72  	  N  	  0.208  	  0.517
73  	  N  	  0.205  	  0.517
74  	  N  	  0.203  	  0.517
75  	  N  	  0.200  	  0.517
76  	  N  	  0.197  	  0.517
77  	  R  	  0.208  	  0.552
78  	  N  	  0.205  	  0.552
79  	  R  	  0.215  	  0.586
80  	  N  	  0.212  	  0.586
81  	  N  	  0.210  	  0.586
82  	  N  	  0.207  	  0.586
83  	  N  	  0.205  	  0.586
84  	  N  	  0.202  	  0.586
85  	  R  	  0.212  	  0.621
86  	  N  	  0.209  	  0.621
87  	  N  	  0.207  	  0.621
88  	  N  	  0.205  	  0.621
89  	  N  	  0.202  	  0.621
90  	  N  	  0.200  	  0.621
91  	  N  	  0.198  	  0.621
92  	  N  	  0.196  	  0.621
93  	  N  	  0.194  	  0.621
94  	  N  	  0.191  	  0.621
95  	  N  	  0.189  	  0.621
96  	  N  	  0.188  	  0.621
97  	  N  	  0.186  	  0.621
98  	  N  	  0.184  	  0.621
99  	  N  	  0.182  	  0.621
100  	  N  	  0.180  	  0.621
