Query 30: articles on text formatting systems including what you see is what you get systems examples t nroff scribe bravo

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.250
02  	  N  	  0.500  	  0.250
03  	  N  	  0.333  	  0.250
04  	  N  	  0.250  	  0.250
05  	  R  	  0.400  	  0.500
06  	  N  	  0.333  	  0.500
07  	  N  	  0.286  	  0.500
08  	  N  	  0.250  	  0.500
09  	  N  	  0.222  	  0.500
10  	  N  	  0.200  	  0.500
11  	  N  	  0.182  	  0.500
12  	  N  	  0.167  	  0.500
13  	  N  	  0.154  	  0.500
14  	  N  	  0.143  	  0.500
15  	  N  	  0.133  	  0.500
16  	  N  	  0.125  	  0.500
17  	  N  	  0.118  	  0.500
18  	  N  	  0.111  	  0.500
19  	  N  	  0.105  	  0.500
20  	  N  	  0.100  	  0.500
21  	  N  	  0.095  	  0.500
22  	  N  	  0.091  	  0.500
23  	  N  	  0.087  	  0.500
24  	  N  	  0.083  	  0.500
25  	  N  	  0.080  	  0.500
26  	  N  	  0.077  	  0.500
27  	  N  	  0.074  	  0.500
28  	  N  	  0.071  	  0.500
29  	  N  	  0.069  	  0.500
30  	  N  	  0.067  	  0.500
31  	  N  	  0.065  	  0.500
32  	  N  	  0.062  	  0.500
33  	  R  	  0.091  	  0.750
34  	  N  	  0.088  	  0.750
35  	  N  	  0.086  	  0.750
36  	  N  	  0.083  	  0.750
37  	  N  	  0.081  	  0.750
38  	  N  	  0.079  	  0.750
39  	  N  	  0.077  	  0.750
40  	  N  	  0.075  	  0.750
41  	  N  	  0.073  	  0.750
42  	  N  	  0.071  	  0.750
43  	  R  	  0.093  	  1.000
44  	  N  	  0.091  	  1.000
45  	  N  	  0.089  	  1.000
46  	  N  	  0.087  	  1.000
47  	  N  	  0.085  	  1.000
48  	  N  	  0.083  	  1.000
49  	  N  	  0.082  	  1.000
50  	  N  	  0.080  	  1.000
51  	  N  	  0.078  	  1.000
52  	  N  	  0.077  	  1.000
53  	  N  	  0.075  	  1.000
54  	  N  	  0.074  	  1.000
55  	  N  	  0.073  	  1.000
56  	  N  	  0.071  	  1.000
57  	  N  	  0.070  	  1.000
58  	  N  	  0.069  	  1.000
59  	  N  	  0.068  	  1.000
60  	  N  	  0.067  	  1.000
61  	  N  	  0.066  	  1.000
62  	  N  	  0.065  	  1.000
63  	  N  	  0.063  	  1.000
64  	  N  	  0.062  	  1.000
65  	  N  	  0.062  	  1.000
66  	  N  	  0.061  	  1.000
67  	  N  	  0.060  	  1.000
68  	  N  	  0.059  	  1.000
69  	  N  	  0.058  	  1.000
70  	  N  	  0.057  	  1.000
71  	  N  	  0.056  	  1.000
72  	  N  	  0.056  	  1.000
73  	  N  	  0.055  	  1.000
74  	  N  	  0.054  	  1.000
75  	  N  	  0.053  	  1.000
76  	  N  	  0.053  	  1.000
77  	  N  	  0.052  	  1.000
78  	  N  	  0.051  	  1.000
79  	  N  	  0.051  	  1.000
80  	  N  	  0.050  	  1.000
81  	  N  	  0.049  	  1.000
82  	  N  	  0.049  	  1.000
83  	  N  	  0.048  	  1.000
84  	  N  	  0.048  	  1.000
85  	  N  	  0.047  	  1.000
86  	  N  	  0.047  	  1.000
87  	  N  	  0.046  	  1.000
88  	  N  	  0.045  	  1.000
89  	  N  	  0.045  	  1.000
90  	  N  	  0.044  	  1.000
91  	  N  	  0.044  	  1.000
92  	  N  	  0.043  	  1.000
93  	  N  	  0.043  	  1.000
94  	  N  	  0.043  	  1.000
95  	  N  	  0.042  	  1.000
96  	  N  	  0.042  	  1.000
97  	  N  	  0.041  	  1.000
98  	  N  	  0.041  	  1.000
99  	  N  	  0.040  	  1.000
100  	  N  	  0.040  	  1.000
