Query 32: i d like to find articles describing graph algorithms that are based on the eigenvalue decomposition or singular value decomposition of the ajacency matrix for the graph i m especially interested in any heuristic algorithms for graph coloring and graph isomorphism using this method

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.333
03  	  N  	  0.333  	  0.333
04  	  N  	  0.250  	  0.333
05  	  N  	  0.200  	  0.333
06  	  N  	  0.167  	  0.333
07  	  N  	  0.143  	  0.333
08  	  N  	  0.125  	  0.333
09  	  N  	  0.111  	  0.333
10  	  N  	  0.100  	  0.333
11  	  N  	  0.091  	  0.333
12  	  N  	  0.083  	  0.333
13  	  N  	  0.077  	  0.333
14  	  N  	  0.071  	  0.333
15  	  N  	  0.067  	  0.333
16  	  N  	  0.062  	  0.333
17  	  N  	  0.059  	  0.333
18  	  N  	  0.056  	  0.333
19  	  N  	  0.053  	  0.333
20  	  N  	  0.050  	  0.333
21  	  N  	  0.048  	  0.333
22  	  N  	  0.045  	  0.333
23  	  N  	  0.043  	  0.333
24  	  N  	  0.042  	  0.333
25  	  N  	  0.040  	  0.333
26  	  N  	  0.038  	  0.333
27  	  N  	  0.037  	  0.333
28  	  N  	  0.036  	  0.333
29  	  N  	  0.034  	  0.333
30  	  N  	  0.033  	  0.333
31  	  N  	  0.032  	  0.333
32  	  N  	  0.031  	  0.333
33  	  N  	  0.030  	  0.333
34  	  N  	  0.029  	  0.333
35  	  N  	  0.029  	  0.333
36  	  N  	  0.028  	  0.333
37  	  N  	  0.027  	  0.333
38  	  N  	  0.026  	  0.333
39  	  N  	  0.026  	  0.333
40  	  N  	  0.025  	  0.333
41  	  R  	  0.049  	  0.667
42  	  N  	  0.048  	  0.667
43  	  N  	  0.047  	  0.667
44  	  N  	  0.045  	  0.667
45  	  N  	  0.044  	  0.667
46  	  N  	  0.043  	  0.667
47  	  N  	  0.043  	  0.667
48  	  N  	  0.042  	  0.667
49  	  N  	  0.041  	  0.667
50  	  N  	  0.040  	  0.667
51  	  N  	  0.039  	  0.667
52  	  N  	  0.038  	  0.667
53  	  N  	  0.038  	  0.667
54  	  N  	  0.037  	  0.667
55  	  N  	  0.036  	  0.667
56  	  N  	  0.036  	  0.667
57  	  N  	  0.035  	  0.667
58  	  N  	  0.034  	  0.667
59  	  N  	  0.034  	  0.667
60  	  N  	  0.033  	  0.667
61  	  N  	  0.033  	  0.667
62  	  N  	  0.032  	  0.667
63  	  N  	  0.032  	  0.667
64  	  N  	  0.031  	  0.667
65  	  N  	  0.031  	  0.667
66  	  N  	  0.030  	  0.667
67  	  N  	  0.030  	  0.667
68  	  N  	  0.029  	  0.667
69  	  N  	  0.029  	  0.667
70  	  N  	  0.029  	  0.667
71  	  N  	  0.028  	  0.667
72  	  N  	  0.028  	  0.667
73  	  N  	  0.027  	  0.667
74  	  N  	  0.027  	  0.667
75  	  N  	  0.027  	  0.667
76  	  N  	  0.026  	  0.667
77  	  N  	  0.026  	  0.667
78  	  N  	  0.026  	  0.667
79  	  N  	  0.025  	  0.667
80  	  N  	  0.025  	  0.667
81  	  N  	  0.025  	  0.667
82  	  N  	  0.024  	  0.667
83  	  N  	  0.024  	  0.667
84  	  N  	  0.024  	  0.667
85  	  N  	  0.024  	  0.667
86  	  N  	  0.023  	  0.667
87  	  N  	  0.023  	  0.667
88  	  N  	  0.023  	  0.667
89  	  N  	  0.022  	  0.667
90  	  N  	  0.022  	  0.667
91  	  N  	  0.022  	  0.667
92  	  N  	  0.022  	  0.667
93  	  N  	  0.022  	  0.667
94  	  N  	  0.021  	  0.667
95  	  N  	  0.021  	  0.667
96  	  N  	  0.021  	  0.667
97  	  N  	  0.021  	  0.667
98  	  N  	  0.020  	  0.667
99  	  N  	  0.020  	  0.667
100  	  N  	  0.020  	  0.667
