Query 36: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.050
02  	  N  	  0.500  	  0.050
03  	  R  	  0.667  	  0.100
04  	  N  	  0.500  	  0.100
05  	  N  	  0.400  	  0.100
06  	  N  	  0.333  	  0.100
07  	  R  	  0.429  	  0.150
08  	  N  	  0.375  	  0.150
09  	  N  	  0.333  	  0.150
10  	  N  	  0.300  	  0.150
11  	  N  	  0.273  	  0.150
12  	  R  	  0.333  	  0.200
13  	  R  	  0.385  	  0.250
14  	  R  	  0.429  	  0.300
15  	  R  	  0.467  	  0.350
16  	  R  	  0.500  	  0.400
17  	  N  	  0.471  	  0.400
18  	  R  	  0.500  	  0.450
19  	  R  	  0.526  	  0.500
20  	  R  	  0.550  	  0.550
21  	  N  	  0.524  	  0.550
22  	  R  	  0.545  	  0.600
23  	  R  	  0.565  	  0.650
24  	  N  	  0.542  	  0.650
25  	  N  	  0.520  	  0.650
26  	  R  	  0.538  	  0.700
27  	  N  	  0.519  	  0.700
28  	  N  	  0.500  	  0.700
29  	  N  	  0.483  	  0.700
30  	  N  	  0.467  	  0.700
31  	  N  	  0.452  	  0.700
32  	  N  	  0.438  	  0.700
33  	  N  	  0.424  	  0.700
34  	  N  	  0.412  	  0.700
35  	  N  	  0.400  	  0.700
36  	  N  	  0.389  	  0.700
37  	  N  	  0.378  	  0.700
38  	  N  	  0.368  	  0.700
39  	  N  	  0.359  	  0.700
40  	  N  	  0.350  	  0.700
41  	  N  	  0.341  	  0.700
42  	  N  	  0.333  	  0.700
43  	  N  	  0.326  	  0.700
44  	  N  	  0.318  	  0.700
45  	  N  	  0.311  	  0.700
46  	  R  	  0.326  	  0.750
47  	  N  	  0.319  	  0.750
48  	  N  	  0.312  	  0.750
49  	  N  	  0.306  	  0.750
50  	  N  	  0.300  	  0.750
51  	  N  	  0.294  	  0.750
52  	  N  	  0.288  	  0.750
53  	  N  	  0.283  	  0.750
54  	  N  	  0.278  	  0.750
55  	  N  	  0.273  	  0.750
56  	  N  	  0.268  	  0.750
57  	  N  	  0.263  	  0.750
58  	  N  	  0.259  	  0.750
59  	  N  	  0.254  	  0.750
60  	  R  	  0.267  	  0.800
61  	  N  	  0.262  	  0.800
62  	  N  	  0.258  	  0.800
63  	  N  	  0.254  	  0.800
64  	  N  	  0.250  	  0.800
65  	  N  	  0.246  	  0.800
66  	  N  	  0.242  	  0.800
67  	  R  	  0.254  	  0.850
68  	  N  	  0.250  	  0.850
69  	  N  	  0.246  	  0.850
70  	  N  	  0.243  	  0.850
71  	  N  	  0.239  	  0.850
72  	  N  	  0.236  	  0.850
73  	  N  	  0.233  	  0.850
74  	  N  	  0.230  	  0.850
75  	  N  	  0.227  	  0.850
76  	  N  	  0.224  	  0.850
77  	  N  	  0.221  	  0.850
78  	  N  	  0.218  	  0.850
79  	  N  	  0.215  	  0.850
80  	  R  	  0.225  	  0.900
81  	  N  	  0.222  	  0.900
82  	  N  	  0.220  	  0.900
83  	  N  	  0.217  	  0.900
84  	  N  	  0.214  	  0.900
85  	  N  	  0.212  	  0.900
86  	  N  	  0.209  	  0.900
87  	  N  	  0.207  	  0.900
88  	  N  	  0.205  	  0.900
89  	  N  	  0.202  	  0.900
90  	  N  	  0.200  	  0.900
91  	  N  	  0.198  	  0.900
92  	  N  	  0.196  	  0.900
93  	  N  	  0.194  	  0.900
94  	  N  	  0.191  	  0.900
95  	  N  	  0.189  	  0.900
96  	  N  	  0.188  	  0.900
97  	  N  	  0.186  	  0.900
98  	  N  	  0.184  	  0.900
99  	  N  	  0.182  	  0.900
100  	  N  	  0.180  	  0.900
