Query 38: what is the type of a module i don t want the entire literature on abstract data types here but i m not sure how to phrase this to avoid it i m interested in questions about how one can check that a module matches contexts in which it is used

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.062
03  	  N  	  0.333  	  0.062
04  	  R  	  0.500  	  0.125
05  	  N  	  0.400  	  0.125
06  	  N  	  0.333  	  0.125
07  	  N  	  0.286  	  0.125
08  	  N  	  0.250  	  0.125
09  	  N  	  0.222  	  0.125
10  	  N  	  0.200  	  0.125
11  	  R  	  0.273  	  0.188
12  	  N  	  0.250  	  0.188
13  	  N  	  0.231  	  0.188
14  	  N  	  0.214  	  0.188
15  	  N  	  0.200  	  0.188
16  	  N  	  0.188  	  0.188
17  	  N  	  0.176  	  0.188
18  	  N  	  0.167  	  0.188
19  	  N  	  0.158  	  0.188
20  	  R  	  0.200  	  0.250
21  	  N  	  0.190  	  0.250
22  	  N  	  0.182  	  0.250
23  	  R  	  0.217  	  0.312
24  	  N  	  0.208  	  0.312
25  	  R  	  0.240  	  0.375
26  	  N  	  0.231  	  0.375
27  	  N  	  0.222  	  0.375
28  	  N  	  0.214  	  0.375
29  	  N  	  0.207  	  0.375
30  	  N  	  0.200  	  0.375
31  	  N  	  0.194  	  0.375
32  	  N  	  0.188  	  0.375
33  	  N  	  0.182  	  0.375
34  	  N  	  0.176  	  0.375
35  	  N  	  0.171  	  0.375
36  	  N  	  0.167  	  0.375
37  	  N  	  0.162  	  0.375
38  	  N  	  0.158  	  0.375
39  	  N  	  0.154  	  0.375
40  	  N  	  0.150  	  0.375
41  	  N  	  0.146  	  0.375
42  	  R  	  0.167  	  0.438
43  	  N  	  0.163  	  0.438
44  	  N  	  0.159  	  0.438
45  	  N  	  0.156  	  0.438
46  	  N  	  0.152  	  0.438
47  	  N  	  0.149  	  0.438
48  	  N  	  0.146  	  0.438
49  	  N  	  0.143  	  0.438
50  	  N  	  0.140  	  0.438
51  	  N  	  0.137  	  0.438
52  	  N  	  0.135  	  0.438
53  	  N  	  0.132  	  0.438
54  	  N  	  0.130  	  0.438
55  	  N  	  0.127  	  0.438
56  	  N  	  0.125  	  0.438
57  	  N  	  0.123  	  0.438
58  	  N  	  0.121  	  0.438
59  	  N  	  0.119  	  0.438
60  	  N  	  0.117  	  0.438
61  	  N  	  0.115  	  0.438
62  	  N  	  0.113  	  0.438
63  	  N  	  0.111  	  0.438
64  	  R  	  0.125  	  0.500
65  	  R  	  0.138  	  0.562
66  	  N  	  0.136  	  0.562
67  	  N  	  0.134  	  0.562
68  	  N  	  0.132  	  0.562
69  	  N  	  0.130  	  0.562
70  	  N  	  0.129  	  0.562
71  	  R  	  0.141  	  0.625
72  	  N  	  0.139  	  0.625
73  	  N  	  0.137  	  0.625
74  	  N  	  0.135  	  0.625
75  	  N  	  0.133  	  0.625
76  	  N  	  0.132  	  0.625
77  	  N  	  0.130  	  0.625
78  	  N  	  0.128  	  0.625
79  	  N  	  0.127  	  0.625
80  	  N  	  0.125  	  0.625
81  	  N  	  0.123  	  0.625
82  	  N  	  0.122  	  0.625
83  	  N  	  0.120  	  0.625
84  	  N  	  0.119  	  0.625
85  	  N  	  0.118  	  0.625
86  	  N  	  0.116  	  0.625
87  	  N  	  0.115  	  0.625
88  	  N  	  0.114  	  0.625
89  	  N  	  0.112  	  0.625
90  	  N  	  0.111  	  0.625
91  	  N  	  0.110  	  0.625
92  	  N  	  0.109  	  0.625
93  	  N  	  0.108  	  0.625
94  	  N  	  0.106  	  0.625
95  	  N  	  0.105  	  0.625
96  	  N  	  0.104  	  0.625
97  	  N  	  0.103  	  0.625
98  	  N  	  0.102  	  0.625
99  	  N  	  0.101  	  0.625
100  	  N  	  0.100  	  0.625
