Query 39: what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer supplied definitions of operators like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  N  	  0.250  	  0.083
05  	  N  	  0.200  	  0.083
06  	  N  	  0.167  	  0.083
07  	  N  	  0.143  	  0.083
08  	  N  	  0.125  	  0.083
09  	  R  	  0.222  	  0.167
10  	  N  	  0.200  	  0.167
11  	  R  	  0.273  	  0.250
12  	  R  	  0.333  	  0.333
13  	  N  	  0.308  	  0.333
14  	  N  	  0.286  	  0.333
15  	  R  	  0.333  	  0.417
16  	  N  	  0.312  	  0.417
17  	  N  	  0.294  	  0.417
18  	  N  	  0.278  	  0.417
19  	  N  	  0.263  	  0.417
20  	  N  	  0.250  	  0.417
21  	  N  	  0.238  	  0.417
22  	  N  	  0.227  	  0.417
23  	  N  	  0.217  	  0.417
24  	  N  	  0.208  	  0.417
25  	  N  	  0.200  	  0.417
26  	  R  	  0.231  	  0.500
27  	  N  	  0.222  	  0.500
28  	  N  	  0.214  	  0.500
29  	  N  	  0.207  	  0.500
30  	  N  	  0.200  	  0.500
31  	  R  	  0.226  	  0.583
32  	  N  	  0.219  	  0.583
33  	  N  	  0.212  	  0.583
34  	  N  	  0.206  	  0.583
35  	  N  	  0.200  	  0.583
36  	  N  	  0.194  	  0.583
37  	  N  	  0.189  	  0.583
38  	  N  	  0.184  	  0.583
39  	  N  	  0.179  	  0.583
40  	  N  	  0.175  	  0.583
41  	  N  	  0.171  	  0.583
42  	  N  	  0.167  	  0.583
43  	  N  	  0.163  	  0.583
44  	  N  	  0.159  	  0.583
45  	  R  	  0.178  	  0.667
46  	  N  	  0.174  	  0.667
47  	  N  	  0.170  	  0.667
48  	  R  	  0.188  	  0.750
49  	  N  	  0.184  	  0.750
50  	  N  	  0.180  	  0.750
51  	  N  	  0.176  	  0.750
52  	  N  	  0.173  	  0.750
53  	  N  	  0.170  	  0.750
54  	  N  	  0.167  	  0.750
55  	  N  	  0.164  	  0.750
56  	  N  	  0.161  	  0.750
57  	  N  	  0.158  	  0.750
58  	  N  	  0.155  	  0.750
59  	  N  	  0.153  	  0.750
60  	  N  	  0.150  	  0.750
61  	  N  	  0.148  	  0.750
62  	  N  	  0.145  	  0.750
63  	  N  	  0.143  	  0.750
64  	  N  	  0.141  	  0.750
65  	  N  	  0.138  	  0.750
66  	  N  	  0.136  	  0.750
67  	  N  	  0.134  	  0.750
68  	  N  	  0.132  	  0.750
69  	  N  	  0.130  	  0.750
70  	  N  	  0.129  	  0.750
71  	  N  	  0.127  	  0.750
72  	  N  	  0.125  	  0.750
73  	  N  	  0.123  	  0.750
74  	  N  	  0.122  	  0.750
75  	  N  	  0.120  	  0.750
76  	  N  	  0.118  	  0.750
77  	  N  	  0.117  	  0.750
78  	  N  	  0.115  	  0.750
79  	  N  	  0.114  	  0.750
80  	  N  	  0.113  	  0.750
81  	  N  	  0.111  	  0.750
82  	  R  	  0.122  	  0.833
83  	  N  	  0.120  	  0.833
84  	  N  	  0.119  	  0.833
85  	  N  	  0.118  	  0.833
86  	  N  	  0.116  	  0.833
87  	  N  	  0.115  	  0.833
88  	  N  	  0.114  	  0.833
89  	  N  	  0.112  	  0.833
90  	  N  	  0.111  	  0.833
91  	  N  	  0.110  	  0.833
92  	  N  	  0.109  	  0.833
93  	  N  	  0.108  	  0.833
94  	  N  	  0.106  	  0.833
95  	  N  	  0.105  	  0.833
96  	  N  	  0.104  	  0.833
97  	  N  	  0.103  	  0.833
98  	  N  	  0.102  	  0.833
99  	  N  	  0.101  	  0.833
100  	  N  	  0.100  	  0.833
