Query 42: computer performance evaluation techniques using pattern recognition and clustering la 70803

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.048
02  	  R  	  1.000  	  0.095
03  	  R  	  1.000  	  0.143
04  	  R  	  1.000  	  0.190
05  	  N  	  0.800  	  0.190
06  	  N  	  0.667  	  0.190
07  	  R  	  0.714  	  0.238
08  	  N  	  0.625  	  0.238
09  	  N  	  0.556  	  0.238
10  	  N  	  0.500  	  0.238
11  	  R  	  0.545  	  0.286
12  	  N  	  0.500  	  0.286
13  	  N  	  0.462  	  0.286
14  	  N  	  0.429  	  0.286
15  	  N  	  0.400  	  0.286
16  	  N  	  0.375  	  0.286
17  	  N  	  0.353  	  0.286
18  	  N  	  0.333  	  0.286
19  	  N  	  0.316  	  0.286
20  	  N  	  0.300  	  0.286
21  	  N  	  0.286  	  0.286
22  	  N  	  0.273  	  0.286
23  	  R  	  0.304  	  0.333
24  	  N  	  0.292  	  0.333
25  	  N  	  0.280  	  0.333
26  	  N  	  0.269  	  0.333
27  	  N  	  0.259  	  0.333
28  	  R  	  0.286  	  0.381
29  	  N  	  0.276  	  0.381
30  	  N  	  0.267  	  0.381
31  	  N  	  0.258  	  0.381
32  	  N  	  0.250  	  0.381
33  	  N  	  0.242  	  0.381
34  	  N  	  0.235  	  0.381
35  	  N  	  0.229  	  0.381
36  	  N  	  0.222  	  0.381
37  	  N  	  0.216  	  0.381
38  	  N  	  0.211  	  0.381
39  	  N  	  0.205  	  0.381
40  	  N  	  0.200  	  0.381
41  	  N  	  0.195  	  0.381
42  	  N  	  0.190  	  0.381
43  	  N  	  0.186  	  0.381
44  	  N  	  0.182  	  0.381
45  	  R  	  0.200  	  0.429
46  	  N  	  0.196  	  0.429
47  	  N  	  0.191  	  0.429
48  	  N  	  0.188  	  0.429
49  	  N  	  0.184  	  0.429
50  	  N  	  0.180  	  0.429
51  	  N  	  0.176  	  0.429
52  	  N  	  0.173  	  0.429
53  	  N  	  0.170  	  0.429
54  	  N  	  0.167  	  0.429
55  	  N  	  0.164  	  0.429
56  	  N  	  0.161  	  0.429
57  	  R  	  0.175  	  0.476
58  	  N  	  0.172  	  0.476
59  	  N  	  0.169  	  0.476
60  	  N  	  0.167  	  0.476
61  	  N  	  0.164  	  0.476
62  	  N  	  0.161  	  0.476
63  	  N  	  0.159  	  0.476
64  	  N  	  0.156  	  0.476
65  	  N  	  0.154  	  0.476
66  	  R  	  0.167  	  0.524
67  	  N  	  0.164  	  0.524
68  	  N  	  0.162  	  0.524
69  	  N  	  0.159  	  0.524
70  	  N  	  0.157  	  0.524
71  	  N  	  0.155  	  0.524
72  	  N  	  0.153  	  0.524
73  	  N  	  0.151  	  0.524
74  	  N  	  0.149  	  0.524
75  	  N  	  0.147  	  0.524
76  	  N  	  0.145  	  0.524
77  	  N  	  0.143  	  0.524
78  	  R  	  0.154  	  0.571
79  	  N  	  0.152  	  0.571
80  	  N  	  0.150  	  0.571
81  	  N  	  0.148  	  0.571
82  	  N  	  0.146  	  0.571
83  	  N  	  0.145  	  0.571
84  	  N  	  0.143  	  0.571
85  	  N  	  0.141  	  0.571
86  	  N  	  0.140  	  0.571
87  	  R  	  0.149  	  0.619
88  	  N  	  0.148  	  0.619
89  	  N  	  0.146  	  0.619
90  	  N  	  0.144  	  0.619
91  	  N  	  0.143  	  0.619
92  	  N  	  0.141  	  0.619
93  	  N  	  0.140  	  0.619
94  	  N  	  0.138  	  0.619
95  	  N  	  0.137  	  0.619
96  	  N  	  0.135  	  0.619
97  	  N  	  0.134  	  0.619
98  	  N  	  0.133  	  0.619
99  	  N  	  0.131  	  0.619
100  	  N  	  0.130  	  0.619
