Query 43: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.024
05  	  N  	  0.200  	  0.024
06  	  R  	  0.333  	  0.049
07  	  N  	  0.286  	  0.049
08  	  N  	  0.250  	  0.049
09  	  N  	  0.222  	  0.049
10  	  N  	  0.200  	  0.049
11  	  R  	  0.273  	  0.073
12  	  N  	  0.250  	  0.073
13  	  R  	  0.308  	  0.098
14  	  R  	  0.357  	  0.122
15  	  R  	  0.400  	  0.146
16  	  N  	  0.375  	  0.146
17  	  N  	  0.353  	  0.146
18  	  R  	  0.389  	  0.171
19  	  R  	  0.421  	  0.195
20  	  N  	  0.400  	  0.195
21  	  N  	  0.381  	  0.195
22  	  N  	  0.364  	  0.195
23  	  R  	  0.391  	  0.220
24  	  R  	  0.417  	  0.244
25  	  N  	  0.400  	  0.244
26  	  N  	  0.385  	  0.244
27  	  N  	  0.370  	  0.244
28  	  N  	  0.357  	  0.244
29  	  N  	  0.345  	  0.244
30  	  N  	  0.333  	  0.244
31  	  R  	  0.355  	  0.268
32  	  R  	  0.375  	  0.293
33  	  N  	  0.364  	  0.293
34  	  N  	  0.353  	  0.293
35  	  R  	  0.371  	  0.317
36  	  N  	  0.361  	  0.317
37  	  N  	  0.351  	  0.317
38  	  N  	  0.342  	  0.317
39  	  N  	  0.333  	  0.317
40  	  N  	  0.325  	  0.317
41  	  N  	  0.317  	  0.317
42  	  N  	  0.310  	  0.317
43  	  N  	  0.302  	  0.317
44  	  N  	  0.295  	  0.317
45  	  N  	  0.289  	  0.317
46  	  N  	  0.283  	  0.317
47  	  N  	  0.277  	  0.317
48  	  N  	  0.271  	  0.317
49  	  N  	  0.265  	  0.317
50  	  N  	  0.260  	  0.317
51  	  N  	  0.255  	  0.317
52  	  N  	  0.250  	  0.317
53  	  N  	  0.245  	  0.317
54  	  N  	  0.241  	  0.317
55  	  N  	  0.236  	  0.317
56  	  N  	  0.232  	  0.317
57  	  N  	  0.228  	  0.317
58  	  N  	  0.224  	  0.317
59  	  N  	  0.220  	  0.317
60  	  N  	  0.217  	  0.317
61  	  N  	  0.213  	  0.317
62  	  N  	  0.210  	  0.317
63  	  N  	  0.206  	  0.317
64  	  N  	  0.203  	  0.317
65  	  N  	  0.200  	  0.317
66  	  N  	  0.197  	  0.317
67  	  N  	  0.194  	  0.317
68  	  N  	  0.191  	  0.317
69  	  N  	  0.188  	  0.317
70  	  N  	  0.186  	  0.317
71  	  N  	  0.183  	  0.317
72  	  N  	  0.181  	  0.317
73  	  N  	  0.178  	  0.317
74  	  N  	  0.176  	  0.317
75  	  N  	  0.173  	  0.317
76  	  N  	  0.171  	  0.317
77  	  N  	  0.169  	  0.317
78  	  N  	  0.167  	  0.317
79  	  N  	  0.165  	  0.317
80  	  N  	  0.163  	  0.317
81  	  N  	  0.160  	  0.317
82  	  N  	  0.159  	  0.317
83  	  N  	  0.157  	  0.317
84  	  N  	  0.155  	  0.317
85  	  N  	  0.153  	  0.317
86  	  N  	  0.151  	  0.317
87  	  N  	  0.149  	  0.317
88  	  N  	  0.148  	  0.317
89  	  N  	  0.146  	  0.317
90  	  N  	  0.144  	  0.317
91  	  N  	  0.143  	  0.317
92  	  N  	  0.141  	  0.317
93  	  N  	  0.140  	  0.317
94  	  N  	  0.138  	  0.317
95  	  N  	  0.137  	  0.317
96  	  N  	  0.135  	  0.317
97  	  N  	  0.134  	  0.317
98  	  N  	  0.133  	  0.317
99  	  N  	  0.131  	  0.317
100  	  N  	  0.130  	  0.317
