Query 44: texture analysis by computer digitized texture analysis texture synthesis perception of texture

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  R  	  1.000  	  0.118
03  	  N  	  0.667  	  0.118
04  	  R  	  0.750  	  0.176
05  	  N  	  0.600  	  0.176
06  	  N  	  0.500  	  0.176
07  	  R  	  0.571  	  0.235
08  	  N  	  0.500  	  0.235
09  	  N  	  0.444  	  0.235
10  	  N  	  0.400  	  0.235
11  	  N  	  0.364  	  0.235
12  	  N  	  0.333  	  0.235
13  	  N  	  0.308  	  0.235
14  	  N  	  0.286  	  0.235
15  	  N  	  0.267  	  0.235
16  	  R  	  0.312  	  0.294
17  	  N  	  0.294  	  0.294
18  	  N  	  0.278  	  0.294
19  	  N  	  0.263  	  0.294
20  	  N  	  0.250  	  0.294
21  	  N  	  0.238  	  0.294
22  	  N  	  0.227  	  0.294
23  	  N  	  0.217  	  0.294
24  	  N  	  0.208  	  0.294
25  	  N  	  0.200  	  0.294
26  	  N  	  0.192  	  0.294
27  	  N  	  0.185  	  0.294
28  	  N  	  0.179  	  0.294
29  	  N  	  0.172  	  0.294
30  	  N  	  0.167  	  0.294
31  	  N  	  0.161  	  0.294
32  	  N  	  0.156  	  0.294
33  	  R  	  0.182  	  0.353
34  	  N  	  0.176  	  0.353
35  	  N  	  0.171  	  0.353
36  	  N  	  0.167  	  0.353
37  	  N  	  0.162  	  0.353
38  	  N  	  0.158  	  0.353
39  	  N  	  0.154  	  0.353
40  	  N  	  0.150  	  0.353
41  	  N  	  0.146  	  0.353
42  	  N  	  0.143  	  0.353
43  	  N  	  0.140  	  0.353
44  	  N  	  0.136  	  0.353
45  	  N  	  0.133  	  0.353
46  	  N  	  0.130  	  0.353
47  	  N  	  0.128  	  0.353
48  	  N  	  0.125  	  0.353
49  	  N  	  0.122  	  0.353
50  	  N  	  0.120  	  0.353
51  	  N  	  0.118  	  0.353
52  	  N  	  0.115  	  0.353
53  	  N  	  0.113  	  0.353
54  	  N  	  0.111  	  0.353
55  	  N  	  0.109  	  0.353
56  	  N  	  0.107  	  0.353
57  	  N  	  0.105  	  0.353
58  	  N  	  0.103  	  0.353
59  	  N  	  0.102  	  0.353
60  	  N  	  0.100  	  0.353
61  	  N  	  0.098  	  0.353
62  	  N  	  0.097  	  0.353
63  	  N  	  0.095  	  0.353
64  	  N  	  0.094  	  0.353
65  	  N  	  0.092  	  0.353
66  	  N  	  0.091  	  0.353
67  	  N  	  0.090  	  0.353
68  	  N  	  0.088  	  0.353
69  	  N  	  0.087  	  0.353
70  	  N  	  0.086  	  0.353
71  	  N  	  0.085  	  0.353
72  	  N  	  0.083  	  0.353
73  	  N  	  0.082  	  0.353
74  	  N  	  0.081  	  0.353
75  	  N  	  0.080  	  0.353
76  	  N  	  0.079  	  0.353
77  	  N  	  0.078  	  0.353
78  	  N  	  0.077  	  0.353
79  	  N  	  0.076  	  0.353
80  	  N  	  0.075  	  0.353
81  	  N  	  0.074  	  0.353
82  	  N  	  0.073  	  0.353
83  	  N  	  0.072  	  0.353
84  	  N  	  0.071  	  0.353
85  	  N  	  0.071  	  0.353
86  	  N  	  0.070  	  0.353
87  	  N  	  0.069  	  0.353
88  	  N  	  0.068  	  0.353
89  	  N  	  0.067  	  0.353
90  	  N  	  0.067  	  0.353
91  	  N  	  0.066  	  0.353
92  	  N  	  0.065  	  0.353
93  	  N  	  0.065  	  0.353
94  	  N  	  0.064  	  0.353
95  	  N  	  0.063  	  0.353
96  	  N  	  0.062  	  0.353
97  	  N  	  0.062  	  0.353
98  	  N  	  0.061  	  0.353
99  	  N  	  0.061  	  0.353
100  	  N  	  0.060  	  0.353
