Query 45: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.038
02  	  R  	  1.000  	  0.077
03  	  R  	  1.000  	  0.115
04  	  N  	  0.750  	  0.115
05  	  N  	  0.600  	  0.115
06  	  R  	  0.667  	  0.154
07  	  N  	  0.571  	  0.154
08  	  R  	  0.625  	  0.192
09  	  N  	  0.556  	  0.192
10  	  N  	  0.500  	  0.192
11  	  R  	  0.545  	  0.231
12  	  N  	  0.500  	  0.231
13  	  N  	  0.462  	  0.231
14  	  N  	  0.429  	  0.231
15  	  N  	  0.400  	  0.231
16  	  N  	  0.375  	  0.231
17  	  R  	  0.412  	  0.269
18  	  N  	  0.389  	  0.269
19  	  N  	  0.368  	  0.269
20  	  R  	  0.400  	  0.308
21  	  N  	  0.381  	  0.308
22  	  R  	  0.409  	  0.346
23  	  R  	  0.435  	  0.385
24  	  R  	  0.458  	  0.423
25  	  N  	  0.440  	  0.423
26  	  N  	  0.423  	  0.423
27  	  R  	  0.444  	  0.462
28  	  N  	  0.429  	  0.462
29  	  R  	  0.448  	  0.500
30  	  N  	  0.433  	  0.500
31  	  R  	  0.452  	  0.538
32  	  N  	  0.438  	  0.538
33  	  N  	  0.424  	  0.538
34  	  N  	  0.412  	  0.538
35  	  N  	  0.400  	  0.538
36  	  N  	  0.389  	  0.538
37  	  N  	  0.378  	  0.538
38  	  R  	  0.395  	  0.577
39  	  N  	  0.385  	  0.577
40  	  N  	  0.375  	  0.577
41  	  N  	  0.366  	  0.577
42  	  N  	  0.357  	  0.577
43  	  N  	  0.349  	  0.577
44  	  N  	  0.341  	  0.577
45  	  N  	  0.333  	  0.577
46  	  N  	  0.326  	  0.577
47  	  R  	  0.340  	  0.615
48  	  N  	  0.333  	  0.615
49  	  N  	  0.327  	  0.615
50  	  N  	  0.320  	  0.615
51  	  N  	  0.314  	  0.615
52  	  N  	  0.308  	  0.615
53  	  N  	  0.302  	  0.615
54  	  N  	  0.296  	  0.615
55  	  N  	  0.291  	  0.615
56  	  N  	  0.286  	  0.615
57  	  N  	  0.281  	  0.615
58  	  N  	  0.276  	  0.615
59  	  N  	  0.271  	  0.615
60  	  N  	  0.267  	  0.615
61  	  N  	  0.262  	  0.615
62  	  N  	  0.258  	  0.615
63  	  N  	  0.254  	  0.615
64  	  N  	  0.250  	  0.615
65  	  N  	  0.246  	  0.615
66  	  N  	  0.242  	  0.615
67  	  N  	  0.239  	  0.615
68  	  N  	  0.235  	  0.615
69  	  N  	  0.232  	  0.615
70  	  N  	  0.229  	  0.615
71  	  N  	  0.225  	  0.615
72  	  N  	  0.222  	  0.615
73  	  N  	  0.219  	  0.615
74  	  N  	  0.216  	  0.615
75  	  N  	  0.213  	  0.615
76  	  N  	  0.211  	  0.615
77  	  N  	  0.208  	  0.615
78  	  N  	  0.205  	  0.615
79  	  N  	  0.203  	  0.615
80  	  N  	  0.200  	  0.615
81  	  N  	  0.198  	  0.615
82  	  N  	  0.195  	  0.615
83  	  N  	  0.193  	  0.615
84  	  N  	  0.190  	  0.615
85  	  N  	  0.188  	  0.615
86  	  N  	  0.186  	  0.615
87  	  N  	  0.184  	  0.615
88  	  N  	  0.182  	  0.615
89  	  N  	  0.180  	  0.615
90  	  N  	  0.178  	  0.615
91  	  N  	  0.176  	  0.615
92  	  N  	  0.174  	  0.615
93  	  N  	  0.172  	  0.615
94  	  N  	  0.170  	  0.615
95  	  N  	  0.168  	  0.615
96  	  N  	  0.167  	  0.615
97  	  N  	  0.165  	  0.615
98  	  N  	  0.163  	  0.615
99  	  N  	  0.162  	  0.615
100  	  N  	  0.160  	  0.615
