Query 48: the use of computer science principles e g data structures numerical methods in generating optimization e g linear programming algorithms this includes issues of the khachian russian ellipsoidal algorithm and complexity of such algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.083
04  	  N  	  0.250  	  0.083
05  	  R  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  N  	  0.286  	  0.167
08  	  R  	  0.375  	  0.250
09  	  N  	  0.333  	  0.250
10  	  N  	  0.300  	  0.250
11  	  N  	  0.273  	  0.250
12  	  R  	  0.333  	  0.333
13  	  R  	  0.385  	  0.417
14  	  R  	  0.429  	  0.500
15  	  N  	  0.400  	  0.500
16  	  N  	  0.375  	  0.500
17  	  N  	  0.353  	  0.500
18  	  N  	  0.333  	  0.500
19  	  N  	  0.316  	  0.500
20  	  N  	  0.300  	  0.500
21  	  N  	  0.286  	  0.500
22  	  R  	  0.318  	  0.583
23  	  N  	  0.304  	  0.583
24  	  N  	  0.292  	  0.583
25  	  N  	  0.280  	  0.583
26  	  N  	  0.269  	  0.583
27  	  N  	  0.259  	  0.583
28  	  N  	  0.250  	  0.583
29  	  N  	  0.241  	  0.583
30  	  N  	  0.233  	  0.583
31  	  N  	  0.226  	  0.583
32  	  N  	  0.219  	  0.583
33  	  N  	  0.212  	  0.583
34  	  N  	  0.206  	  0.583
35  	  N  	  0.200  	  0.583
36  	  N  	  0.194  	  0.583
37  	  N  	  0.189  	  0.583
38  	  N  	  0.184  	  0.583
39  	  N  	  0.179  	  0.583
40  	  N  	  0.175  	  0.583
41  	  N  	  0.171  	  0.583
42  	  N  	  0.167  	  0.583
43  	  N  	  0.163  	  0.583
44  	  N  	  0.159  	  0.583
45  	  N  	  0.156  	  0.583
46  	  N  	  0.152  	  0.583
47  	  N  	  0.149  	  0.583
48  	  N  	  0.146  	  0.583
49  	  N  	  0.143  	  0.583
50  	  N  	  0.140  	  0.583
51  	  N  	  0.137  	  0.583
52  	  N  	  0.135  	  0.583
53  	  N  	  0.132  	  0.583
54  	  N  	  0.130  	  0.583
55  	  N  	  0.127  	  0.583
56  	  N  	  0.125  	  0.583
57  	  N  	  0.123  	  0.583
58  	  N  	  0.121  	  0.583
59  	  N  	  0.119  	  0.583
60  	  N  	  0.117  	  0.583
61  	  N  	  0.115  	  0.583
62  	  N  	  0.113  	  0.583
63  	  N  	  0.111  	  0.583
64  	  N  	  0.109  	  0.583
65  	  R  	  0.123  	  0.667
66  	  N  	  0.121  	  0.667
67  	  N  	  0.119  	  0.667
68  	  N  	  0.118  	  0.667
69  	  N  	  0.116  	  0.667
70  	  N  	  0.114  	  0.667
71  	  N  	  0.113  	  0.667
72  	  N  	  0.111  	  0.667
73  	  N  	  0.110  	  0.667
74  	  N  	  0.108  	  0.667
75  	  N  	  0.107  	  0.667
76  	  N  	  0.105  	  0.667
77  	  N  	  0.104  	  0.667
78  	  N  	  0.103  	  0.667
79  	  N  	  0.101  	  0.667
80  	  N  	  0.100  	  0.667
81  	  N  	  0.099  	  0.667
82  	  N  	  0.098  	  0.667
83  	  N  	  0.096  	  0.667
84  	  N  	  0.095  	  0.667
85  	  N  	  0.094  	  0.667
86  	  N  	  0.093  	  0.667
87  	  N  	  0.092  	  0.667
88  	  N  	  0.091  	  0.667
89  	  N  	  0.090  	  0.667
90  	  N  	  0.089  	  0.667
91  	  N  	  0.088  	  0.667
92  	  N  	  0.087  	  0.667
93  	  N  	  0.086  	  0.667
94  	  N  	  0.085  	  0.667
95  	  N  	  0.084  	  0.667
96  	  N  	  0.083  	  0.667
97  	  N  	  0.082  	  0.667
98  	  N  	  0.082  	  0.667
99  	  N  	  0.081  	  0.667
100  	  N  	  0.080  	  0.667
