Query 49: the role of information retrieval in knowledge based systems i e expert systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  R  	  0.062  	  0.125
17  	  N  	  0.059  	  0.125
18  	  N  	  0.056  	  0.125
19  	  R  	  0.105  	  0.250
20  	  R  	  0.150  	  0.375
21  	  N  	  0.143  	  0.375
22  	  N  	  0.136  	  0.375
23  	  N  	  0.130  	  0.375
24  	  N  	  0.125  	  0.375
25  	  N  	  0.120  	  0.375
26  	  N  	  0.115  	  0.375
27  	  R  	  0.148  	  0.500
28  	  N  	  0.143  	  0.500
29  	  N  	  0.138  	  0.500
30  	  R  	  0.167  	  0.625
31  	  N  	  0.161  	  0.625
32  	  N  	  0.156  	  0.625
33  	  N  	  0.152  	  0.625
34  	  N  	  0.147  	  0.625
35  	  N  	  0.143  	  0.625
36  	  N  	  0.139  	  0.625
37  	  N  	  0.135  	  0.625
38  	  N  	  0.132  	  0.625
39  	  N  	  0.128  	  0.625
40  	  N  	  0.125  	  0.625
41  	  N  	  0.122  	  0.625
42  	  N  	  0.119  	  0.625
43  	  N  	  0.116  	  0.625
44  	  N  	  0.114  	  0.625
45  	  N  	  0.111  	  0.625
46  	  N  	  0.109  	  0.625
47  	  N  	  0.106  	  0.625
48  	  N  	  0.104  	  0.625
49  	  N  	  0.102  	  0.625
50  	  N  	  0.100  	  0.625
51  	  N  	  0.098  	  0.625
52  	  N  	  0.096  	  0.625
53  	  N  	  0.094  	  0.625
54  	  N  	  0.093  	  0.625
55  	  N  	  0.091  	  0.625
56  	  N  	  0.089  	  0.625
57  	  N  	  0.088  	  0.625
58  	  N  	  0.086  	  0.625
59  	  N  	  0.085  	  0.625
60  	  N  	  0.083  	  0.625
61  	  N  	  0.082  	  0.625
62  	  N  	  0.081  	  0.625
63  	  N  	  0.079  	  0.625
64  	  N  	  0.078  	  0.625
65  	  N  	  0.077  	  0.625
66  	  N  	  0.076  	  0.625
67  	  N  	  0.075  	  0.625
68  	  N  	  0.074  	  0.625
69  	  N  	  0.072  	  0.625
70  	  N  	  0.071  	  0.625
71  	  N  	  0.070  	  0.625
72  	  N  	  0.069  	  0.625
73  	  N  	  0.068  	  0.625
74  	  N  	  0.068  	  0.625
75  	  N  	  0.067  	  0.625
76  	  N  	  0.066  	  0.625
77  	  N  	  0.065  	  0.625
78  	  N  	  0.064  	  0.625
79  	  N  	  0.063  	  0.625
80  	  N  	  0.062  	  0.625
81  	  N  	  0.062  	  0.625
82  	  N  	  0.061  	  0.625
83  	  N  	  0.060  	  0.625
84  	  N  	  0.060  	  0.625
85  	  N  	  0.059  	  0.625
86  	  N  	  0.058  	  0.625
87  	  N  	  0.057  	  0.625
88  	  N  	  0.057  	  0.625
89  	  N  	  0.056  	  0.625
90  	  N  	  0.056  	  0.625
91  	  N  	  0.055  	  0.625
92  	  N  	  0.054  	  0.625
93  	  N  	  0.054  	  0.625
94  	  N  	  0.053  	  0.625
95  	  N  	  0.053  	  0.625
96  	  N  	  0.052  	  0.625
97  	  N  	  0.052  	  0.625
98  	  N  	  0.051  	  0.625
99  	  N  	  0.051  	  0.625
100  	  N  	  0.050  	  0.625
