Query 5: i d like papers on design and implementation of editing interfaces window managers command interpreters etc the essential issues are human interface design with views on improvements to user efficiency effectiveness and satisfaction

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.125
02  	  N  	  0.500  	  0.125
03  	  N  	  0.333  	  0.125
04  	  N  	  0.250  	  0.125
05  	  N  	  0.200  	  0.125
06  	  N  	  0.167  	  0.125
07  	  N  	  0.143  	  0.125
08  	  R  	  0.250  	  0.250
09  	  N  	  0.222  	  0.250
10  	  N  	  0.200  	  0.250
11  	  N  	  0.182  	  0.250
12  	  N  	  0.167  	  0.250
13  	  N  	  0.154  	  0.250
14  	  N  	  0.143  	  0.250
15  	  R  	  0.200  	  0.375
16  	  N  	  0.188  	  0.375
17  	  N  	  0.176  	  0.375
18  	  N  	  0.167  	  0.375
19  	  N  	  0.158  	  0.375
20  	  N  	  0.150  	  0.375
21  	  N  	  0.143  	  0.375
22  	  N  	  0.136  	  0.375
23  	  N  	  0.130  	  0.375
24  	  N  	  0.125  	  0.375
25  	  N  	  0.120  	  0.375
26  	  N  	  0.115  	  0.375
27  	  N  	  0.111  	  0.375
28  	  N  	  0.107  	  0.375
29  	  N  	  0.103  	  0.375
30  	  R  	  0.133  	  0.500
31  	  N  	  0.129  	  0.500
32  	  N  	  0.125  	  0.500
33  	  N  	  0.121  	  0.500
34  	  N  	  0.118  	  0.500
35  	  N  	  0.114  	  0.500
36  	  N  	  0.111  	  0.500
37  	  N  	  0.108  	  0.500
38  	  N  	  0.105  	  0.500
39  	  N  	  0.103  	  0.500
40  	  N  	  0.100  	  0.500
41  	  N  	  0.098  	  0.500
42  	  N  	  0.095  	  0.500
43  	  N  	  0.093  	  0.500
44  	  N  	  0.091  	  0.500
45  	  N  	  0.089  	  0.500
46  	  N  	  0.087  	  0.500
47  	  N  	  0.085  	  0.500
48  	  N  	  0.083  	  0.500
49  	  N  	  0.082  	  0.500
50  	  N  	  0.080  	  0.500
51  	  N  	  0.078  	  0.500
52  	  N  	  0.077  	  0.500
53  	  N  	  0.075  	  0.500
54  	  N  	  0.074  	  0.500
55  	  N  	  0.073  	  0.500
56  	  N  	  0.071  	  0.500
57  	  N  	  0.070  	  0.500
58  	  N  	  0.069  	  0.500
59  	  N  	  0.068  	  0.500
60  	  N  	  0.067  	  0.500
61  	  N  	  0.066  	  0.500
62  	  N  	  0.065  	  0.500
63  	  N  	  0.063  	  0.500
64  	  N  	  0.062  	  0.500
65  	  N  	  0.062  	  0.500
66  	  N  	  0.061  	  0.500
67  	  N  	  0.060  	  0.500
68  	  N  	  0.059  	  0.500
69  	  N  	  0.058  	  0.500
70  	  N  	  0.057  	  0.500
71  	  N  	  0.056  	  0.500
72  	  N  	  0.056  	  0.500
73  	  N  	  0.055  	  0.500
74  	  N  	  0.054  	  0.500
75  	  R  	  0.067  	  0.625
76  	  N  	  0.066  	  0.625
77  	  N  	  0.065  	  0.625
78  	  N  	  0.064  	  0.625
79  	  N  	  0.063  	  0.625
80  	  N  	  0.062  	  0.625
81  	  N  	  0.062  	  0.625
82  	  N  	  0.061  	  0.625
83  	  N  	  0.060  	  0.625
84  	  N  	  0.060  	  0.625
85  	  N  	  0.059  	  0.625
86  	  N  	  0.058  	  0.625
87  	  N  	  0.057  	  0.625
88  	  N  	  0.057  	  0.625
89  	  N  	  0.056  	  0.625
90  	  N  	  0.056  	  0.625
91  	  N  	  0.055  	  0.625
92  	  N  	  0.054  	  0.625
93  	  N  	  0.054  	  0.625
94  	  N  	  0.053  	  0.625
95  	  N  	  0.053  	  0.625
96  	  N  	  0.052  	  0.625
97  	  N  	  0.052  	  0.625
98  	  N  	  0.051  	  0.625
99  	  N  	  0.051  	  0.625
100  	  N  	  0.050  	  0.625
