Query 58: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.033
02  	  R  	  1.000  	  0.067
03  	  R  	  1.000  	  0.100
04  	  N  	  0.750  	  0.100
05  	  R  	  0.800  	  0.133
06  	  N  	  0.667  	  0.133
07  	  N  	  0.571  	  0.133
08  	  R  	  0.625  	  0.167
09  	  R  	  0.667  	  0.200
10  	  N  	  0.600  	  0.200
11  	  N  	  0.545  	  0.200
12  	  N  	  0.500  	  0.200
13  	  N  	  0.462  	  0.200
14  	  R  	  0.500  	  0.233
15  	  R  	  0.533  	  0.267
16  	  N  	  0.500  	  0.267
17  	  N  	  0.471  	  0.267
18  	  N  	  0.444  	  0.267
19  	  N  	  0.421  	  0.267
20  	  R  	  0.450  	  0.300
21  	  N  	  0.429  	  0.300
22  	  N  	  0.409  	  0.300
23  	  N  	  0.391  	  0.300
24  	  N  	  0.375  	  0.300
25  	  R  	  0.400  	  0.333
26  	  N  	  0.385  	  0.333
27  	  R  	  0.407  	  0.367
28  	  N  	  0.393  	  0.367
29  	  N  	  0.379  	  0.367
30  	  N  	  0.367  	  0.367
31  	  N  	  0.355  	  0.367
32  	  N  	  0.344  	  0.367
33  	  N  	  0.333  	  0.367
34  	  N  	  0.324  	  0.367
35  	  N  	  0.314  	  0.367
36  	  N  	  0.306  	  0.367
37  	  N  	  0.297  	  0.367
38  	  N  	  0.289  	  0.367
39  	  N  	  0.282  	  0.367
40  	  N  	  0.275  	  0.367
41  	  N  	  0.268  	  0.367
42  	  R  	  0.286  	  0.400
43  	  N  	  0.279  	  0.400
44  	  N  	  0.273  	  0.400
45  	  N  	  0.267  	  0.400
46  	  N  	  0.261  	  0.400
47  	  N  	  0.255  	  0.400
48  	  N  	  0.250  	  0.400
49  	  R  	  0.265  	  0.433
50  	  N  	  0.260  	  0.433
51  	  R  	  0.275  	  0.467
52  	  N  	  0.269  	  0.467
53  	  N  	  0.264  	  0.467
54  	  N  	  0.259  	  0.467
55  	  N  	  0.255  	  0.467
56  	  N  	  0.250  	  0.467
57  	  R  	  0.263  	  0.500
58  	  N  	  0.259  	  0.500
59  	  N  	  0.254  	  0.500
60  	  N  	  0.250  	  0.500
61  	  N  	  0.246  	  0.500
62  	  N  	  0.242  	  0.500
63  	  N  	  0.238  	  0.500
64  	  N  	  0.234  	  0.500
65  	  N  	  0.231  	  0.500
66  	  R  	  0.242  	  0.533
67  	  N  	  0.239  	  0.533
68  	  N  	  0.235  	  0.533
69  	  N  	  0.232  	  0.533
70  	  N  	  0.229  	  0.533
71  	  N  	  0.225  	  0.533
72  	  N  	  0.222  	  0.533
73  	  N  	  0.219  	  0.533
74  	  N  	  0.216  	  0.533
75  	  N  	  0.213  	  0.533
76  	  N  	  0.211  	  0.533
77  	  N  	  0.208  	  0.533
78  	  N  	  0.205  	  0.533
79  	  N  	  0.203  	  0.533
80  	  N  	  0.200  	  0.533
81  	  N  	  0.198  	  0.533
82  	  N  	  0.195  	  0.533
83  	  N  	  0.193  	  0.533
84  	  N  	  0.190  	  0.533
85  	  N  	  0.188  	  0.533
86  	  N  	  0.186  	  0.533
87  	  N  	  0.184  	  0.533
88  	  N  	  0.182  	  0.533
89  	  N  	  0.180  	  0.533
90  	  N  	  0.178  	  0.533
91  	  N  	  0.176  	  0.533
92  	  N  	  0.174  	  0.533
93  	  N  	  0.172  	  0.533
94  	  N  	  0.170  	  0.533
95  	  N  	  0.168  	  0.533
96  	  N  	  0.167  	  0.533
97  	  N  	  0.165  	  0.533
98  	  N  	  0.163  	  0.533
99  	  N  	  0.162  	  0.533
100  	  N  	  0.160  	  0.533
