Query 60: hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.037
02  	  R  	  1.000  	  0.074
03  	  N  	  0.667  	  0.074
04  	  R  	  0.750  	  0.111
05  	  R  	  0.800  	  0.148
06  	  N  	  0.667  	  0.148
07  	  R  	  0.714  	  0.185
08  	  N  	  0.625  	  0.185
09  	  R  	  0.667  	  0.222
10  	  R  	  0.700  	  0.259
11  	  R  	  0.727  	  0.296
12  	  R  	  0.750  	  0.333
13  	  R  	  0.769  	  0.370
14  	  R  	  0.786  	  0.407
15  	  N  	  0.733  	  0.407
16  	  R  	  0.750  	  0.444
17  	  N  	  0.706  	  0.444
18  	  N  	  0.667  	  0.444
19  	  N  	  0.632  	  0.444
20  	  N  	  0.600  	  0.444
21  	  R  	  0.619  	  0.481
22  	  N  	  0.591  	  0.481
23  	  N  	  0.565  	  0.481
24  	  N  	  0.542  	  0.481
25  	  N  	  0.520  	  0.481
26  	  N  	  0.500  	  0.481
27  	  N  	  0.481  	  0.481
28  	  N  	  0.464  	  0.481
29  	  R  	  0.483  	  0.519
30  	  R  	  0.500  	  0.556
31  	  N  	  0.484  	  0.556
32  	  N  	  0.469  	  0.556
33  	  N  	  0.455  	  0.556
34  	  N  	  0.441  	  0.556
35  	  N  	  0.429  	  0.556
36  	  N  	  0.417  	  0.556
37  	  N  	  0.405  	  0.556
38  	  N  	  0.395  	  0.556
39  	  N  	  0.385  	  0.556
40  	  N  	  0.375  	  0.556
41  	  N  	  0.366  	  0.556
42  	  N  	  0.357  	  0.556
43  	  N  	  0.349  	  0.556
44  	  N  	  0.341  	  0.556
45  	  N  	  0.333  	  0.556
46  	  N  	  0.326  	  0.556
47  	  N  	  0.319  	  0.556
48  	  N  	  0.312  	  0.556
49  	  R  	  0.327  	  0.593
50  	  N  	  0.320  	  0.593
51  	  N  	  0.314  	  0.593
52  	  N  	  0.308  	  0.593
53  	  N  	  0.302  	  0.593
54  	  N  	  0.296  	  0.593
55  	  N  	  0.291  	  0.593
56  	  N  	  0.286  	  0.593
57  	  N  	  0.281  	  0.593
58  	  N  	  0.276  	  0.593
59  	  N  	  0.271  	  0.593
60  	  N  	  0.267  	  0.593
61  	  N  	  0.262  	  0.593
62  	  N  	  0.258  	  0.593
63  	  N  	  0.254  	  0.593
64  	  N  	  0.250  	  0.593
65  	  N  	  0.246  	  0.593
66  	  N  	  0.242  	  0.593
67  	  N  	  0.239  	  0.593
68  	  N  	  0.235  	  0.593
69  	  N  	  0.232  	  0.593
70  	  N  	  0.229  	  0.593
71  	  N  	  0.225  	  0.593
72  	  N  	  0.222  	  0.593
73  	  N  	  0.219  	  0.593
74  	  N  	  0.216  	  0.593
75  	  N  	  0.213  	  0.593
76  	  R  	  0.224  	  0.630
77  	  N  	  0.221  	  0.630
78  	  N  	  0.218  	  0.630
79  	  N  	  0.215  	  0.630
80  	  N  	  0.212  	  0.630
81  	  N  	  0.210  	  0.630
82  	  N  	  0.207  	  0.630
83  	  N  	  0.205  	  0.630
84  	  N  	  0.202  	  0.630
85  	  N  	  0.200  	  0.630
86  	  N  	  0.198  	  0.630
87  	  N  	  0.195  	  0.630
88  	  N  	  0.193  	  0.630
89  	  N  	  0.191  	  0.630
90  	  N  	  0.189  	  0.630
91  	  N  	  0.187  	  0.630
92  	  N  	  0.185  	  0.630
93  	  N  	  0.183  	  0.630
94  	  N  	  0.181  	  0.630
95  	  N  	  0.179  	  0.630
96  	  N  	  0.177  	  0.630
97  	  N  	  0.175  	  0.630
98  	  N  	  0.173  	  0.630
99  	  N  	  0.172  	  0.630
100  	  N  	  0.170  	  0.630
