Query 61: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.032
03  	  R  	  0.667  	  0.065
04  	  R  	  0.750  	  0.097
05  	  R  	  0.800  	  0.129
06  	  R  	  0.833  	  0.161
07  	  R  	  0.857  	  0.194
08  	  R  	  0.875  	  0.226
09  	  N  	  0.778  	  0.226
10  	  N  	  0.700  	  0.226
11  	  R  	  0.727  	  0.258
12  	  R  	  0.750  	  0.290
13  	  N  	  0.692  	  0.290
14  	  R  	  0.714  	  0.323
15  	  R  	  0.733  	  0.355
16  	  N  	  0.688  	  0.355
17  	  N  	  0.647  	  0.355
18  	  N  	  0.611  	  0.355
19  	  R  	  0.632  	  0.387
20  	  N  	  0.600  	  0.387
21  	  N  	  0.571  	  0.387
22  	  N  	  0.545  	  0.387
23  	  R  	  0.565  	  0.419
24  	  N  	  0.542  	  0.419
25  	  N  	  0.520  	  0.419
26  	  N  	  0.500  	  0.419
27  	  N  	  0.481  	  0.419
28  	  R  	  0.500  	  0.452
29  	  N  	  0.483  	  0.452
30  	  R  	  0.500  	  0.484
31  	  N  	  0.484  	  0.484
32  	  R  	  0.500  	  0.516
33  	  N  	  0.485  	  0.516
34  	  N  	  0.471  	  0.516
35  	  R  	  0.486  	  0.548
36  	  N  	  0.472  	  0.548
37  	  R  	  0.486  	  0.581
38  	  R  	  0.500  	  0.613
39  	  N  	  0.487  	  0.613
40  	  N  	  0.475  	  0.613
41  	  N  	  0.463  	  0.613
42  	  N  	  0.452  	  0.613
43  	  R  	  0.465  	  0.645
44  	  N  	  0.455  	  0.645
45  	  N  	  0.444  	  0.645
46  	  N  	  0.435  	  0.645
47  	  N  	  0.426  	  0.645
48  	  N  	  0.417  	  0.645
49  	  N  	  0.408  	  0.645
50  	  N  	  0.400  	  0.645
51  	  N  	  0.392  	  0.645
52  	  N  	  0.385  	  0.645
53  	  N  	  0.377  	  0.645
54  	  N  	  0.370  	  0.645
55  	  N  	  0.364  	  0.645
56  	  N  	  0.357  	  0.645
57  	  N  	  0.351  	  0.645
58  	  N  	  0.345  	  0.645
59  	  R  	  0.356  	  0.677
60  	  N  	  0.350  	  0.677
61  	  N  	  0.344  	  0.677
62  	  N  	  0.339  	  0.677
63  	  N  	  0.333  	  0.677
64  	  N  	  0.328  	  0.677
65  	  N  	  0.323  	  0.677
66  	  N  	  0.318  	  0.677
67  	  N  	  0.313  	  0.677
68  	  N  	  0.309  	  0.677
69  	  N  	  0.304  	  0.677
70  	  N  	  0.300  	  0.677
71  	  N  	  0.296  	  0.677
72  	  N  	  0.292  	  0.677
73  	  N  	  0.288  	  0.677
74  	  N  	  0.284  	  0.677
75  	  N  	  0.280  	  0.677
76  	  N  	  0.276  	  0.677
77  	  N  	  0.273  	  0.677
78  	  N  	  0.269  	  0.677
79  	  N  	  0.266  	  0.677
80  	  N  	  0.263  	  0.677
81  	  N  	  0.259  	  0.677
82  	  N  	  0.256  	  0.677
83  	  N  	  0.253  	  0.677
84  	  N  	  0.250  	  0.677
85  	  N  	  0.247  	  0.677
86  	  N  	  0.244  	  0.677
87  	  N  	  0.241  	  0.677
88  	  N  	  0.239  	  0.677
89  	  N  	  0.236  	  0.677
90  	  N  	  0.233  	  0.677
91  	  N  	  0.231  	  0.677
92  	  N  	  0.228  	  0.677
93  	  N  	  0.226  	  0.677
94  	  N  	  0.223  	  0.677
95  	  N  	  0.221  	  0.677
96  	  N  	  0.219  	  0.677
97  	  N  	  0.216  	  0.677
98  	  N  	  0.214  	  0.677
99  	  N  	  0.212  	  0.677
100  	  R  	  0.220  	  0.710
