Query 10: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.029
02  	  N  	  0.500  	  0.029
03  	  R  	  0.667  	  0.057
04  	  N  	  0.500  	  0.057
05  	  R  	  0.600  	  0.086
06  	  R  	  0.667  	  0.114
07  	  R  	  0.714  	  0.143
08  	  R  	  0.750  	  0.171
09  	  R  	  0.778  	  0.200
10  	  R  	  0.800  	  0.229
11  	  R  	  0.818  	  0.257
12  	  N  	  0.750  	  0.257
13  	  R  	  0.769  	  0.286
14  	  N  	  0.714  	  0.286
15  	  N  	  0.667  	  0.286
16  	  N  	  0.625  	  0.286
17  	  N  	  0.588  	  0.286
18  	  N  	  0.556  	  0.286
19  	  N  	  0.526  	  0.286
20  	  N  	  0.500  	  0.286
21  	  N  	  0.476  	  0.286
22  	  N  	  0.455  	  0.286
23  	  R  	  0.478  	  0.314
24  	  R  	  0.500  	  0.343
25  	  N  	  0.480  	  0.343
26  	  N  	  0.462  	  0.343
27  	  N  	  0.444  	  0.343
28  	  R  	  0.464  	  0.371
29  	  N  	  0.448  	  0.371
30  	  N  	  0.433  	  0.371
31  	  R  	  0.452  	  0.400
32  	  N  	  0.438  	  0.400
33  	  R  	  0.455  	  0.429
34  	  N  	  0.441  	  0.429
35  	  R  	  0.457  	  0.457
36  	  N  	  0.444  	  0.457
37  	  N  	  0.432  	  0.457
38  	  N  	  0.421  	  0.457
39  	  N  	  0.410  	  0.457
40  	  N  	  0.400  	  0.457
41  	  N  	  0.390  	  0.457
42  	  N  	  0.381  	  0.457
43  	  N  	  0.372  	  0.457
44  	  N  	  0.364  	  0.457
45  	  N  	  0.356  	  0.457
46  	  N  	  0.348  	  0.457
47  	  N  	  0.340  	  0.457
48  	  R  	  0.354  	  0.486
49  	  N  	  0.347  	  0.486
50  	  R  	  0.360  	  0.514
51  	  N  	  0.353  	  0.514
52  	  N  	  0.346  	  0.514
53  	  N  	  0.340  	  0.514
54  	  N  	  0.333  	  0.514
55  	  N  	  0.327  	  0.514
56  	  N  	  0.321  	  0.514
57  	  N  	  0.316  	  0.514
58  	  N  	  0.310  	  0.514
59  	  N  	  0.305  	  0.514
60  	  N  	  0.300  	  0.514
61  	  N  	  0.295  	  0.514
62  	  N  	  0.290  	  0.514
63  	  R  	  0.302  	  0.543
64  	  N  	  0.297  	  0.543
65  	  N  	  0.292  	  0.543
66  	  N  	  0.288  	  0.543
67  	  R  	  0.299  	  0.571
68  	  N  	  0.294  	  0.571
69  	  N  	  0.290  	  0.571
70  	  N  	  0.286  	  0.571
71  	  N  	  0.282  	  0.571
72  	  N  	  0.278  	  0.571
73  	  N  	  0.274  	  0.571
74  	  N  	  0.270  	  0.571
75  	  N  	  0.267  	  0.571
76  	  N  	  0.263  	  0.571
77  	  N  	  0.260  	  0.571
78  	  N  	  0.256  	  0.571
79  	  N  	  0.253  	  0.571
80  	  N  	  0.250  	  0.571
81  	  N  	  0.247  	  0.571
82  	  N  	  0.244  	  0.571
83  	  N  	  0.241  	  0.571
84  	  N  	  0.238  	  0.571
85  	  N  	  0.235  	  0.571
86  	  N  	  0.233  	  0.571
87  	  N  	  0.230  	  0.571
88  	  N  	  0.227  	  0.571
89  	  N  	  0.225  	  0.571
90  	  N  	  0.222  	  0.571
91  	  N  	  0.220  	  0.571
92  	  R  	  0.228  	  0.600
93  	  N  	  0.226  	  0.600
94  	  N  	  0.223  	  0.600
95  	  N  	  0.221  	  0.600
96  	  N  	  0.219  	  0.600
97  	  N  	  0.216  	  0.600
98  	  N  	  0.214  	  0.600
99  	  N  	  0.212  	  0.600
100  	  R  	  0.220  	  0.629
