Query 11: setl very high level languages

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.053
03  	  R  	  0.667  	  0.105
04  	  R  	  0.750  	  0.158
05  	  N  	  0.600  	  0.158
06  	  N  	  0.500  	  0.158
07  	  N  	  0.429  	  0.158
08  	  N  	  0.375  	  0.158
09  	  N  	  0.333  	  0.158
10  	  N  	  0.300  	  0.158
11  	  N  	  0.273  	  0.158
12  	  N  	  0.250  	  0.158
13  	  N  	  0.231  	  0.158
14  	  N  	  0.214  	  0.158
15  	  R  	  0.267  	  0.211
16  	  N  	  0.250  	  0.211
17  	  R  	  0.294  	  0.263
18  	  N  	  0.278  	  0.263
19  	  N  	  0.263  	  0.263
20  	  N  	  0.250  	  0.263
21  	  N  	  0.238  	  0.263
22  	  R  	  0.273  	  0.316
23  	  N  	  0.261  	  0.316
24  	  N  	  0.250  	  0.316
25  	  N  	  0.240  	  0.316
26  	  N  	  0.231  	  0.316
27  	  N  	  0.222  	  0.316
28  	  N  	  0.214  	  0.316
29  	  N  	  0.207  	  0.316
30  	  N  	  0.200  	  0.316
31  	  N  	  0.194  	  0.316
32  	  N  	  0.188  	  0.316
33  	  N  	  0.182  	  0.316
34  	  R  	  0.206  	  0.368
35  	  N  	  0.200  	  0.368
36  	  N  	  0.194  	  0.368
37  	  N  	  0.189  	  0.368
38  	  N  	  0.184  	  0.368
39  	  N  	  0.179  	  0.368
40  	  N  	  0.175  	  0.368
41  	  N  	  0.171  	  0.368
42  	  N  	  0.167  	  0.368
43  	  N  	  0.163  	  0.368
44  	  N  	  0.159  	  0.368
45  	  R  	  0.178  	  0.421
46  	  N  	  0.174  	  0.421
47  	  N  	  0.170  	  0.421
48  	  N  	  0.167  	  0.421
49  	  N  	  0.163  	  0.421
50  	  N  	  0.160  	  0.421
51  	  N  	  0.157  	  0.421
52  	  N  	  0.154  	  0.421
53  	  N  	  0.151  	  0.421
54  	  N  	  0.148  	  0.421
55  	  R  	  0.164  	  0.474
56  	  N  	  0.161  	  0.474
57  	  N  	  0.158  	  0.474
58  	  N  	  0.155  	  0.474
59  	  N  	  0.153  	  0.474
60  	  N  	  0.150  	  0.474
61  	  N  	  0.148  	  0.474
62  	  N  	  0.145  	  0.474
63  	  N  	  0.143  	  0.474
64  	  N  	  0.141  	  0.474
65  	  N  	  0.138  	  0.474
66  	  N  	  0.136  	  0.474
67  	  N  	  0.134  	  0.474
68  	  N  	  0.132  	  0.474
69  	  N  	  0.130  	  0.474
70  	  N  	  0.129  	  0.474
71  	  R  	  0.141  	  0.526
72  	  N  	  0.139  	  0.526
73  	  N  	  0.137  	  0.526
74  	  N  	  0.135  	  0.526
75  	  N  	  0.133  	  0.526
76  	  N  	  0.132  	  0.526
77  	  N  	  0.130  	  0.526
78  	  N  	  0.128  	  0.526
79  	  R  	  0.139  	  0.579
80  	  N  	  0.138  	  0.579
81  	  N  	  0.136  	  0.579
82  	  N  	  0.134  	  0.579
83  	  N  	  0.133  	  0.579
84  	  N  	  0.131  	  0.579
85  	  N  	  0.129  	  0.579
86  	  N  	  0.128  	  0.579
87  	  N  	  0.126  	  0.579
88  	  N  	  0.125  	  0.579
89  	  N  	  0.124  	  0.579
90  	  N  	  0.122  	  0.579
91  	  N  	  0.121  	  0.579
92  	  N  	  0.120  	  0.579
93  	  N  	  0.118  	  0.579
94  	  N  	  0.117  	  0.579
95  	  N  	  0.116  	  0.579
96  	  N  	  0.115  	  0.579
97  	  N  	  0.113  	  0.579
98  	  N  	  0.112  	  0.579
99  	  N  	  0.111  	  0.579
100  	  N  	  0.110  	  0.579
