Query 15: find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.100
03  	  N  	  0.333  	  0.100
04  	  N  	  0.250  	  0.100
05  	  N  	  0.200  	  0.100
06  	  N  	  0.167  	  0.100
07  	  N  	  0.143  	  0.100
08  	  N  	  0.125  	  0.100
09  	  R  	  0.222  	  0.200
10  	  N  	  0.200  	  0.200
11  	  N  	  0.182  	  0.200
12  	  N  	  0.167  	  0.200
13  	  N  	  0.154  	  0.200
14  	  N  	  0.143  	  0.200
15  	  N  	  0.133  	  0.200
16  	  N  	  0.125  	  0.200
17  	  N  	  0.118  	  0.200
18  	  N  	  0.111  	  0.200
19  	  N  	  0.105  	  0.200
20  	  N  	  0.100  	  0.200
21  	  N  	  0.095  	  0.200
22  	  N  	  0.091  	  0.200
23  	  N  	  0.087  	  0.200
24  	  N  	  0.083  	  0.200
25  	  N  	  0.080  	  0.200
26  	  N  	  0.077  	  0.200
27  	  R  	  0.111  	  0.300
28  	  N  	  0.107  	  0.300
29  	  N  	  0.103  	  0.300
30  	  N  	  0.100  	  0.300
31  	  N  	  0.097  	  0.300
32  	  N  	  0.094  	  0.300
33  	  N  	  0.091  	  0.300
34  	  N  	  0.088  	  0.300
35  	  N  	  0.086  	  0.300
36  	  N  	  0.083  	  0.300
37  	  N  	  0.081  	  0.300
38  	  R  	  0.105  	  0.400
39  	  N  	  0.103  	  0.400
40  	  N  	  0.100  	  0.400
41  	  N  	  0.098  	  0.400
42  	  N  	  0.095  	  0.400
43  	  N  	  0.093  	  0.400
44  	  N  	  0.091  	  0.400
45  	  N  	  0.089  	  0.400
46  	  N  	  0.087  	  0.400
47  	  N  	  0.085  	  0.400
48  	  N  	  0.083  	  0.400
49  	  N  	  0.082  	  0.400
50  	  N  	  0.080  	  0.400
51  	  N  	  0.078  	  0.400
52  	  N  	  0.077  	  0.400
53  	  N  	  0.075  	  0.400
54  	  N  	  0.074  	  0.400
55  	  N  	  0.073  	  0.400
56  	  N  	  0.071  	  0.400
57  	  N  	  0.070  	  0.400
58  	  N  	  0.069  	  0.400
59  	  N  	  0.068  	  0.400
60  	  N  	  0.067  	  0.400
61  	  N  	  0.066  	  0.400
62  	  N  	  0.065  	  0.400
63  	  N  	  0.063  	  0.400
64  	  N  	  0.062  	  0.400
65  	  N  	  0.062  	  0.400
66  	  N  	  0.061  	  0.400
67  	  N  	  0.060  	  0.400
68  	  N  	  0.059  	  0.400
69  	  N  	  0.058  	  0.400
70  	  N  	  0.057  	  0.400
71  	  N  	  0.056  	  0.400
72  	  N  	  0.056  	  0.400
73  	  R  	  0.068  	  0.500
74  	  N  	  0.068  	  0.500
75  	  N  	  0.067  	  0.500
76  	  N  	  0.066  	  0.500
77  	  N  	  0.065  	  0.500
78  	  N  	  0.064  	  0.500
79  	  N  	  0.063  	  0.500
80  	  N  	  0.062  	  0.500
81  	  N  	  0.062  	  0.500
82  	  R  	  0.073  	  0.600
83  	  N  	  0.072  	  0.600
84  	  N  	  0.071  	  0.600
85  	  N  	  0.071  	  0.600
86  	  N  	  0.070  	  0.600
87  	  N  	  0.069  	  0.600
88  	  N  	  0.068  	  0.600
89  	  N  	  0.067  	  0.600
90  	  N  	  0.067  	  0.600
91  	  N  	  0.066  	  0.600
92  	  N  	  0.065  	  0.600
93  	  N  	  0.065  	  0.600
94  	  N  	  0.064  	  0.600
95  	  N  	  0.063  	  0.600
96  	  N  	  0.062  	  0.600
97  	  N  	  0.062  	  0.600
98  	  N  	  0.061  	  0.600
99  	  N  	  0.061  	  0.600
100  	  N  	  0.060  	  0.600
