Query 16: find all descriptions of file handling in operating systems based on multiple processes and message passing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.059
03  	  N  	  0.333  	  0.059
04  	  N  	  0.250  	  0.059
05  	  N  	  0.200  	  0.059
06  	  N  	  0.167  	  0.059
07  	  R  	  0.286  	  0.118
08  	  N  	  0.250  	  0.118
09  	  N  	  0.222  	  0.118
10  	  N  	  0.200  	  0.118
11  	  R  	  0.273  	  0.176
12  	  N  	  0.250  	  0.176
13  	  N  	  0.231  	  0.176
14  	  N  	  0.214  	  0.176
15  	  R  	  0.267  	  0.235
16  	  N  	  0.250  	  0.235
17  	  N  	  0.235  	  0.235
18  	  N  	  0.222  	  0.235
19  	  N  	  0.211  	  0.235
20  	  N  	  0.200  	  0.235
21  	  N  	  0.190  	  0.235
22  	  N  	  0.182  	  0.235
23  	  N  	  0.174  	  0.235
24  	  N  	  0.167  	  0.235
25  	  R  	  0.200  	  0.294
26  	  N  	  0.192  	  0.294
27  	  N  	  0.185  	  0.294
28  	  N  	  0.179  	  0.294
29  	  N  	  0.172  	  0.294
30  	  N  	  0.167  	  0.294
31  	  N  	  0.161  	  0.294
32  	  N  	  0.156  	  0.294
33  	  N  	  0.152  	  0.294
34  	  N  	  0.147  	  0.294
35  	  N  	  0.143  	  0.294
36  	  N  	  0.139  	  0.294
37  	  N  	  0.135  	  0.294
38  	  N  	  0.132  	  0.294
39  	  N  	  0.128  	  0.294
40  	  R  	  0.150  	  0.353
41  	  N  	  0.146  	  0.353
42  	  N  	  0.143  	  0.353
43  	  N  	  0.140  	  0.353
44  	  N  	  0.136  	  0.353
45  	  N  	  0.133  	  0.353
46  	  N  	  0.130  	  0.353
47  	  N  	  0.128  	  0.353
48  	  N  	  0.125  	  0.353
49  	  N  	  0.122  	  0.353
50  	  N  	  0.120  	  0.353
51  	  N  	  0.118  	  0.353
52  	  N  	  0.115  	  0.353
53  	  R  	  0.132  	  0.412
54  	  N  	  0.130  	  0.412
55  	  N  	  0.127  	  0.412
56  	  N  	  0.125  	  0.412
57  	  N  	  0.123  	  0.412
58  	  N  	  0.121  	  0.412
59  	  N  	  0.119  	  0.412
60  	  N  	  0.117  	  0.412
61  	  N  	  0.115  	  0.412
62  	  N  	  0.113  	  0.412
63  	  N  	  0.111  	  0.412
64  	  N  	  0.109  	  0.412
65  	  N  	  0.108  	  0.412
66  	  N  	  0.106  	  0.412
67  	  N  	  0.104  	  0.412
68  	  N  	  0.103  	  0.412
69  	  N  	  0.101  	  0.412
70  	  N  	  0.100  	  0.412
71  	  N  	  0.099  	  0.412
72  	  N  	  0.097  	  0.412
73  	  N  	  0.096  	  0.412
74  	  R  	  0.108  	  0.471
75  	  N  	  0.107  	  0.471
76  	  R  	  0.118  	  0.529
77  	  N  	  0.117  	  0.529
78  	  N  	  0.115  	  0.529
79  	  N  	  0.114  	  0.529
80  	  N  	  0.113  	  0.529
81  	  N  	  0.111  	  0.529
82  	  N  	  0.110  	  0.529
83  	  N  	  0.108  	  0.529
84  	  N  	  0.107  	  0.529
85  	  N  	  0.106  	  0.529
86  	  R  	  0.116  	  0.588
87  	  N  	  0.115  	  0.588
88  	  N  	  0.114  	  0.588
89  	  N  	  0.112  	  0.588
90  	  N  	  0.111  	  0.588
91  	  N  	  0.110  	  0.588
92  	  N  	  0.109  	  0.588
93  	  N  	  0.108  	  0.588
94  	  N  	  0.106  	  0.588
95  	  N  	  0.105  	  0.588
96  	  N  	  0.104  	  0.588
97  	  N  	  0.103  	  0.588
98  	  N  	  0.102  	  0.588
99  	  N  	  0.101  	  0.588
100  	  N  	  0.100  	  0.588
