Query 17: optimization of intermediate and machine code

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.062
03  	  R  	  0.667  	  0.125
04  	  R  	  0.750  	  0.188
05  	  N  	  0.600  	  0.188
06  	  R  	  0.667  	  0.250
07  	  N  	  0.571  	  0.250
08  	  R  	  0.625  	  0.312
09  	  N  	  0.556  	  0.312
10  	  N  	  0.500  	  0.312
11  	  N  	  0.455  	  0.312
12  	  N  	  0.417  	  0.312
13  	  R  	  0.462  	  0.375
14  	  R  	  0.500  	  0.438
15  	  N  	  0.467  	  0.438
16  	  N  	  0.438  	  0.438
17  	  R  	  0.471  	  0.500
18  	  N  	  0.444  	  0.500
19  	  N  	  0.421  	  0.500
20  	  N  	  0.400  	  0.500
21  	  N  	  0.381  	  0.500
22  	  N  	  0.364  	  0.500
23  	  N  	  0.348  	  0.500
24  	  N  	  0.333  	  0.500
25  	  N  	  0.320  	  0.500
26  	  N  	  0.308  	  0.500
27  	  N  	  0.296  	  0.500
28  	  N  	  0.286  	  0.500
29  	  N  	  0.276  	  0.500
30  	  N  	  0.267  	  0.500
31  	  N  	  0.258  	  0.500
32  	  N  	  0.250  	  0.500
33  	  N  	  0.242  	  0.500
34  	  N  	  0.235  	  0.500
35  	  N  	  0.229  	  0.500
36  	  N  	  0.222  	  0.500
37  	  N  	  0.216  	  0.500
38  	  N  	  0.211  	  0.500
39  	  N  	  0.205  	  0.500
40  	  N  	  0.200  	  0.500
41  	  N  	  0.195  	  0.500
42  	  R  	  0.214  	  0.562
43  	  N  	  0.209  	  0.562
44  	  N  	  0.205  	  0.562
45  	  N  	  0.200  	  0.562
46  	  N  	  0.196  	  0.562
47  	  R  	  0.213  	  0.625
48  	  N  	  0.208  	  0.625
49  	  N  	  0.204  	  0.625
50  	  N  	  0.200  	  0.625
51  	  N  	  0.196  	  0.625
52  	  N  	  0.192  	  0.625
53  	  N  	  0.189  	  0.625
54  	  N  	  0.185  	  0.625
55  	  N  	  0.182  	  0.625
56  	  N  	  0.179  	  0.625
57  	  N  	  0.175  	  0.625
58  	  N  	  0.172  	  0.625
59  	  N  	  0.169  	  0.625
60  	  N  	  0.167  	  0.625
61  	  N  	  0.164  	  0.625
62  	  N  	  0.161  	  0.625
63  	  N  	  0.159  	  0.625
64  	  N  	  0.156  	  0.625
65  	  N  	  0.154  	  0.625
66  	  N  	  0.152  	  0.625
67  	  N  	  0.149  	  0.625
68  	  N  	  0.147  	  0.625
69  	  N  	  0.145  	  0.625
70  	  N  	  0.143  	  0.625
71  	  N  	  0.141  	  0.625
72  	  N  	  0.139  	  0.625
73  	  N  	  0.137  	  0.625
74  	  N  	  0.135  	  0.625
75  	  N  	  0.133  	  0.625
76  	  N  	  0.132  	  0.625
77  	  N  	  0.130  	  0.625
78  	  N  	  0.128  	  0.625
79  	  N  	  0.127  	  0.625
80  	  N  	  0.125  	  0.625
81  	  N  	  0.123  	  0.625
82  	  N  	  0.122  	  0.625
83  	  N  	  0.120  	  0.625
84  	  N  	  0.119  	  0.625
85  	  N  	  0.118  	  0.625
86  	  N  	  0.116  	  0.625
87  	  N  	  0.115  	  0.625
88  	  N  	  0.114  	  0.625
89  	  N  	  0.112  	  0.625
90  	  N  	  0.111  	  0.625
91  	  N  	  0.110  	  0.625
92  	  N  	  0.109  	  0.625
93  	  N  	  0.108  	  0.625
94  	  N  	  0.106  	  0.625
95  	  N  	  0.105  	  0.625
96  	  N  	  0.104  	  0.625
97  	  N  	  0.103  	  0.625
98  	  N  	  0.102  	  0.625
99  	  N  	  0.101  	  0.625
100  	  N  	  0.100  	  0.625
