Query 21: computational complexity intractability class complete reductions algorithms and efficiency

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.091
02  	  R  	  1.000  	  0.182
03  	  N  	  0.667  	  0.182
04  	  N  	  0.500  	  0.182
05  	  N  	  0.400  	  0.182
06  	  N  	  0.333  	  0.182
07  	  N  	  0.286  	  0.182
08  	  N  	  0.250  	  0.182
09  	  N  	  0.222  	  0.182
10  	  R  	  0.300  	  0.273
11  	  N  	  0.273  	  0.273
12  	  N  	  0.250  	  0.273
13  	  N  	  0.231  	  0.273
14  	  N  	  0.214  	  0.273
15  	  N  	  0.200  	  0.273
16  	  N  	  0.188  	  0.273
17  	  N  	  0.176  	  0.273
18  	  N  	  0.167  	  0.273
19  	  N  	  0.158  	  0.273
20  	  N  	  0.150  	  0.273
21  	  N  	  0.143  	  0.273
22  	  N  	  0.136  	  0.273
23  	  N  	  0.130  	  0.273
24  	  N  	  0.125  	  0.273
25  	  N  	  0.120  	  0.273
26  	  N  	  0.115  	  0.273
27  	  N  	  0.111  	  0.273
28  	  N  	  0.107  	  0.273
29  	  N  	  0.103  	  0.273
30  	  N  	  0.100  	  0.273
31  	  N  	  0.097  	  0.273
32  	  N  	  0.094  	  0.273
33  	  N  	  0.091  	  0.273
34  	  N  	  0.088  	  0.273
35  	  N  	  0.086  	  0.273
36  	  N  	  0.083  	  0.273
37  	  N  	  0.081  	  0.273
38  	  N  	  0.079  	  0.273
39  	  N  	  0.077  	  0.273
40  	  N  	  0.075  	  0.273
41  	  N  	  0.073  	  0.273
42  	  N  	  0.071  	  0.273
43  	  N  	  0.070  	  0.273
44  	  N  	  0.068  	  0.273
45  	  N  	  0.067  	  0.273
46  	  N  	  0.065  	  0.273
47  	  N  	  0.064  	  0.273
48  	  N  	  0.062  	  0.273
49  	  N  	  0.061  	  0.273
50  	  N  	  0.060  	  0.273
51  	  N  	  0.059  	  0.273
52  	  N  	  0.058  	  0.273
53  	  N  	  0.057  	  0.273
54  	  N  	  0.056  	  0.273
55  	  N  	  0.055  	  0.273
56  	  N  	  0.054  	  0.273
57  	  N  	  0.053  	  0.273
58  	  N  	  0.052  	  0.273
59  	  N  	  0.051  	  0.273
60  	  N  	  0.050  	  0.273
61  	  N  	  0.049  	  0.273
62  	  N  	  0.048  	  0.273
63  	  N  	  0.048  	  0.273
64  	  N  	  0.047  	  0.273
65  	  N  	  0.046  	  0.273
66  	  N  	  0.045  	  0.273
67  	  N  	  0.045  	  0.273
68  	  N  	  0.044  	  0.273
69  	  N  	  0.043  	  0.273
70  	  N  	  0.043  	  0.273
71  	  N  	  0.042  	  0.273
72  	  N  	  0.042  	  0.273
73  	  N  	  0.041  	  0.273
74  	  N  	  0.041  	  0.273
75  	  N  	  0.040  	  0.273
76  	  N  	  0.039  	  0.273
77  	  N  	  0.039  	  0.273
78  	  N  	  0.038  	  0.273
79  	  N  	  0.038  	  0.273
80  	  N  	  0.037  	  0.273
81  	  N  	  0.037  	  0.273
82  	  N  	  0.037  	  0.273
83  	  N  	  0.036  	  0.273
84  	  N  	  0.036  	  0.273
85  	  N  	  0.035  	  0.273
86  	  N  	  0.035  	  0.273
87  	  N  	  0.034  	  0.273
88  	  N  	  0.034  	  0.273
89  	  N  	  0.034  	  0.273
90  	  N  	  0.033  	  0.273
91  	  N  	  0.033  	  0.273
92  	  N  	  0.033  	  0.273
93  	  N  	  0.032  	  0.273
94  	  N  	  0.032  	  0.273
95  	  N  	  0.032  	  0.273
96  	  N  	  0.031  	  0.273
97  	  N  	  0.031  	  0.273
98  	  N  	  0.031  	  0.273
99  	  N  	  0.030  	  0.273
100  	  N  	  0.030  	  0.273
