Query 22: i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  N  	  0.500  	  0.059
03  	  R  	  0.667  	  0.118
04  	  R  	  0.750  	  0.176
05  	  R  	  0.800  	  0.235
06  	  R  	  0.833  	  0.294
07  	  R  	  0.857  	  0.353
08  	  R  	  0.875  	  0.412
09  	  R  	  0.889  	  0.471
10  	  R  	  0.900  	  0.529
11  	  R  	  0.909  	  0.588
12  	  N  	  0.833  	  0.588
13  	  N  	  0.769  	  0.588
14  	  R  	  0.786  	  0.647
15  	  R  	  0.800  	  0.706
16  	  N  	  0.750  	  0.706
17  	  R  	  0.765  	  0.765
18  	  N  	  0.722  	  0.765
19  	  N  	  0.684  	  0.765
20  	  N  	  0.650  	  0.765
21  	  R  	  0.667  	  0.824
22  	  R  	  0.682  	  0.882
23  	  N  	  0.652  	  0.882
24  	  N  	  0.625  	  0.882
25  	  N  	  0.600  	  0.882
26  	  N  	  0.577  	  0.882
27  	  N  	  0.556  	  0.882
28  	  N  	  0.536  	  0.882
29  	  N  	  0.517  	  0.882
30  	  N  	  0.500  	  0.882
31  	  N  	  0.484  	  0.882
32  	  N  	  0.469  	  0.882
33  	  N  	  0.455  	  0.882
34  	  N  	  0.441  	  0.882
35  	  N  	  0.429  	  0.882
36  	  N  	  0.417  	  0.882
37  	  N  	  0.405  	  0.882
38  	  N  	  0.395  	  0.882
39  	  N  	  0.385  	  0.882
40  	  N  	  0.375  	  0.882
41  	  N  	  0.366  	  0.882
42  	  N  	  0.357  	  0.882
43  	  N  	  0.349  	  0.882
44  	  N  	  0.341  	  0.882
45  	  N  	  0.333  	  0.882
46  	  N  	  0.326  	  0.882
47  	  N  	  0.319  	  0.882
48  	  N  	  0.312  	  0.882
49  	  N  	  0.306  	  0.882
50  	  N  	  0.300  	  0.882
51  	  N  	  0.294  	  0.882
52  	  N  	  0.288  	  0.882
53  	  N  	  0.283  	  0.882
54  	  N  	  0.278  	  0.882
55  	  N  	  0.273  	  0.882
56  	  N  	  0.268  	  0.882
57  	  N  	  0.263  	  0.882
58  	  N  	  0.259  	  0.882
59  	  N  	  0.254  	  0.882
60  	  N  	  0.250  	  0.882
61  	  N  	  0.246  	  0.882
62  	  N  	  0.242  	  0.882
63  	  N  	  0.238  	  0.882
64  	  N  	  0.234  	  0.882
65  	  N  	  0.231  	  0.882
66  	  N  	  0.227  	  0.882
67  	  N  	  0.224  	  0.882
68  	  N  	  0.221  	  0.882
69  	  N  	  0.217  	  0.882
70  	  N  	  0.214  	  0.882
71  	  N  	  0.211  	  0.882
72  	  N  	  0.208  	  0.882
73  	  N  	  0.205  	  0.882
74  	  N  	  0.203  	  0.882
75  	  N  	  0.200  	  0.882
76  	  N  	  0.197  	  0.882
77  	  N  	  0.195  	  0.882
78  	  N  	  0.192  	  0.882
79  	  N  	  0.190  	  0.882
80  	  N  	  0.188  	  0.882
81  	  N  	  0.185  	  0.882
82  	  N  	  0.183  	  0.882
83  	  N  	  0.181  	  0.882
84  	  N  	  0.179  	  0.882
85  	  N  	  0.176  	  0.882
86  	  N  	  0.174  	  0.882
87  	  N  	  0.172  	  0.882
88  	  N  	  0.170  	  0.882
89  	  N  	  0.169  	  0.882
90  	  N  	  0.167  	  0.882
91  	  N  	  0.165  	  0.882
92  	  N  	  0.163  	  0.882
93  	  N  	  0.161  	  0.882
94  	  N  	  0.160  	  0.882
95  	  N  	  0.158  	  0.882
96  	  N  	  0.156  	  0.882
97  	  N  	  0.155  	  0.882
98  	  N  	  0.153  	  0.882
99  	  R  	  0.162  	  0.941
100  	  N  	  0.160  	  0.941
