Query 23: distributed computing structures and algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.250
03  	  N  	  0.333  	  0.250
04  	  R  	  0.500  	  0.500
05  	  R  	  0.600  	  0.750
06  	  N  	  0.500  	  0.750
07  	  N  	  0.429  	  0.750
08  	  N  	  0.375  	  0.750
09  	  N  	  0.333  	  0.750
10  	  N  	  0.300  	  0.750
11  	  N  	  0.273  	  0.750
12  	  N  	  0.250  	  0.750
13  	  N  	  0.231  	  0.750
14  	  N  	  0.214  	  0.750
15  	  N  	  0.200  	  0.750
16  	  N  	  0.188  	  0.750
17  	  N  	  0.176  	  0.750
18  	  N  	  0.167  	  0.750
19  	  N  	  0.158  	  0.750
20  	  N  	  0.150  	  0.750
21  	  N  	  0.143  	  0.750
22  	  N  	  0.136  	  0.750
23  	  N  	  0.130  	  0.750
24  	  N  	  0.125  	  0.750
25  	  N  	  0.120  	  0.750
26  	  N  	  0.115  	  0.750
27  	  N  	  0.111  	  0.750
28  	  N  	  0.107  	  0.750
29  	  N  	  0.103  	  0.750
30  	  N  	  0.100  	  0.750
31  	  N  	  0.097  	  0.750
32  	  N  	  0.094  	  0.750
33  	  N  	  0.091  	  0.750
34  	  N  	  0.088  	  0.750
35  	  N  	  0.086  	  0.750
36  	  N  	  0.083  	  0.750
37  	  N  	  0.081  	  0.750
38  	  N  	  0.079  	  0.750
39  	  N  	  0.077  	  0.750
40  	  N  	  0.075  	  0.750
41  	  N  	  0.073  	  0.750
42  	  N  	  0.071  	  0.750
43  	  N  	  0.070  	  0.750
44  	  N  	  0.068  	  0.750
45  	  N  	  0.067  	  0.750
46  	  N  	  0.065  	  0.750
47  	  N  	  0.064  	  0.750
48  	  N  	  0.062  	  0.750
49  	  N  	  0.061  	  0.750
50  	  N  	  0.060  	  0.750
51  	  N  	  0.059  	  0.750
52  	  N  	  0.058  	  0.750
53  	  N  	  0.057  	  0.750
54  	  N  	  0.056  	  0.750
55  	  N  	  0.055  	  0.750
56  	  N  	  0.054  	  0.750
57  	  N  	  0.053  	  0.750
58  	  N  	  0.052  	  0.750
59  	  N  	  0.051  	  0.750
60  	  N  	  0.050  	  0.750
61  	  N  	  0.049  	  0.750
62  	  N  	  0.048  	  0.750
63  	  N  	  0.048  	  0.750
64  	  N  	  0.047  	  0.750
65  	  N  	  0.046  	  0.750
66  	  N  	  0.045  	  0.750
67  	  N  	  0.045  	  0.750
68  	  N  	  0.044  	  0.750
69  	  N  	  0.043  	  0.750
70  	  N  	  0.043  	  0.750
71  	  N  	  0.042  	  0.750
72  	  N  	  0.042  	  0.750
73  	  N  	  0.041  	  0.750
74  	  N  	  0.041  	  0.750
75  	  N  	  0.040  	  0.750
76  	  N  	  0.039  	  0.750
77  	  N  	  0.039  	  0.750
78  	  N  	  0.038  	  0.750
79  	  N  	  0.038  	  0.750
80  	  N  	  0.037  	  0.750
81  	  N  	  0.037  	  0.750
82  	  N  	  0.037  	  0.750
83  	  N  	  0.036  	  0.750
84  	  N  	  0.036  	  0.750
85  	  N  	  0.035  	  0.750
86  	  N  	  0.035  	  0.750
87  	  N  	  0.034  	  0.750
88  	  N  	  0.034  	  0.750
89  	  N  	  0.034  	  0.750
90  	  N  	  0.033  	  0.750
91  	  N  	  0.033  	  0.750
92  	  N  	  0.033  	  0.750
93  	  N  	  0.032  	  0.750
94  	  N  	  0.032  	  0.750
95  	  N  	  0.032  	  0.750
96  	  N  	  0.031  	  0.750
97  	  N  	  0.031  	  0.750
98  	  N  	  0.031  	  0.750
99  	  N  	  0.030  	  0.750
100  	  N  	  0.030  	  0.750
