Query 25: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.020
02  	  R  	  1.000  	  0.039
03  	  R  	  1.000  	  0.059
04  	  N  	  0.750  	  0.059
05  	  R  	  0.800  	  0.078
06  	  N  	  0.667  	  0.078
07  	  N  	  0.571  	  0.078
08  	  N  	  0.500  	  0.078
09  	  N  	  0.444  	  0.078
10  	  N  	  0.400  	  0.078
11  	  N  	  0.364  	  0.078
12  	  N  	  0.333  	  0.078
13  	  N  	  0.308  	  0.078
14  	  N  	  0.286  	  0.078
15  	  N  	  0.267  	  0.078
16  	  N  	  0.250  	  0.078
17  	  N  	  0.235  	  0.078
18  	  N  	  0.222  	  0.078
19  	  R  	  0.263  	  0.098
20  	  N  	  0.250  	  0.098
21  	  R  	  0.286  	  0.118
22  	  R  	  0.318  	  0.137
23  	  N  	  0.304  	  0.137
24  	  N  	  0.292  	  0.137
25  	  N  	  0.280  	  0.137
26  	  N  	  0.269  	  0.137
27  	  R  	  0.296  	  0.157
28  	  N  	  0.286  	  0.157
29  	  R  	  0.310  	  0.176
30  	  N  	  0.300  	  0.176
31  	  N  	  0.290  	  0.176
32  	  N  	  0.281  	  0.176
33  	  N  	  0.273  	  0.176
34  	  N  	  0.265  	  0.176
35  	  N  	  0.257  	  0.176
36  	  N  	  0.250  	  0.176
37  	  N  	  0.243  	  0.176
38  	  N  	  0.237  	  0.176
39  	  N  	  0.231  	  0.176
40  	  R  	  0.250  	  0.196
41  	  N  	  0.244  	  0.196
42  	  R  	  0.262  	  0.216
43  	  N  	  0.256  	  0.216
44  	  N  	  0.250  	  0.216
45  	  N  	  0.244  	  0.216
46  	  N  	  0.239  	  0.216
47  	  N  	  0.234  	  0.216
48  	  N  	  0.229  	  0.216
49  	  N  	  0.224  	  0.216
50  	  N  	  0.220  	  0.216
51  	  N  	  0.216  	  0.216
52  	  N  	  0.212  	  0.216
53  	  R  	  0.226  	  0.235
54  	  N  	  0.222  	  0.235
55  	  N  	  0.218  	  0.235
56  	  N  	  0.214  	  0.235
57  	  N  	  0.211  	  0.235
58  	  N  	  0.207  	  0.235
59  	  N  	  0.203  	  0.235
60  	  N  	  0.200  	  0.235
61  	  R  	  0.213  	  0.255
62  	  N  	  0.210  	  0.255
63  	  N  	  0.206  	  0.255
64  	  N  	  0.203  	  0.255
65  	  N  	  0.200  	  0.255
66  	  N  	  0.197  	  0.255
67  	  N  	  0.194  	  0.255
68  	  N  	  0.191  	  0.255
69  	  N  	  0.188  	  0.255
70  	  N  	  0.186  	  0.255
71  	  N  	  0.183  	  0.255
72  	  N  	  0.181  	  0.255
73  	  R  	  0.192  	  0.275
74  	  N  	  0.189  	  0.275
75  	  N  	  0.187  	  0.275
76  	  N  	  0.184  	  0.275
77  	  N  	  0.182  	  0.275
78  	  N  	  0.179  	  0.275
79  	  N  	  0.177  	  0.275
80  	  R  	  0.188  	  0.294
81  	  N  	  0.185  	  0.294
82  	  N  	  0.183  	  0.294
83  	  N  	  0.181  	  0.294
84  	  N  	  0.179  	  0.294
85  	  N  	  0.176  	  0.294
86  	  N  	  0.174  	  0.294
87  	  N  	  0.172  	  0.294
88  	  N  	  0.170  	  0.294
89  	  N  	  0.169  	  0.294
90  	  N  	  0.167  	  0.294
91  	  N  	  0.165  	  0.294
92  	  N  	  0.163  	  0.294
93  	  N  	  0.161  	  0.294
94  	  N  	  0.160  	  0.294
95  	  N  	  0.158  	  0.294
96  	  N  	  0.156  	  0.294
97  	  N  	  0.155  	  0.294
98  	  N  	  0.153  	  0.294
99  	  N  	  0.152  	  0.294
100  	  N  	  0.150  	  0.294
