Query 26: concurrency control mechanisms in operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.033
03  	  N  	  0.333  	  0.033
04  	  N  	  0.250  	  0.033
05  	  N  	  0.200  	  0.033
06  	  N  	  0.167  	  0.033
07  	  N  	  0.143  	  0.033
08  	  N  	  0.125  	  0.033
09  	  N  	  0.111  	  0.033
10  	  N  	  0.100  	  0.033
11  	  N  	  0.091  	  0.033
12  	  N  	  0.083  	  0.033
13  	  N  	  0.077  	  0.033
14  	  N  	  0.071  	  0.033
15  	  N  	  0.067  	  0.033
16  	  N  	  0.062  	  0.033
17  	  N  	  0.059  	  0.033
18  	  N  	  0.056  	  0.033
19  	  N  	  0.053  	  0.033
20  	  N  	  0.050  	  0.033
21  	  N  	  0.048  	  0.033
22  	  N  	  0.045  	  0.033
23  	  N  	  0.043  	  0.033
24  	  N  	  0.042  	  0.033
25  	  N  	  0.040  	  0.033
26  	  N  	  0.038  	  0.033
27  	  N  	  0.037  	  0.033
28  	  N  	  0.036  	  0.033
29  	  N  	  0.034  	  0.033
30  	  N  	  0.033  	  0.033
31  	  N  	  0.032  	  0.033
32  	  R  	  0.062  	  0.067
33  	  N  	  0.061  	  0.067
34  	  N  	  0.059  	  0.067
35  	  N  	  0.057  	  0.067
36  	  N  	  0.056  	  0.067
37  	  R  	  0.081  	  0.100
38  	  N  	  0.079  	  0.100
39  	  N  	  0.077  	  0.100
40  	  N  	  0.075  	  0.100
41  	  N  	  0.073  	  0.100
42  	  N  	  0.071  	  0.100
43  	  N  	  0.070  	  0.100
44  	  N  	  0.068  	  0.100
45  	  N  	  0.067  	  0.100
46  	  N  	  0.065  	  0.100
47  	  N  	  0.064  	  0.100
48  	  N  	  0.062  	  0.100
49  	  N  	  0.061  	  0.100
50  	  N  	  0.060  	  0.100
51  	  N  	  0.059  	  0.100
52  	  N  	  0.058  	  0.100
53  	  N  	  0.057  	  0.100
54  	  N  	  0.056  	  0.100
55  	  N  	  0.055  	  0.100
56  	  N  	  0.054  	  0.100
57  	  N  	  0.053  	  0.100
58  	  N  	  0.052  	  0.100
59  	  N  	  0.051  	  0.100
60  	  N  	  0.050  	  0.100
61  	  N  	  0.049  	  0.100
62  	  N  	  0.048  	  0.100
63  	  R  	  0.063  	  0.133
64  	  N  	  0.062  	  0.133
65  	  N  	  0.062  	  0.133
66  	  N  	  0.061  	  0.133
67  	  N  	  0.060  	  0.133
68  	  N  	  0.059  	  0.133
69  	  N  	  0.058  	  0.133
70  	  N  	  0.057  	  0.133
71  	  N  	  0.056  	  0.133
72  	  N  	  0.056  	  0.133
73  	  N  	  0.055  	  0.133
74  	  N  	  0.054  	  0.133
75  	  N  	  0.053  	  0.133
76  	  N  	  0.053  	  0.133
77  	  N  	  0.052  	  0.133
78  	  N  	  0.051  	  0.133
79  	  N  	  0.051  	  0.133
80  	  N  	  0.050  	  0.133
81  	  N  	  0.049  	  0.133
82  	  N  	  0.049  	  0.133
83  	  N  	  0.048  	  0.133
84  	  N  	  0.048  	  0.133
85  	  N  	  0.047  	  0.133
86  	  N  	  0.047  	  0.133
87  	  N  	  0.046  	  0.133
88  	  N  	  0.045  	  0.133
89  	  N  	  0.045  	  0.133
90  	  N  	  0.044  	  0.133
91  	  N  	  0.044  	  0.133
92  	  N  	  0.043  	  0.133
93  	  R  	  0.054  	  0.167
94  	  N  	  0.053  	  0.167
95  	  N  	  0.053  	  0.167
96  	  N  	  0.052  	  0.167
97  	  N  	  0.052  	  0.167
98  	  N  	  0.051  	  0.167
99  	  N  	  0.051  	  0.167
100  	  N  	  0.050  	  0.167
