Query 27: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.034
03  	  R  	  0.667  	  0.069
04  	  R  	  0.750  	  0.103
05  	  N  	  0.600  	  0.103
06  	  N  	  0.500  	  0.103
07  	  R  	  0.571  	  0.138
08  	  R  	  0.625  	  0.172
09  	  N  	  0.556  	  0.172
10  	  N  	  0.500  	  0.172
11  	  N  	  0.455  	  0.172
12  	  R  	  0.500  	  0.207
13  	  N  	  0.462  	  0.207
14  	  N  	  0.429  	  0.207
15  	  N  	  0.400  	  0.207
16  	  N  	  0.375  	  0.207
17  	  N  	  0.353  	  0.207
18  	  N  	  0.333  	  0.207
19  	  N  	  0.316  	  0.207
20  	  N  	  0.300  	  0.207
21  	  N  	  0.286  	  0.207
22  	  N  	  0.273  	  0.207
23  	  N  	  0.261  	  0.207
24  	  N  	  0.250  	  0.207
25  	  N  	  0.240  	  0.207
26  	  N  	  0.231  	  0.207
27  	  N  	  0.222  	  0.207
28  	  N  	  0.214  	  0.207
29  	  N  	  0.207  	  0.207
30  	  N  	  0.200  	  0.207
31  	  N  	  0.194  	  0.207
32  	  N  	  0.188  	  0.207
33  	  R  	  0.212  	  0.241
34  	  N  	  0.206  	  0.241
35  	  N  	  0.200  	  0.241
36  	  N  	  0.194  	  0.241
37  	  R  	  0.216  	  0.276
38  	  N  	  0.211  	  0.276
39  	  N  	  0.205  	  0.276
40  	  N  	  0.200  	  0.276
41  	  N  	  0.195  	  0.276
42  	  N  	  0.190  	  0.276
43  	  N  	  0.186  	  0.276
44  	  N  	  0.182  	  0.276
45  	  N  	  0.178  	  0.276
46  	  N  	  0.174  	  0.276
47  	  R  	  0.191  	  0.310
48  	  N  	  0.188  	  0.310
49  	  N  	  0.184  	  0.310
50  	  N  	  0.180  	  0.310
51  	  N  	  0.176  	  0.310
52  	  N  	  0.173  	  0.310
53  	  N  	  0.170  	  0.310
54  	  N  	  0.167  	  0.310
55  	  N  	  0.164  	  0.310
56  	  N  	  0.161  	  0.310
57  	  N  	  0.158  	  0.310
58  	  N  	  0.155  	  0.310
59  	  N  	  0.153  	  0.310
60  	  N  	  0.150  	  0.310
61  	  N  	  0.148  	  0.310
62  	  R  	  0.161  	  0.345
63  	  R  	  0.175  	  0.379
64  	  N  	  0.172  	  0.379
65  	  N  	  0.169  	  0.379
66  	  N  	  0.167  	  0.379
67  	  N  	  0.164  	  0.379
68  	  N  	  0.162  	  0.379
69  	  N  	  0.159  	  0.379
70  	  N  	  0.157  	  0.379
71  	  N  	  0.155  	  0.379
72  	  N  	  0.153  	  0.379
73  	  N  	  0.151  	  0.379
74  	  N  	  0.149  	  0.379
75  	  N  	  0.147  	  0.379
76  	  N  	  0.145  	  0.379
77  	  N  	  0.143  	  0.379
78  	  N  	  0.141  	  0.379
79  	  N  	  0.139  	  0.379
80  	  N  	  0.138  	  0.379
81  	  N  	  0.136  	  0.379
82  	  N  	  0.134  	  0.379
83  	  N  	  0.133  	  0.379
84  	  N  	  0.131  	  0.379
85  	  N  	  0.129  	  0.379
86  	  N  	  0.128  	  0.379
87  	  N  	  0.126  	  0.379
88  	  N  	  0.125  	  0.379
89  	  N  	  0.124  	  0.379
90  	  N  	  0.122  	  0.379
91  	  N  	  0.121  	  0.379
92  	  N  	  0.120  	  0.379
93  	  N  	  0.118  	  0.379
94  	  N  	  0.117  	  0.379
95  	  R  	  0.126  	  0.414
96  	  N  	  0.125  	  0.414
97  	  N  	  0.124  	  0.414
98  	  N  	  0.122  	  0.414
99  	  R  	  0.131  	  0.448
100  	  N  	  0.130  	  0.448
