Query 29: number theoretic algorithms especially involving prime number series sieves and chinese remainder theorem

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.053
02  	  R  	  1.000  	  0.105
03  	  N  	  0.667  	  0.105
04  	  R  	  0.750  	  0.158
05  	  N  	  0.600  	  0.158
06  	  R  	  0.667  	  0.211
07  	  R  	  0.714  	  0.263
08  	  R  	  0.750  	  0.316
09  	  N  	  0.667  	  0.316
10  	  N  	  0.600  	  0.316
11  	  R  	  0.636  	  0.368
12  	  N  	  0.583  	  0.368
13  	  N  	  0.538  	  0.368
14  	  N  	  0.500  	  0.368
15  	  N  	  0.467  	  0.368
16  	  R  	  0.500  	  0.421
17  	  N  	  0.471  	  0.421
18  	  N  	  0.444  	  0.421
19  	  N  	  0.421  	  0.421
20  	  N  	  0.400  	  0.421
21  	  N  	  0.381  	  0.421
22  	  N  	  0.364  	  0.421
23  	  N  	  0.348  	  0.421
24  	  N  	  0.333  	  0.421
25  	  N  	  0.320  	  0.421
26  	  N  	  0.308  	  0.421
27  	  N  	  0.296  	  0.421
28  	  N  	  0.286  	  0.421
29  	  R  	  0.310  	  0.474
30  	  N  	  0.300  	  0.474
31  	  N  	  0.290  	  0.474
32  	  N  	  0.281  	  0.474
33  	  R  	  0.303  	  0.526
34  	  N  	  0.294  	  0.526
35  	  N  	  0.286  	  0.526
36  	  N  	  0.278  	  0.526
37  	  N  	  0.270  	  0.526
38  	  N  	  0.263  	  0.526
39  	  N  	  0.256  	  0.526
40  	  N  	  0.250  	  0.526
41  	  N  	  0.244  	  0.526
42  	  N  	  0.238  	  0.526
43  	  N  	  0.233  	  0.526
44  	  N  	  0.227  	  0.526
45  	  N  	  0.222  	  0.526
46  	  N  	  0.217  	  0.526
47  	  N  	  0.213  	  0.526
48  	  N  	  0.208  	  0.526
49  	  N  	  0.204  	  0.526
50  	  N  	  0.200  	  0.526
51  	  N  	  0.196  	  0.526
52  	  N  	  0.192  	  0.526
53  	  N  	  0.189  	  0.526
54  	  N  	  0.185  	  0.526
55  	  N  	  0.182  	  0.526
56  	  N  	  0.179  	  0.526
57  	  N  	  0.175  	  0.526
58  	  N  	  0.172  	  0.526
59  	  N  	  0.169  	  0.526
60  	  N  	  0.167  	  0.526
61  	  N  	  0.164  	  0.526
62  	  N  	  0.161  	  0.526
63  	  N  	  0.159  	  0.526
64  	  N  	  0.156  	  0.526
65  	  N  	  0.154  	  0.526
66  	  N  	  0.152  	  0.526
67  	  N  	  0.149  	  0.526
68  	  N  	  0.147  	  0.526
69  	  N  	  0.145  	  0.526
70  	  N  	  0.143  	  0.526
71  	  N  	  0.141  	  0.526
72  	  N  	  0.139  	  0.526
73  	  N  	  0.137  	  0.526
74  	  N  	  0.135  	  0.526
75  	  N  	  0.133  	  0.526
76  	  N  	  0.132  	  0.526
77  	  N  	  0.130  	  0.526
78  	  N  	  0.128  	  0.526
79  	  N  	  0.127  	  0.526
80  	  N  	  0.125  	  0.526
81  	  N  	  0.123  	  0.526
82  	  N  	  0.122  	  0.526
83  	  N  	  0.120  	  0.526
84  	  N  	  0.119  	  0.526
85  	  N  	  0.118  	  0.526
86  	  N  	  0.116  	  0.526
87  	  N  	  0.115  	  0.526
88  	  N  	  0.114  	  0.526
89  	  N  	  0.112  	  0.526
90  	  N  	  0.111  	  0.526
91  	  N  	  0.110  	  0.526
92  	  N  	  0.109  	  0.526
93  	  N  	  0.108  	  0.526
94  	  N  	  0.106  	  0.526
95  	  N  	  0.105  	  0.526
96  	  N  	  0.104  	  0.526
97  	  N  	  0.103  	  0.526
98  	  R  	  0.112  	  0.579
99  	  N  	  0.111  	  0.579
100  	  N  	  0.110  	  0.579
