Query 36: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.050
04  	  R  	  0.500  	  0.100
05  	  N  	  0.400  	  0.100
06  	  N  	  0.333  	  0.100
07  	  R  	  0.429  	  0.150
08  	  R  	  0.500  	  0.200
09  	  R  	  0.556  	  0.250
10  	  N  	  0.500  	  0.250
11  	  R  	  0.545  	  0.300
12  	  N  	  0.500  	  0.300
13  	  R  	  0.538  	  0.350
14  	  R  	  0.571  	  0.400
15  	  N  	  0.533  	  0.400
16  	  N  	  0.500  	  0.400
17  	  N  	  0.471  	  0.400
18  	  N  	  0.444  	  0.400
19  	  N  	  0.421  	  0.400
20  	  R  	  0.450  	  0.450
21  	  N  	  0.429  	  0.450
22  	  R  	  0.455  	  0.500
23  	  N  	  0.435  	  0.500
24  	  R  	  0.458  	  0.550
25  	  N  	  0.440  	  0.550
26  	  N  	  0.423  	  0.550
27  	  N  	  0.407  	  0.550
28  	  N  	  0.393  	  0.550
29  	  N  	  0.379  	  0.550
30  	  N  	  0.367  	  0.550
31  	  N  	  0.355  	  0.550
32  	  N  	  0.344  	  0.550
33  	  R  	  0.364  	  0.600
34  	  N  	  0.353  	  0.600
35  	  R  	  0.371  	  0.650
36  	  R  	  0.389  	  0.700
37  	  N  	  0.378  	  0.700
38  	  N  	  0.368  	  0.700
39  	  N  	  0.359  	  0.700
40  	  R  	  0.375  	  0.750
41  	  R  	  0.390  	  0.800
42  	  N  	  0.381  	  0.800
43  	  N  	  0.372  	  0.800
44  	  N  	  0.364  	  0.800
45  	  N  	  0.356  	  0.800
46  	  N  	  0.348  	  0.800
47  	  N  	  0.340  	  0.800
48  	  N  	  0.333  	  0.800
49  	  N  	  0.327  	  0.800
50  	  N  	  0.320  	  0.800
51  	  N  	  0.314  	  0.800
52  	  N  	  0.308  	  0.800
53  	  N  	  0.302  	  0.800
54  	  N  	  0.296  	  0.800
55  	  N  	  0.291  	  0.800
56  	  N  	  0.286  	  0.800
57  	  N  	  0.281  	  0.800
58  	  N  	  0.276  	  0.800
59  	  N  	  0.271  	  0.800
60  	  N  	  0.267  	  0.800
61  	  N  	  0.262  	  0.800
62  	  N  	  0.258  	  0.800
63  	  N  	  0.254  	  0.800
64  	  N  	  0.250  	  0.800
65  	  N  	  0.246  	  0.800
66  	  N  	  0.242  	  0.800
67  	  N  	  0.239  	  0.800
68  	  N  	  0.235  	  0.800
69  	  N  	  0.232  	  0.800
70  	  N  	  0.229  	  0.800
71  	  N  	  0.225  	  0.800
72  	  N  	  0.222  	  0.800
73  	  N  	  0.219  	  0.800
74  	  N  	  0.216  	  0.800
75  	  N  	  0.213  	  0.800
76  	  N  	  0.211  	  0.800
77  	  N  	  0.208  	  0.800
78  	  N  	  0.205  	  0.800
79  	  N  	  0.203  	  0.800
80  	  N  	  0.200  	  0.800
81  	  N  	  0.198  	  0.800
82  	  R  	  0.207  	  0.850
83  	  N  	  0.205  	  0.850
84  	  N  	  0.202  	  0.850
85  	  N  	  0.200  	  0.850
86  	  N  	  0.198  	  0.850
87  	  N  	  0.195  	  0.850
88  	  N  	  0.193  	  0.850
89  	  N  	  0.191  	  0.850
90  	  N  	  0.189  	  0.850
91  	  N  	  0.187  	  0.850
92  	  N  	  0.185  	  0.850
93  	  N  	  0.183  	  0.850
94  	  N  	  0.181  	  0.850
95  	  N  	  0.179  	  0.850
96  	  N  	  0.177  	  0.850
97  	  N  	  0.175  	  0.850
98  	  N  	  0.173  	  0.850
99  	  N  	  0.172  	  0.850
100  	  N  	  0.170  	  0.850
