Query 39: what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer supplied definitions of operators like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  R  	  0.500  	  0.167
05  	  N  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  N  	  0.286  	  0.167
08  	  N  	  0.250  	  0.167
09  	  N  	  0.222  	  0.167
10  	  R  	  0.300  	  0.250
11  	  N  	  0.273  	  0.250
12  	  R  	  0.333  	  0.333
13  	  N  	  0.308  	  0.333
14  	  R  	  0.357  	  0.417
15  	  N  	  0.333  	  0.417
16  	  N  	  0.312  	  0.417
17  	  R  	  0.353  	  0.500
18  	  N  	  0.333  	  0.500
19  	  N  	  0.316  	  0.500
20  	  N  	  0.300  	  0.500
21  	  N  	  0.286  	  0.500
22  	  N  	  0.273  	  0.500
23  	  N  	  0.261  	  0.500
24  	  N  	  0.250  	  0.500
25  	  R  	  0.280  	  0.583
26  	  N  	  0.269  	  0.583
27  	  N  	  0.259  	  0.583
28  	  N  	  0.250  	  0.583
29  	  N  	  0.241  	  0.583
30  	  N  	  0.233  	  0.583
31  	  N  	  0.226  	  0.583
32  	  N  	  0.219  	  0.583
33  	  N  	  0.212  	  0.583
34  	  N  	  0.206  	  0.583
35  	  N  	  0.200  	  0.583
36  	  R  	  0.222  	  0.667
37  	  N  	  0.216  	  0.667
38  	  N  	  0.211  	  0.667
39  	  N  	  0.205  	  0.667
40  	  N  	  0.200  	  0.667
41  	  N  	  0.195  	  0.667
42  	  N  	  0.190  	  0.667
43  	  N  	  0.186  	  0.667
44  	  N  	  0.182  	  0.667
45  	  N  	  0.178  	  0.667
46  	  N  	  0.174  	  0.667
47  	  N  	  0.170  	  0.667
48  	  N  	  0.167  	  0.667
49  	  N  	  0.163  	  0.667
50  	  N  	  0.160  	  0.667
51  	  N  	  0.157  	  0.667
52  	  N  	  0.154  	  0.667
53  	  N  	  0.151  	  0.667
54  	  N  	  0.148  	  0.667
55  	  N  	  0.145  	  0.667
56  	  N  	  0.143  	  0.667
57  	  N  	  0.140  	  0.667
58  	  R  	  0.155  	  0.750
59  	  N  	  0.153  	  0.750
60  	  N  	  0.150  	  0.750
61  	  N  	  0.148  	  0.750
62  	  N  	  0.145  	  0.750
63  	  N  	  0.143  	  0.750
64  	  N  	  0.141  	  0.750
65  	  N  	  0.138  	  0.750
66  	  N  	  0.136  	  0.750
67  	  N  	  0.134  	  0.750
68  	  N  	  0.132  	  0.750
69  	  N  	  0.130  	  0.750
70  	  N  	  0.129  	  0.750
71  	  N  	  0.127  	  0.750
72  	  N  	  0.125  	  0.750
73  	  N  	  0.123  	  0.750
74  	  N  	  0.122  	  0.750
75  	  N  	  0.120  	  0.750
76  	  N  	  0.118  	  0.750
77  	  N  	  0.117  	  0.750
78  	  N  	  0.115  	  0.750
79  	  N  	  0.114  	  0.750
80  	  N  	  0.113  	  0.750
81  	  N  	  0.111  	  0.750
82  	  N  	  0.110  	  0.750
83  	  N  	  0.108  	  0.750
84  	  N  	  0.107  	  0.750
85  	  N  	  0.106  	  0.750
86  	  N  	  0.105  	  0.750
87  	  N  	  0.103  	  0.750
88  	  N  	  0.102  	  0.750
89  	  N  	  0.101  	  0.750
90  	  N  	  0.100  	  0.750
91  	  N  	  0.099  	  0.750
92  	  N  	  0.098  	  0.750
93  	  N  	  0.097  	  0.750
94  	  N  	  0.096  	  0.750
95  	  N  	  0.095  	  0.750
96  	  N  	  0.094  	  0.750
97  	  N  	  0.093  	  0.750
98  	  N  	  0.092  	  0.750
99  	  N  	  0.091  	  0.750
100  	  N  	  0.090  	  0.750
