Query 42: computer performance evaluation techniques using pattern recognition and clustering la 70803

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  N  	  0.000  	  0.000
34  	  N  	  0.000  	  0.000
35  	  N  	  0.000  	  0.000
36  	  N  	  0.000  	  0.000
37  	  R  	  0.027  	  0.048
38  	  N  	  0.026  	  0.048
39  	  N  	  0.026  	  0.048
40  	  N  	  0.025  	  0.048
41  	  N  	  0.024  	  0.048
42  	  N  	  0.024  	  0.048
43  	  R  	  0.047  	  0.095
44  	  N  	  0.045  	  0.095
45  	  N  	  0.044  	  0.095
46  	  N  	  0.043  	  0.095
47  	  N  	  0.043  	  0.095
48  	  N  	  0.042  	  0.095
49  	  N  	  0.041  	  0.095
50  	  N  	  0.040  	  0.095
51  	  N  	  0.039  	  0.095
52  	  N  	  0.038  	  0.095
53  	  R  	  0.057  	  0.143
54  	  N  	  0.056  	  0.143
55  	  N  	  0.055  	  0.143
56  	  N  	  0.054  	  0.143
57  	  N  	  0.053  	  0.143
58  	  N  	  0.052  	  0.143
59  	  N  	  0.051  	  0.143
60  	  N  	  0.050  	  0.143
61  	  N  	  0.049  	  0.143
62  	  N  	  0.048  	  0.143
63  	  N  	  0.048  	  0.143
64  	  N  	  0.047  	  0.143
65  	  N  	  0.046  	  0.143
66  	  N  	  0.045  	  0.143
67  	  N  	  0.045  	  0.143
68  	  N  	  0.044  	  0.143
69  	  N  	  0.043  	  0.143
70  	  N  	  0.043  	  0.143
71  	  N  	  0.042  	  0.143
72  	  N  	  0.042  	  0.143
73  	  N  	  0.041  	  0.143
74  	  N  	  0.041  	  0.143
75  	  N  	  0.040  	  0.143
76  	  N  	  0.039  	  0.143
77  	  N  	  0.039  	  0.143
78  	  N  	  0.038  	  0.143
79  	  N  	  0.038  	  0.143
80  	  N  	  0.037  	  0.143
81  	  N  	  0.037  	  0.143
82  	  N  	  0.037  	  0.143
83  	  N  	  0.036  	  0.143
84  	  N  	  0.036  	  0.143
85  	  N  	  0.035  	  0.143
86  	  N  	  0.035  	  0.143
87  	  N  	  0.034  	  0.143
88  	  N  	  0.034  	  0.143
89  	  N  	  0.034  	  0.143
90  	  N  	  0.033  	  0.143
91  	  N  	  0.033  	  0.143
92  	  N  	  0.033  	  0.143
93  	  N  	  0.032  	  0.143
94  	  N  	  0.032  	  0.143
95  	  N  	  0.032  	  0.143
96  	  N  	  0.031  	  0.143
97  	  N  	  0.031  	  0.143
98  	  N  	  0.031  	  0.143
99  	  N  	  0.030  	  0.143
100  	  N  	  0.030  	  0.143
