Query 45: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.038
02  	  R  	  1.000  	  0.077
03  	  N  	  0.667  	  0.077
04  	  R  	  0.750  	  0.115
05  	  R  	  0.800  	  0.154
06  	  R  	  0.833  	  0.192
07  	  N  	  0.714  	  0.192
08  	  R  	  0.750  	  0.231
09  	  N  	  0.667  	  0.231
10  	  R  	  0.700  	  0.269
11  	  N  	  0.636  	  0.269
12  	  N  	  0.583  	  0.269
13  	  R  	  0.615  	  0.308
14  	  N  	  0.571  	  0.308
15  	  R  	  0.600  	  0.346
16  	  N  	  0.562  	  0.346
17  	  N  	  0.529  	  0.346
18  	  N  	  0.500  	  0.346
19  	  R  	  0.526  	  0.385
20  	  R  	  0.550  	  0.423
21  	  N  	  0.524  	  0.423
22  	  N  	  0.500  	  0.423
23  	  N  	  0.478  	  0.423
24  	  R  	  0.500  	  0.462
25  	  N  	  0.480  	  0.462
26  	  R  	  0.500  	  0.500
27  	  N  	  0.481  	  0.500
28  	  N  	  0.464  	  0.500
29  	  N  	  0.448  	  0.500
30  	  N  	  0.433  	  0.500
31  	  N  	  0.419  	  0.500
32  	  N  	  0.406  	  0.500
33  	  N  	  0.394  	  0.500
34  	  N  	  0.382  	  0.500
35  	  N  	  0.371  	  0.500
36  	  N  	  0.361  	  0.500
37  	  N  	  0.351  	  0.500
38  	  N  	  0.342  	  0.500
39  	  N  	  0.333  	  0.500
40  	  N  	  0.325  	  0.500
41  	  N  	  0.317  	  0.500
42  	  N  	  0.310  	  0.500
43  	  N  	  0.302  	  0.500
44  	  N  	  0.295  	  0.500
45  	  N  	  0.289  	  0.500
46  	  N  	  0.283  	  0.500
47  	  N  	  0.277  	  0.500
48  	  N  	  0.271  	  0.500
49  	  N  	  0.265  	  0.500
50  	  N  	  0.260  	  0.500
51  	  R  	  0.275  	  0.538
52  	  N  	  0.269  	  0.538
53  	  N  	  0.264  	  0.538
54  	  N  	  0.259  	  0.538
55  	  R  	  0.273  	  0.577
56  	  N  	  0.268  	  0.577
57  	  N  	  0.263  	  0.577
58  	  N  	  0.259  	  0.577
59  	  N  	  0.254  	  0.577
60  	  N  	  0.250  	  0.577
61  	  N  	  0.246  	  0.577
62  	  N  	  0.242  	  0.577
63  	  N  	  0.238  	  0.577
64  	  N  	  0.234  	  0.577
65  	  N  	  0.231  	  0.577
66  	  N  	  0.227  	  0.577
67  	  N  	  0.224  	  0.577
68  	  N  	  0.221  	  0.577
69  	  N  	  0.217  	  0.577
70  	  N  	  0.214  	  0.577
71  	  N  	  0.211  	  0.577
72  	  R  	  0.222  	  0.615
73  	  N  	  0.219  	  0.615
74  	  N  	  0.216  	  0.615
75  	  N  	  0.213  	  0.615
76  	  N  	  0.211  	  0.615
77  	  N  	  0.208  	  0.615
78  	  N  	  0.205  	  0.615
79  	  N  	  0.203  	  0.615
80  	  N  	  0.200  	  0.615
81  	  N  	  0.198  	  0.615
82  	  N  	  0.195  	  0.615
83  	  N  	  0.193  	  0.615
84  	  N  	  0.190  	  0.615
85  	  N  	  0.188  	  0.615
86  	  N  	  0.186  	  0.615
87  	  N  	  0.184  	  0.615
88  	  N  	  0.182  	  0.615
89  	  R  	  0.191  	  0.654
90  	  N  	  0.189  	  0.654
91  	  N  	  0.187  	  0.654
92  	  N  	  0.185  	  0.654
93  	  N  	  0.183  	  0.654
94  	  N  	  0.181  	  0.654
95  	  N  	  0.179  	  0.654
96  	  N  	  0.177  	  0.654
97  	  N  	  0.175  	  0.654
98  	  N  	  0.173  	  0.654
99  	  N  	  0.172  	  0.654
100  	  N  	  0.170  	  0.654
