Query 5: i d like papers on design and implementation of editing interfaces window managers command interpreters etc the essential issues are human interface design with views on improvements to user efficiency effectiveness and satisfaction

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.125
05  	  N  	  0.200  	  0.125
06  	  N  	  0.167  	  0.125
07  	  N  	  0.143  	  0.125
08  	  N  	  0.125  	  0.125
09  	  N  	  0.111  	  0.125
10  	  N  	  0.100  	  0.125
11  	  N  	  0.091  	  0.125
12  	  N  	  0.083  	  0.125
13  	  N  	  0.077  	  0.125
14  	  N  	  0.071  	  0.125
15  	  N  	  0.067  	  0.125
16  	  N  	  0.062  	  0.125
17  	  N  	  0.059  	  0.125
18  	  N  	  0.056  	  0.125
19  	  N  	  0.053  	  0.125
20  	  N  	  0.050  	  0.125
21  	  N  	  0.048  	  0.125
22  	  N  	  0.045  	  0.125
23  	  N  	  0.043  	  0.125
24  	  N  	  0.042  	  0.125
25  	  N  	  0.040  	  0.125
26  	  N  	  0.038  	  0.125
27  	  N  	  0.037  	  0.125
28  	  N  	  0.036  	  0.125
29  	  N  	  0.034  	  0.125
30  	  N  	  0.033  	  0.125
31  	  N  	  0.032  	  0.125
32  	  N  	  0.031  	  0.125
33  	  N  	  0.030  	  0.125
34  	  N  	  0.029  	  0.125
35  	  N  	  0.029  	  0.125
36  	  R  	  0.056  	  0.250
37  	  N  	  0.054  	  0.250
38  	  N  	  0.053  	  0.250
39  	  N  	  0.051  	  0.250
40  	  N  	  0.050  	  0.250
41  	  N  	  0.049  	  0.250
42  	  N  	  0.048  	  0.250
43  	  R  	  0.070  	  0.375
44  	  N  	  0.068  	  0.375
45  	  N  	  0.067  	  0.375
46  	  N  	  0.065  	  0.375
47  	  N  	  0.064  	  0.375
48  	  N  	  0.062  	  0.375
49  	  N  	  0.061  	  0.375
50  	  N  	  0.060  	  0.375
51  	  N  	  0.059  	  0.375
52  	  N  	  0.058  	  0.375
53  	  N  	  0.057  	  0.375
54  	  N  	  0.056  	  0.375
55  	  N  	  0.055  	  0.375
56  	  N  	  0.054  	  0.375
57  	  N  	  0.053  	  0.375
58  	  N  	  0.052  	  0.375
59  	  N  	  0.051  	  0.375
60  	  N  	  0.050  	  0.375
61  	  N  	  0.049  	  0.375
62  	  N  	  0.048  	  0.375
63  	  N  	  0.048  	  0.375
64  	  N  	  0.047  	  0.375
65  	  N  	  0.046  	  0.375
66  	  N  	  0.045  	  0.375
67  	  N  	  0.045  	  0.375
68  	  N  	  0.044  	  0.375
69  	  N  	  0.043  	  0.375
70  	  N  	  0.043  	  0.375
71  	  N  	  0.042  	  0.375
72  	  N  	  0.042  	  0.375
73  	  N  	  0.041  	  0.375
74  	  N  	  0.041  	  0.375
75  	  N  	  0.040  	  0.375
76  	  N  	  0.039  	  0.375
77  	  N  	  0.039  	  0.375
78  	  N  	  0.038  	  0.375
79  	  N  	  0.038  	  0.375
80  	  N  	  0.037  	  0.375
81  	  N  	  0.037  	  0.375
82  	  R  	  0.049  	  0.500
83  	  N  	  0.048  	  0.500
84  	  N  	  0.048  	  0.500
85  	  N  	  0.047  	  0.500
86  	  N  	  0.047  	  0.500
87  	  N  	  0.046  	  0.500
88  	  N  	  0.045  	  0.500
89  	  N  	  0.045  	  0.500
90  	  N  	  0.044  	  0.500
91  	  N  	  0.044  	  0.500
92  	  N  	  0.043  	  0.500
93  	  R  	  0.054  	  0.625
94  	  N  	  0.053  	  0.625
95  	  N  	  0.053  	  0.625
96  	  N  	  0.052  	  0.625
97  	  N  	  0.052  	  0.625
98  	  N  	  0.051  	  0.625
99  	  N  	  0.051  	  0.625
100  	  N  	  0.050  	  0.625
