Query 58: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.033
03  	  R  	  0.667  	  0.067
04  	  R  	  0.750  	  0.100
05  	  R  	  0.800  	  0.133
06  	  R  	  0.833  	  0.167
07  	  N  	  0.714  	  0.167
08  	  N  	  0.625  	  0.167
09  	  R  	  0.667  	  0.200
10  	  N  	  0.600  	  0.200
11  	  R  	  0.636  	  0.233
12  	  R  	  0.667  	  0.267
13  	  R  	  0.692  	  0.300
14  	  N  	  0.643  	  0.300
15  	  N  	  0.600  	  0.300
16  	  N  	  0.562  	  0.300
17  	  R  	  0.588  	  0.333
18  	  N  	  0.556  	  0.333
19  	  N  	  0.526  	  0.333
20  	  N  	  0.500  	  0.333
21  	  N  	  0.476  	  0.333
22  	  N  	  0.455  	  0.333
23  	  R  	  0.478  	  0.367
24  	  N  	  0.458  	  0.367
25  	  N  	  0.440  	  0.367
26  	  N  	  0.423  	  0.367
27  	  N  	  0.407  	  0.367
28  	  R  	  0.429  	  0.400
29  	  N  	  0.414  	  0.400
30  	  N  	  0.400  	  0.400
31  	  N  	  0.387  	  0.400
32  	  N  	  0.375  	  0.400
33  	  N  	  0.364  	  0.400
34  	  N  	  0.353  	  0.400
35  	  N  	  0.343  	  0.400
36  	  N  	  0.333  	  0.400
37  	  N  	  0.324  	  0.400
38  	  N  	  0.316  	  0.400
39  	  N  	  0.308  	  0.400
40  	  N  	  0.300  	  0.400
41  	  N  	  0.293  	  0.400
42  	  N  	  0.286  	  0.400
43  	  N  	  0.279  	  0.400
44  	  N  	  0.273  	  0.400
45  	  N  	  0.267  	  0.400
46  	  N  	  0.261  	  0.400
47  	  N  	  0.255  	  0.400
48  	  N  	  0.250  	  0.400
49  	  N  	  0.245  	  0.400
50  	  N  	  0.240  	  0.400
51  	  N  	  0.235  	  0.400
52  	  N  	  0.231  	  0.400
53  	  N  	  0.226  	  0.400
54  	  N  	  0.222  	  0.400
55  	  N  	  0.218  	  0.400
56  	  N  	  0.214  	  0.400
57  	  N  	  0.211  	  0.400
58  	  N  	  0.207  	  0.400
59  	  N  	  0.203  	  0.400
60  	  N  	  0.200  	  0.400
61  	  N  	  0.197  	  0.400
62  	  N  	  0.194  	  0.400
63  	  N  	  0.190  	  0.400
64  	  N  	  0.188  	  0.400
65  	  N  	  0.185  	  0.400
66  	  N  	  0.182  	  0.400
67  	  N  	  0.179  	  0.400
68  	  N  	  0.176  	  0.400
69  	  N  	  0.174  	  0.400
70  	  N  	  0.171  	  0.400
71  	  N  	  0.169  	  0.400
72  	  N  	  0.167  	  0.400
73  	  N  	  0.164  	  0.400
74  	  N  	  0.162  	  0.400
75  	  N  	  0.160  	  0.400
76  	  N  	  0.158  	  0.400
77  	  N  	  0.156  	  0.400
78  	  N  	  0.154  	  0.400
79  	  N  	  0.152  	  0.400
80  	  N  	  0.150  	  0.400
81  	  N  	  0.148  	  0.400
82  	  N  	  0.146  	  0.400
83  	  N  	  0.145  	  0.400
84  	  R  	  0.155  	  0.433
85  	  N  	  0.153  	  0.433
86  	  N  	  0.151  	  0.433
87  	  N  	  0.149  	  0.433
88  	  N  	  0.148  	  0.433
89  	  N  	  0.146  	  0.433
90  	  N  	  0.144  	  0.433
91  	  R  	  0.154  	  0.467
92  	  N  	  0.152  	  0.467
93  	  N  	  0.151  	  0.467
94  	  N  	  0.149  	  0.467
95  	  N  	  0.147  	  0.467
96  	  N  	  0.146  	  0.467
97  	  N  	  0.144  	  0.467
98  	  N  	  0.143  	  0.467
99  	  N  	  0.141  	  0.467
100  	  N  	  0.140  	  0.467
