Query 59: dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.023
06  	  R  	  0.333  	  0.047
07  	  N  	  0.286  	  0.047
08  	  N  	  0.250  	  0.047
09  	  R  	  0.333  	  0.070
10  	  N  	  0.300  	  0.070
11  	  N  	  0.273  	  0.070
12  	  N  	  0.250  	  0.070
13  	  R  	  0.308  	  0.093
14  	  N  	  0.286  	  0.093
15  	  N  	  0.267  	  0.093
16  	  N  	  0.250  	  0.093
17  	  N  	  0.235  	  0.093
18  	  N  	  0.222  	  0.093
19  	  N  	  0.211  	  0.093
20  	  N  	  0.200  	  0.093
21  	  N  	  0.190  	  0.093
22  	  N  	  0.182  	  0.093
23  	  N  	  0.174  	  0.093
24  	  N  	  0.167  	  0.093
25  	  N  	  0.160  	  0.093
26  	  N  	  0.154  	  0.093
27  	  R  	  0.185  	  0.116
28  	  N  	  0.179  	  0.116
29  	  N  	  0.172  	  0.116
30  	  N  	  0.167  	  0.116
31  	  N  	  0.161  	  0.116
32  	  N  	  0.156  	  0.116
33  	  N  	  0.152  	  0.116
34  	  N  	  0.147  	  0.116
35  	  N  	  0.143  	  0.116
36  	  N  	  0.139  	  0.116
37  	  N  	  0.135  	  0.116
38  	  N  	  0.132  	  0.116
39  	  N  	  0.128  	  0.116
40  	  N  	  0.125  	  0.116
41  	  N  	  0.122  	  0.116
42  	  N  	  0.119  	  0.116
43  	  N  	  0.116  	  0.116
44  	  N  	  0.114  	  0.116
45  	  N  	  0.111  	  0.116
46  	  N  	  0.109  	  0.116
47  	  N  	  0.106  	  0.116
48  	  N  	  0.104  	  0.116
49  	  N  	  0.102  	  0.116
50  	  N  	  0.100  	  0.116
51  	  N  	  0.098  	  0.116
52  	  N  	  0.096  	  0.116
53  	  N  	  0.094  	  0.116
54  	  N  	  0.093  	  0.116
55  	  N  	  0.091  	  0.116
56  	  N  	  0.089  	  0.116
57  	  R  	  0.105  	  0.140
58  	  N  	  0.103  	  0.140
59  	  N  	  0.102  	  0.140
60  	  N  	  0.100  	  0.140
61  	  N  	  0.098  	  0.140
62  	  N  	  0.097  	  0.140
63  	  N  	  0.095  	  0.140
64  	  N  	  0.094  	  0.140
65  	  N  	  0.092  	  0.140
66  	  N  	  0.091  	  0.140
67  	  N  	  0.090  	  0.140
68  	  N  	  0.088  	  0.140
69  	  N  	  0.087  	  0.140
70  	  N  	  0.086  	  0.140
71  	  N  	  0.085  	  0.140
72  	  N  	  0.083  	  0.140
73  	  N  	  0.082  	  0.140
74  	  N  	  0.081  	  0.140
75  	  N  	  0.080  	  0.140
76  	  N  	  0.079  	  0.140
77  	  N  	  0.078  	  0.140
78  	  N  	  0.077  	  0.140
79  	  N  	  0.076  	  0.140
80  	  N  	  0.075  	  0.140
81  	  R  	  0.086  	  0.163
82  	  N  	  0.085  	  0.163
83  	  N  	  0.084  	  0.163
84  	  N  	  0.083  	  0.163
85  	  N  	  0.082  	  0.163
86  	  N  	  0.081  	  0.163
87  	  N  	  0.080  	  0.163
88  	  N  	  0.080  	  0.163
89  	  N  	  0.079  	  0.163
90  	  N  	  0.078  	  0.163
91  	  N  	  0.077  	  0.163
92  	  N  	  0.076  	  0.163
93  	  N  	  0.075  	  0.163
94  	  N  	  0.074  	  0.163
95  	  N  	  0.074  	  0.163
96  	  N  	  0.073  	  0.163
97  	  N  	  0.072  	  0.163
98  	  N  	  0.071  	  0.163
99  	  N  	  0.071  	  0.163
100  	  N  	  0.070  	  0.163
