Query 61: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.032
02  	  R  	  1.000  	  0.065
03  	  R  	  1.000  	  0.097
04  	  R  	  1.000  	  0.129
05  	  N  	  0.800  	  0.129
06  	  R  	  0.833  	  0.161
07  	  R  	  0.857  	  0.194
08  	  R  	  0.875  	  0.226
09  	  N  	  0.778  	  0.226
10  	  N  	  0.700  	  0.226
11  	  N  	  0.636  	  0.226
12  	  N  	  0.583  	  0.226
13  	  N  	  0.538  	  0.226
14  	  N  	  0.500  	  0.226
15  	  N  	  0.467  	  0.226
16  	  N  	  0.438  	  0.226
17  	  R  	  0.471  	  0.258
18  	  N  	  0.444  	  0.258
19  	  N  	  0.421  	  0.258
20  	  N  	  0.400  	  0.258
21  	  N  	  0.381  	  0.258
22  	  N  	  0.364  	  0.258
23  	  N  	  0.348  	  0.258
24  	  N  	  0.333  	  0.258
25  	  N  	  0.320  	  0.258
26  	  N  	  0.308  	  0.258
27  	  N  	  0.296  	  0.258
28  	  N  	  0.286  	  0.258
29  	  N  	  0.276  	  0.258
30  	  N  	  0.267  	  0.258
31  	  N  	  0.258  	  0.258
32  	  N  	  0.250  	  0.258
33  	  N  	  0.242  	  0.258
34  	  N  	  0.235  	  0.258
35  	  N  	  0.229  	  0.258
36  	  N  	  0.222  	  0.258
37  	  N  	  0.216  	  0.258
38  	  N  	  0.211  	  0.258
39  	  N  	  0.205  	  0.258
40  	  N  	  0.200  	  0.258
41  	  N  	  0.195  	  0.258
42  	  N  	  0.190  	  0.258
43  	  N  	  0.186  	  0.258
44  	  N  	  0.182  	  0.258
45  	  N  	  0.178  	  0.258
46  	  N  	  0.174  	  0.258
47  	  R  	  0.191  	  0.290
48  	  N  	  0.188  	  0.290
49  	  N  	  0.184  	  0.290
50  	  N  	  0.180  	  0.290
51  	  N  	  0.176  	  0.290
52  	  N  	  0.173  	  0.290
53  	  N  	  0.170  	  0.290
54  	  N  	  0.167  	  0.290
55  	  N  	  0.164  	  0.290
56  	  N  	  0.161  	  0.290
57  	  N  	  0.158  	  0.290
58  	  N  	  0.155  	  0.290
59  	  N  	  0.153  	  0.290
60  	  R  	  0.167  	  0.323
61  	  N  	  0.164  	  0.323
62  	  N  	  0.161  	  0.323
63  	  N  	  0.159  	  0.323
64  	  N  	  0.156  	  0.323
65  	  N  	  0.154  	  0.323
66  	  N  	  0.152  	  0.323
67  	  N  	  0.149  	  0.323
68  	  N  	  0.147  	  0.323
69  	  N  	  0.145  	  0.323
70  	  N  	  0.143  	  0.323
71  	  N  	  0.141  	  0.323
72  	  N  	  0.139  	  0.323
73  	  N  	  0.137  	  0.323
74  	  N  	  0.135  	  0.323
75  	  N  	  0.133  	  0.323
76  	  N  	  0.132  	  0.323
77  	  N  	  0.130  	  0.323
78  	  N  	  0.128  	  0.323
79  	  N  	  0.127  	  0.323
80  	  N  	  0.125  	  0.323
81  	  N  	  0.123  	  0.323
82  	  N  	  0.122  	  0.323
83  	  N  	  0.120  	  0.323
84  	  N  	  0.119  	  0.323
85  	  N  	  0.118  	  0.323
86  	  N  	  0.116  	  0.323
87  	  N  	  0.115  	  0.323
88  	  N  	  0.114  	  0.323
89  	  N  	  0.112  	  0.323
90  	  N  	  0.111  	  0.323
91  	  N  	  0.110  	  0.323
92  	  N  	  0.109  	  0.323
93  	  N  	  0.108  	  0.323
94  	  N  	  0.106  	  0.323
95  	  N  	  0.105  	  0.323
96  	  N  	  0.104  	  0.323
97  	  N  	  0.103  	  0.323
98  	  N  	  0.102  	  0.323
99  	  N  	  0.101  	  0.323
100  	  N  	  0.100  	  0.323
