Query 7: i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.036
02  	  N  	  0.500  	  0.036
03  	  N  	  0.333  	  0.036
04  	  R  	  0.500  	  0.071
05  	  R  	  0.600  	  0.107
06  	  N  	  0.500  	  0.107
07  	  N  	  0.429  	  0.107
08  	  N  	  0.375  	  0.107
09  	  N  	  0.333  	  0.107
10  	  N  	  0.300  	  0.107
11  	  N  	  0.273  	  0.107
12  	  N  	  0.250  	  0.107
13  	  N  	  0.231  	  0.107
14  	  N  	  0.214  	  0.107
15  	  N  	  0.200  	  0.107
16  	  N  	  0.188  	  0.107
17  	  N  	  0.176  	  0.107
18  	  N  	  0.167  	  0.107
19  	  N  	  0.158  	  0.107
20  	  N  	  0.150  	  0.107
21  	  R  	  0.190  	  0.143
22  	  N  	  0.182  	  0.143
23  	  N  	  0.174  	  0.143
24  	  R  	  0.208  	  0.179
25  	  N  	  0.200  	  0.179
26  	  N  	  0.192  	  0.179
27  	  N  	  0.185  	  0.179
28  	  N  	  0.179  	  0.179
29  	  N  	  0.172  	  0.179
30  	  R  	  0.200  	  0.214
31  	  N  	  0.194  	  0.214
32  	  N  	  0.188  	  0.214
33  	  N  	  0.182  	  0.214
34  	  R  	  0.206  	  0.250
35  	  N  	  0.200  	  0.250
36  	  N  	  0.194  	  0.250
37  	  R  	  0.216  	  0.286
38  	  N  	  0.211  	  0.286
39  	  N  	  0.205  	  0.286
40  	  N  	  0.200  	  0.286
41  	  N  	  0.195  	  0.286
42  	  N  	  0.190  	  0.286
43  	  N  	  0.186  	  0.286
44  	  N  	  0.182  	  0.286
45  	  N  	  0.178  	  0.286
46  	  N  	  0.174  	  0.286
47  	  N  	  0.170  	  0.286
48  	  N  	  0.167  	  0.286
49  	  N  	  0.163  	  0.286
50  	  N  	  0.160  	  0.286
51  	  N  	  0.157  	  0.286
52  	  N  	  0.154  	  0.286
53  	  N  	  0.151  	  0.286
54  	  N  	  0.148  	  0.286
55  	  N  	  0.145  	  0.286
56  	  N  	  0.143  	  0.286
57  	  N  	  0.140  	  0.286
58  	  N  	  0.138  	  0.286
59  	  N  	  0.136  	  0.286
60  	  N  	  0.133  	  0.286
61  	  N  	  0.131  	  0.286
62  	  N  	  0.129  	  0.286
63  	  N  	  0.127  	  0.286
64  	  N  	  0.125  	  0.286
65  	  N  	  0.123  	  0.286
66  	  N  	  0.121  	  0.286
67  	  R  	  0.134  	  0.321
68  	  N  	  0.132  	  0.321
69  	  N  	  0.130  	  0.321
70  	  N  	  0.129  	  0.321
71  	  N  	  0.127  	  0.321
72  	  N  	  0.125  	  0.321
73  	  N  	  0.123  	  0.321
74  	  N  	  0.122  	  0.321
75  	  N  	  0.120  	  0.321
76  	  N  	  0.118  	  0.321
77  	  N  	  0.117  	  0.321
78  	  N  	  0.115  	  0.321
79  	  N  	  0.114  	  0.321
80  	  N  	  0.113  	  0.321
81  	  N  	  0.111  	  0.321
82  	  N  	  0.110  	  0.321
83  	  N  	  0.108  	  0.321
84  	  R  	  0.119  	  0.357
85  	  N  	  0.118  	  0.357
86  	  N  	  0.116  	  0.357
87  	  N  	  0.115  	  0.357
88  	  N  	  0.114  	  0.357
89  	  N  	  0.112  	  0.357
90  	  N  	  0.111  	  0.357
91  	  N  	  0.110  	  0.357
92  	  N  	  0.109  	  0.357
93  	  N  	  0.108  	  0.357
94  	  N  	  0.106  	  0.357
95  	  N  	  0.105  	  0.357
96  	  N  	  0.104  	  0.357
97  	  N  	  0.103  	  0.357
98  	  N  	  0.102  	  0.357
99  	  N  	  0.101  	  0.357
100  	  N  	  0.100  	  0.357
