Query 22: i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  R  	  1.000  	  0.118
03  	  R  	  1.000  	  0.176
04  	  N  	  0.750  	  0.176
05  	  R  	  0.800  	  0.235
06  	  N  	  0.667  	  0.235
07  	  R  	  0.714  	  0.294
08  	  R  	  0.750  	  0.353
09  	  R  	  0.778  	  0.412
10  	  N  	  0.700  	  0.412
11  	  R  	  0.727  	  0.471
12  	  R  	  0.750  	  0.529
13  	  R  	  0.769  	  0.588
14  	  R  	  0.786  	  0.647
15  	  N  	  0.733  	  0.647
16  	  R  	  0.750  	  0.706
17  	  R  	  0.765  	  0.765
18  	  N  	  0.722  	  0.765
19  	  N  	  0.684  	  0.765
20  	  N  	  0.650  	  0.765
21  	  N  	  0.619  	  0.765
22  	  N  	  0.591  	  0.765
23  	  N  	  0.565  	  0.765
24  	  N  	  0.542  	  0.765
25  	  N  	  0.520  	  0.765
26  	  N  	  0.500  	  0.765
27  	  N  	  0.481  	  0.765
28  	  N  	  0.464  	  0.765
29  	  N  	  0.448  	  0.765
30  	  N  	  0.433  	  0.765
31  	  N  	  0.419  	  0.765
32  	  N  	  0.406  	  0.765
33  	  N  	  0.394  	  0.765
34  	  R  	  0.412  	  0.824
35  	  N  	  0.400  	  0.824
36  	  N  	  0.389  	  0.824
37  	  N  	  0.378  	  0.824
38  	  N  	  0.368  	  0.824
39  	  N  	  0.359  	  0.824
40  	  N  	  0.350  	  0.824
41  	  N  	  0.341  	  0.824
42  	  N  	  0.333  	  0.824
43  	  N  	  0.326  	  0.824
44  	  N  	  0.318  	  0.824
45  	  N  	  0.311  	  0.824
46  	  N  	  0.304  	  0.824
47  	  N  	  0.298  	  0.824
48  	  N  	  0.292  	  0.824
49  	  N  	  0.286  	  0.824
50  	  N  	  0.280  	  0.824
51  	  R  	  0.294  	  0.882
52  	  N  	  0.288  	  0.882
53  	  N  	  0.283  	  0.882
54  	  N  	  0.278  	  0.882
55  	  N  	  0.273  	  0.882
56  	  N  	  0.268  	  0.882
57  	  N  	  0.263  	  0.882
58  	  N  	  0.259  	  0.882
59  	  N  	  0.254  	  0.882
60  	  N  	  0.250  	  0.882
61  	  N  	  0.246  	  0.882
62  	  N  	  0.242  	  0.882
63  	  N  	  0.238  	  0.882
64  	  N  	  0.234  	  0.882
65  	  N  	  0.231  	  0.882
66  	  N  	  0.227  	  0.882
67  	  N  	  0.224  	  0.882
68  	  N  	  0.221  	  0.882
69  	  N  	  0.217  	  0.882
70  	  N  	  0.214  	  0.882
71  	  N  	  0.211  	  0.882
72  	  N  	  0.208  	  0.882
73  	  N  	  0.205  	  0.882
74  	  N  	  0.203  	  0.882
75  	  N  	  0.200  	  0.882
76  	  N  	  0.197  	  0.882
77  	  N  	  0.195  	  0.882
78  	  N  	  0.192  	  0.882
79  	  N  	  0.190  	  0.882
80  	  N  	  0.188  	  0.882
81  	  N  	  0.185  	  0.882
82  	  N  	  0.183  	  0.882
83  	  N  	  0.181  	  0.882
84  	  N  	  0.179  	  0.882
85  	  N  	  0.176  	  0.882
86  	  N  	  0.174  	  0.882
87  	  N  	  0.172  	  0.882
88  	  N  	  0.170  	  0.882
89  	  N  	  0.169  	  0.882
90  	  N  	  0.167  	  0.882
91  	  N  	  0.165  	  0.882
92  	  N  	  0.163  	  0.882
93  	  N  	  0.161  	  0.882
94  	  N  	  0.160  	  0.882
95  	  N  	  0.158  	  0.882
96  	  N  	  0.156  	  0.882
97  	  N  	  0.155  	  0.882
98  	  N  	  0.153  	  0.882
99  	  N  	  0.152  	  0.882
100  	  N  	  0.150  	  0.882
