Query 26: concurrency control mechanisms in operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.033
04  	  N  	  0.250  	  0.033
05  	  R  	  0.400  	  0.067
06  	  N  	  0.333  	  0.067
07  	  R  	  0.429  	  0.100
08  	  N  	  0.375  	  0.100
09  	  N  	  0.333  	  0.100
10  	  N  	  0.300  	  0.100
11  	  R  	  0.364  	  0.133
12  	  R  	  0.417  	  0.167
13  	  N  	  0.385  	  0.167
14  	  N  	  0.357  	  0.167
15  	  N  	  0.333  	  0.167
16  	  N  	  0.312  	  0.167
17  	  N  	  0.294  	  0.167
18  	  N  	  0.278  	  0.167
19  	  N  	  0.263  	  0.167
20  	  N  	  0.250  	  0.167
21  	  N  	  0.238  	  0.167
22  	  N  	  0.227  	  0.167
23  	  N  	  0.217  	  0.167
24  	  N  	  0.208  	  0.167
25  	  N  	  0.200  	  0.167
26  	  R  	  0.231  	  0.200
27  	  N  	  0.222  	  0.200
28  	  N  	  0.214  	  0.200
29  	  N  	  0.207  	  0.200
30  	  N  	  0.200  	  0.200
31  	  N  	  0.194  	  0.200
32  	  N  	  0.188  	  0.200
33  	  N  	  0.182  	  0.200
34  	  N  	  0.176  	  0.200
35  	  R  	  0.200  	  0.233
36  	  N  	  0.194  	  0.233
37  	  N  	  0.189  	  0.233
38  	  R  	  0.211  	  0.267
39  	  N  	  0.205  	  0.267
40  	  N  	  0.200  	  0.267
41  	  N  	  0.195  	  0.267
42  	  N  	  0.190  	  0.267
43  	  R  	  0.209  	  0.300
44  	  N  	  0.205  	  0.300
45  	  N  	  0.200  	  0.300
46  	  R  	  0.217  	  0.333
47  	  N  	  0.213  	  0.333
48  	  N  	  0.208  	  0.333
49  	  N  	  0.204  	  0.333
50  	  N  	  0.200  	  0.333
51  	  N  	  0.196  	  0.333
52  	  N  	  0.192  	  0.333
53  	  N  	  0.189  	  0.333
54  	  N  	  0.185  	  0.333
55  	  N  	  0.182  	  0.333
56  	  N  	  0.179  	  0.333
57  	  N  	  0.175  	  0.333
58  	  N  	  0.172  	  0.333
59  	  N  	  0.169  	  0.333
60  	  N  	  0.167  	  0.333
61  	  N  	  0.164  	  0.333
62  	  N  	  0.161  	  0.333
63  	  N  	  0.159  	  0.333
64  	  N  	  0.156  	  0.333
65  	  N  	  0.154  	  0.333
66  	  N  	  0.152  	  0.333
67  	  N  	  0.149  	  0.333
68  	  N  	  0.147  	  0.333
69  	  N  	  0.145  	  0.333
70  	  N  	  0.143  	  0.333
71  	  N  	  0.141  	  0.333
72  	  N  	  0.139  	  0.333
73  	  N  	  0.137  	  0.333
74  	  N  	  0.135  	  0.333
75  	  N  	  0.133  	  0.333
76  	  N  	  0.132  	  0.333
77  	  N  	  0.130  	  0.333
78  	  N  	  0.128  	  0.333
79  	  N  	  0.127  	  0.333
80  	  N  	  0.125  	  0.333
81  	  N  	  0.123  	  0.333
82  	  N  	  0.122  	  0.333
83  	  N  	  0.120  	  0.333
84  	  N  	  0.119  	  0.333
85  	  N  	  0.118  	  0.333
86  	  R  	  0.128  	  0.367
87  	  N  	  0.126  	  0.367
88  	  N  	  0.125  	  0.367
89  	  N  	  0.124  	  0.367
90  	  N  	  0.122  	  0.367
91  	  N  	  0.121  	  0.367
92  	  N  	  0.120  	  0.367
93  	  N  	  0.118  	  0.367
94  	  N  	  0.117  	  0.367
95  	  N  	  0.116  	  0.367
96  	  N  	  0.115  	  0.367
97  	  N  	  0.113  	  0.367
98  	  N  	  0.112  	  0.367
99  	  N  	  0.111  	  0.367
100  	  N  	  0.110  	  0.367
