Query 37: articles describing the relationship between data types and concurrency e g what is the type of a process when is a synchronization attempt between two processes type correct in a message passing system is there any notion of the types of messages i e any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  R  	  1.000  	  0.167
03  	  N  	  0.667  	  0.167
04  	  N  	  0.500  	  0.167
05  	  N  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  N  	  0.286  	  0.167
08  	  N  	  0.250  	  0.167
09  	  N  	  0.222  	  0.167
10  	  N  	  0.200  	  0.167
11  	  R  	  0.273  	  0.250
12  	  R  	  0.333  	  0.333
13  	  N  	  0.308  	  0.333
14  	  N  	  0.286  	  0.333
15  	  N  	  0.267  	  0.333
16  	  N  	  0.250  	  0.333
17  	  N  	  0.235  	  0.333
18  	  N  	  0.222  	  0.333
19  	  R  	  0.263  	  0.417
20  	  N  	  0.250  	  0.417
21  	  N  	  0.238  	  0.417
22  	  N  	  0.227  	  0.417
23  	  N  	  0.217  	  0.417
24  	  N  	  0.208  	  0.417
25  	  N  	  0.200  	  0.417
26  	  N  	  0.192  	  0.417
27  	  N  	  0.185  	  0.417
28  	  N  	  0.179  	  0.417
29  	  N  	  0.172  	  0.417
30  	  N  	  0.167  	  0.417
31  	  N  	  0.161  	  0.417
32  	  N  	  0.156  	  0.417
33  	  N  	  0.152  	  0.417
34  	  N  	  0.147  	  0.417
35  	  N  	  0.143  	  0.417
36  	  N  	  0.139  	  0.417
37  	  N  	  0.135  	  0.417
38  	  N  	  0.132  	  0.417
39  	  N  	  0.128  	  0.417
40  	  N  	  0.125  	  0.417
41  	  N  	  0.122  	  0.417
42  	  N  	  0.119  	  0.417
43  	  N  	  0.116  	  0.417
44  	  N  	  0.114  	  0.417
45  	  N  	  0.111  	  0.417
46  	  N  	  0.109  	  0.417
47  	  N  	  0.106  	  0.417
48  	  N  	  0.104  	  0.417
49  	  N  	  0.102  	  0.417
50  	  N  	  0.100  	  0.417
51  	  N  	  0.098  	  0.417
52  	  N  	  0.096  	  0.417
53  	  N  	  0.094  	  0.417
54  	  N  	  0.093  	  0.417
55  	  N  	  0.091  	  0.417
56  	  N  	  0.089  	  0.417
57  	  N  	  0.088  	  0.417
58  	  N  	  0.086  	  0.417
59  	  N  	  0.085  	  0.417
60  	  N  	  0.083  	  0.417
61  	  N  	  0.082  	  0.417
62  	  N  	  0.081  	  0.417
63  	  N  	  0.079  	  0.417
64  	  N  	  0.078  	  0.417
65  	  N  	  0.077  	  0.417
66  	  N  	  0.076  	  0.417
67  	  N  	  0.075  	  0.417
68  	  N  	  0.074  	  0.417
69  	  N  	  0.072  	  0.417
70  	  N  	  0.071  	  0.417
71  	  R  	  0.085  	  0.500
72  	  N  	  0.083  	  0.500
73  	  N  	  0.082  	  0.500
74  	  N  	  0.081  	  0.500
75  	  N  	  0.080  	  0.500
76  	  N  	  0.079  	  0.500
77  	  N  	  0.078  	  0.500
78  	  N  	  0.077  	  0.500
79  	  N  	  0.076  	  0.500
80  	  N  	  0.075  	  0.500
81  	  N  	  0.074  	  0.500
82  	  N  	  0.073  	  0.500
83  	  N  	  0.072  	  0.500
84  	  N  	  0.071  	  0.500
85  	  N  	  0.071  	  0.500
86  	  N  	  0.070  	  0.500
87  	  N  	  0.069  	  0.500
88  	  N  	  0.068  	  0.500
89  	  N  	  0.067  	  0.500
90  	  N  	  0.067  	  0.500
91  	  N  	  0.066  	  0.500
92  	  N  	  0.065  	  0.500
93  	  N  	  0.065  	  0.500
94  	  N  	  0.064  	  0.500
95  	  N  	  0.063  	  0.500
96  	  N  	  0.062  	  0.500
97  	  N  	  0.062  	  0.500
98  	  N  	  0.061  	  0.500
99  	  N  	  0.061  	  0.500
100  	  N  	  0.060  	  0.500
