Query 40: list all articles dealing with data types in the following languages that are referenced frequently in papers on the above languages e g catch any languages with interesting type structures that i might have missed

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.100
02  	  N  	  0.500  	  0.100
03  	  R  	  0.667  	  0.200
04  	  N  	  0.500  	  0.200
05  	  R  	  0.600  	  0.300
06  	  N  	  0.500  	  0.300
07  	  N  	  0.429  	  0.300
08  	  N  	  0.375  	  0.300
09  	  N  	  0.333  	  0.300
10  	  N  	  0.300  	  0.300
11  	  N  	  0.273  	  0.300
12  	  N  	  0.250  	  0.300
13  	  R  	  0.308  	  0.400
14  	  N  	  0.286  	  0.400
15  	  N  	  0.267  	  0.400
16  	  N  	  0.250  	  0.400
17  	  N  	  0.235  	  0.400
18  	  N  	  0.222  	  0.400
19  	  N  	  0.211  	  0.400
20  	  N  	  0.200  	  0.400
21  	  R  	  0.238  	  0.500
22  	  N  	  0.227  	  0.500
23  	  N  	  0.217  	  0.500
24  	  N  	  0.208  	  0.500
25  	  N  	  0.200  	  0.500
26  	  N  	  0.192  	  0.500
27  	  N  	  0.185  	  0.500
28  	  N  	  0.179  	  0.500
29  	  N  	  0.172  	  0.500
30  	  N  	  0.167  	  0.500
31  	  N  	  0.161  	  0.500
32  	  N  	  0.156  	  0.500
33  	  N  	  0.152  	  0.500
34  	  N  	  0.147  	  0.500
35  	  N  	  0.143  	  0.500
36  	  N  	  0.139  	  0.500
37  	  R  	  0.162  	  0.600
38  	  N  	  0.158  	  0.600
39  	  N  	  0.154  	  0.600
40  	  N  	  0.150  	  0.600
41  	  N  	  0.146  	  0.600
42  	  N  	  0.143  	  0.600
43  	  N  	  0.140  	  0.600
44  	  N  	  0.136  	  0.600
45  	  N  	  0.133  	  0.600
46  	  N  	  0.130  	  0.600
47  	  N  	  0.128  	  0.600
48  	  N  	  0.125  	  0.600
49  	  N  	  0.122  	  0.600
50  	  N  	  0.120  	  0.600
51  	  N  	  0.118  	  0.600
52  	  N  	  0.115  	  0.600
53  	  N  	  0.113  	  0.600
54  	  N  	  0.111  	  0.600
55  	  N  	  0.109  	  0.600
56  	  N  	  0.107  	  0.600
57  	  N  	  0.105  	  0.600
58  	  R  	  0.121  	  0.700
59  	  N  	  0.119  	  0.700
60  	  N  	  0.117  	  0.700
61  	  N  	  0.115  	  0.700
62  	  N  	  0.113  	  0.700
63  	  N  	  0.111  	  0.700
64  	  N  	  0.109  	  0.700
65  	  N  	  0.108  	  0.700
66  	  N  	  0.106  	  0.700
67  	  N  	  0.104  	  0.700
68  	  N  	  0.103  	  0.700
69  	  N  	  0.101  	  0.700
70  	  N  	  0.100  	  0.700
71  	  N  	  0.099  	  0.700
72  	  N  	  0.097  	  0.700
73  	  N  	  0.096  	  0.700
74  	  N  	  0.095  	  0.700
75  	  N  	  0.093  	  0.700
76  	  N  	  0.092  	  0.700
77  	  N  	  0.091  	  0.700
78  	  R  	  0.103  	  0.800
79  	  N  	  0.101  	  0.800
80  	  N  	  0.100  	  0.800
81  	  N  	  0.099  	  0.800
82  	  N  	  0.098  	  0.800
83  	  N  	  0.096  	  0.800
84  	  N  	  0.095  	  0.800
85  	  N  	  0.094  	  0.800
86  	  N  	  0.093  	  0.800
87  	  N  	  0.092  	  0.800
88  	  N  	  0.091  	  0.800
89  	  N  	  0.090  	  0.800
90  	  N  	  0.089  	  0.800
91  	  N  	  0.088  	  0.800
92  	  N  	  0.087  	  0.800
93  	  N  	  0.086  	  0.800
94  	  N  	  0.085  	  0.800
95  	  N  	  0.084  	  0.800
96  	  N  	  0.083  	  0.800
97  	  N  	  0.082  	  0.800
98  	  N  	  0.082  	  0.800
99  	  N  	  0.081  	  0.800
100  	  N  	  0.080  	  0.800
