Query 45: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.038
02  	  R  	  1.000  	  0.077
03  	  N  	  0.667  	  0.077
04  	  R  	  0.750  	  0.115
05  	  N  	  0.600  	  0.115
06  	  N  	  0.500  	  0.115
07  	  N  	  0.429  	  0.115
08  	  N  	  0.375  	  0.115
09  	  N  	  0.333  	  0.115
10  	  N  	  0.300  	  0.115
11  	  R  	  0.364  	  0.154
12  	  N  	  0.333  	  0.154
13  	  N  	  0.308  	  0.154
14  	  R  	  0.357  	  0.192
15  	  N  	  0.333  	  0.192
16  	  N  	  0.312  	  0.192
17  	  N  	  0.294  	  0.192
18  	  N  	  0.278  	  0.192
19  	  N  	  0.263  	  0.192
20  	  N  	  0.250  	  0.192
21  	  R  	  0.286  	  0.231
22  	  N  	  0.273  	  0.231
23  	  N  	  0.261  	  0.231
24  	  N  	  0.250  	  0.231
25  	  N  	  0.240  	  0.231
26  	  N  	  0.231  	  0.231
27  	  N  	  0.222  	  0.231
28  	  N  	  0.214  	  0.231
29  	  N  	  0.207  	  0.231
30  	  N  	  0.200  	  0.231
31  	  N  	  0.194  	  0.231
32  	  N  	  0.188  	  0.231
33  	  N  	  0.182  	  0.231
34  	  N  	  0.176  	  0.231
35  	  N  	  0.171  	  0.231
36  	  N  	  0.167  	  0.231
37  	  R  	  0.189  	  0.269
38  	  N  	  0.184  	  0.269
39  	  R  	  0.205  	  0.308
40  	  N  	  0.200  	  0.308
41  	  N  	  0.195  	  0.308
42  	  N  	  0.190  	  0.308
43  	  N  	  0.186  	  0.308
44  	  N  	  0.182  	  0.308
45  	  N  	  0.178  	  0.308
46  	  R  	  0.196  	  0.346
47  	  N  	  0.191  	  0.346
48  	  N  	  0.188  	  0.346
49  	  N  	  0.184  	  0.346
50  	  R  	  0.200  	  0.385
51  	  N  	  0.196  	  0.385
52  	  N  	  0.192  	  0.385
53  	  R  	  0.208  	  0.423
54  	  N  	  0.204  	  0.423
55  	  N  	  0.200  	  0.423
56  	  R  	  0.214  	  0.462
57  	  N  	  0.211  	  0.462
58  	  N  	  0.207  	  0.462
59  	  R  	  0.220  	  0.500
60  	  N  	  0.217  	  0.500
61  	  N  	  0.213  	  0.500
62  	  N  	  0.210  	  0.500
63  	  N  	  0.206  	  0.500
64  	  N  	  0.203  	  0.500
65  	  N  	  0.200  	  0.500
66  	  N  	  0.197  	  0.500
67  	  N  	  0.194  	  0.500
68  	  N  	  0.191  	  0.500
69  	  N  	  0.188  	  0.500
70  	  N  	  0.186  	  0.500
71  	  N  	  0.183  	  0.500
72  	  N  	  0.181  	  0.500
73  	  N  	  0.178  	  0.500
74  	  N  	  0.176  	  0.500
75  	  N  	  0.173  	  0.500
76  	  N  	  0.171  	  0.500
77  	  N  	  0.169  	  0.500
78  	  N  	  0.167  	  0.500
79  	  R  	  0.177  	  0.538
80  	  N  	  0.175  	  0.538
81  	  N  	  0.173  	  0.538
82  	  N  	  0.171  	  0.538
83  	  N  	  0.169  	  0.538
84  	  N  	  0.167  	  0.538
85  	  N  	  0.165  	  0.538
86  	  N  	  0.163  	  0.538
87  	  N  	  0.161  	  0.538
88  	  N  	  0.159  	  0.538
89  	  N  	  0.157  	  0.538
90  	  N  	  0.156  	  0.538
91  	  N  	  0.154  	  0.538
92  	  R  	  0.163  	  0.577
93  	  R  	  0.172  	  0.615
94  	  R  	  0.181  	  0.654
95  	  N  	  0.179  	  0.654
96  	  N  	  0.177  	  0.654
97  	  N  	  0.175  	  0.654
98  	  N  	  0.173  	  0.654
99  	  N  	  0.172  	  0.654
100  	  N  	  0.170  	  0.654
