Query 5: i d like papers on design and implementation of editing interfaces window managers command interpreters etc the essential issues are human interface design with views on improvements to user efficiency effectiveness and satisfaction

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.125
04  	  N  	  0.250  	  0.125
05  	  N  	  0.200  	  0.125
06  	  N  	  0.167  	  0.125
07  	  R  	  0.286  	  0.250
08  	  N  	  0.250  	  0.250
09  	  N  	  0.222  	  0.250
10  	  N  	  0.200  	  0.250
11  	  N  	  0.182  	  0.250
12  	  N  	  0.167  	  0.250
13  	  N  	  0.154  	  0.250
14  	  N  	  0.143  	  0.250
15  	  N  	  0.133  	  0.250
16  	  N  	  0.125  	  0.250
17  	  N  	  0.118  	  0.250
18  	  N  	  0.111  	  0.250
19  	  N  	  0.105  	  0.250
20  	  N  	  0.100  	  0.250
21  	  N  	  0.095  	  0.250
22  	  N  	  0.091  	  0.250
23  	  R  	  0.130  	  0.375
24  	  N  	  0.125  	  0.375
25  	  N  	  0.120  	  0.375
26  	  N  	  0.115  	  0.375
27  	  N  	  0.111  	  0.375
28  	  N  	  0.107  	  0.375
29  	  N  	  0.103  	  0.375
30  	  N  	  0.100  	  0.375
31  	  N  	  0.097  	  0.375
32  	  N  	  0.094  	  0.375
33  	  N  	  0.091  	  0.375
34  	  N  	  0.088  	  0.375
35  	  N  	  0.086  	  0.375
36  	  N  	  0.083  	  0.375
37  	  N  	  0.081  	  0.375
38  	  N  	  0.079  	  0.375
39  	  N  	  0.077  	  0.375
40  	  N  	  0.075  	  0.375
41  	  N  	  0.073  	  0.375
42  	  N  	  0.071  	  0.375
43  	  N  	  0.070  	  0.375
44  	  N  	  0.068  	  0.375
45  	  N  	  0.067  	  0.375
46  	  N  	  0.065  	  0.375
47  	  N  	  0.064  	  0.375
48  	  N  	  0.062  	  0.375
49  	  N  	  0.061  	  0.375
50  	  N  	  0.060  	  0.375
51  	  N  	  0.059  	  0.375
52  	  N  	  0.058  	  0.375
53  	  N  	  0.057  	  0.375
54  	  N  	  0.056  	  0.375
55  	  N  	  0.055  	  0.375
56  	  N  	  0.054  	  0.375
57  	  N  	  0.053  	  0.375
58  	  N  	  0.052  	  0.375
59  	  N  	  0.051  	  0.375
60  	  N  	  0.050  	  0.375
61  	  N  	  0.049  	  0.375
62  	  N  	  0.048  	  0.375
63  	  N  	  0.048  	  0.375
64  	  N  	  0.047  	  0.375
65  	  N  	  0.046  	  0.375
66  	  N  	  0.045  	  0.375
67  	  N  	  0.045  	  0.375
68  	  N  	  0.044  	  0.375
69  	  N  	  0.043  	  0.375
70  	  N  	  0.043  	  0.375
71  	  N  	  0.042  	  0.375
72  	  N  	  0.042  	  0.375
73  	  N  	  0.041  	  0.375
74  	  N  	  0.041  	  0.375
75  	  N  	  0.040  	  0.375
76  	  N  	  0.039  	  0.375
77  	  N  	  0.039  	  0.375
78  	  N  	  0.038  	  0.375
79  	  N  	  0.038  	  0.375
80  	  N  	  0.037  	  0.375
81  	  N  	  0.037  	  0.375
82  	  N  	  0.037  	  0.375
83  	  R  	  0.048  	  0.500
84  	  N  	  0.048  	  0.500
85  	  N  	  0.047  	  0.500
86  	  N  	  0.047  	  0.500
87  	  N  	  0.046  	  0.500
88  	  N  	  0.045  	  0.500
89  	  N  	  0.045  	  0.500
90  	  N  	  0.044  	  0.500
91  	  N  	  0.044  	  0.500
92  	  N  	  0.043  	  0.500
93  	  N  	  0.043  	  0.500
94  	  N  	  0.043  	  0.500
95  	  N  	  0.042  	  0.500
96  	  N  	  0.042  	  0.500
97  	  N  	  0.041  	  0.500
98  	  N  	  0.041  	  0.500
99  	  N  	  0.040  	  0.500
100  	  N  	  0.040  	  0.500
