Query 58: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.033
04  	  R  	  0.500  	  0.067
05  	  R  	  0.600  	  0.100
06  	  N  	  0.500  	  0.100
07  	  N  	  0.429  	  0.100
08  	  N  	  0.375  	  0.100
09  	  N  	  0.333  	  0.100
10  	  R  	  0.400  	  0.133
11  	  R  	  0.455  	  0.167
12  	  N  	  0.417  	  0.167
13  	  N  	  0.385  	  0.167
14  	  R  	  0.429  	  0.200
15  	  N  	  0.400  	  0.200
16  	  N  	  0.375  	  0.200
17  	  N  	  0.353  	  0.200
18  	  R  	  0.389  	  0.233
19  	  N  	  0.368  	  0.233
20  	  N  	  0.350  	  0.233
21  	  R  	  0.381  	  0.267
22  	  N  	  0.364  	  0.267
23  	  N  	  0.348  	  0.267
24  	  R  	  0.375  	  0.300
25  	  N  	  0.360  	  0.300
26  	  N  	  0.346  	  0.300
27  	  N  	  0.333  	  0.300
28  	  N  	  0.321  	  0.300
29  	  R  	  0.345  	  0.333
30  	  N  	  0.333  	  0.333
31  	  N  	  0.323  	  0.333
32  	  R  	  0.344  	  0.367
33  	  N  	  0.333  	  0.367
34  	  N  	  0.324  	  0.367
35  	  N  	  0.314  	  0.367
36  	  N  	  0.306  	  0.367
37  	  N  	  0.297  	  0.367
38  	  N  	  0.289  	  0.367
39  	  N  	  0.282  	  0.367
40  	  N  	  0.275  	  0.367
41  	  N  	  0.268  	  0.367
42  	  N  	  0.262  	  0.367
43  	  N  	  0.256  	  0.367
44  	  N  	  0.250  	  0.367
45  	  N  	  0.244  	  0.367
46  	  N  	  0.239  	  0.367
47  	  N  	  0.234  	  0.367
48  	  N  	  0.229  	  0.367
49  	  N  	  0.224  	  0.367
50  	  N  	  0.220  	  0.367
51  	  N  	  0.216  	  0.367
52  	  N  	  0.212  	  0.367
53  	  N  	  0.208  	  0.367
54  	  N  	  0.204  	  0.367
55  	  N  	  0.200  	  0.367
56  	  N  	  0.196  	  0.367
57  	  R  	  0.211  	  0.400
58  	  N  	  0.207  	  0.400
59  	  N  	  0.203  	  0.400
60  	  N  	  0.200  	  0.400
61  	  N  	  0.197  	  0.400
62  	  N  	  0.194  	  0.400
63  	  N  	  0.190  	  0.400
64  	  N  	  0.188  	  0.400
65  	  R  	  0.200  	  0.433
66  	  N  	  0.197  	  0.433
67  	  N  	  0.194  	  0.433
68  	  N  	  0.191  	  0.433
69  	  N  	  0.188  	  0.433
70  	  N  	  0.186  	  0.433
71  	  N  	  0.183  	  0.433
72  	  N  	  0.181  	  0.433
73  	  N  	  0.178  	  0.433
74  	  N  	  0.176  	  0.433
75  	  N  	  0.173  	  0.433
76  	  N  	  0.171  	  0.433
77  	  N  	  0.169  	  0.433
78  	  N  	  0.167  	  0.433
79  	  N  	  0.165  	  0.433
80  	  N  	  0.163  	  0.433
81  	  N  	  0.160  	  0.433
82  	  N  	  0.159  	  0.433
83  	  N  	  0.157  	  0.433
84  	  N  	  0.155  	  0.433
85  	  N  	  0.153  	  0.433
86  	  N  	  0.151  	  0.433
87  	  N  	  0.149  	  0.433
88  	  N  	  0.148  	  0.433
89  	  N  	  0.146  	  0.433
90  	  N  	  0.144  	  0.433
91  	  N  	  0.143  	  0.433
92  	  N  	  0.141  	  0.433
93  	  N  	  0.140  	  0.433
94  	  N  	  0.138  	  0.433
95  	  N  	  0.137  	  0.433
96  	  N  	  0.135  	  0.433
97  	  N  	  0.134  	  0.433
98  	  N  	  0.133  	  0.433
99  	  N  	  0.131  	  0.433
100  	  N  	  0.130  	  0.433
