Query 60: hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.037
03  	  N  	  0.333  	  0.037
04  	  R  	  0.500  	  0.074
05  	  N  	  0.400  	  0.074
06  	  N  	  0.333  	  0.074
07  	  N  	  0.286  	  0.074
08  	  N  	  0.250  	  0.074
09  	  N  	  0.222  	  0.074
10  	  N  	  0.200  	  0.074
11  	  N  	  0.182  	  0.074
12  	  N  	  0.167  	  0.074
13  	  N  	  0.154  	  0.074
14  	  N  	  0.143  	  0.074
15  	  N  	  0.133  	  0.074
16  	  N  	  0.125  	  0.074
17  	  R  	  0.176  	  0.111
18  	  N  	  0.167  	  0.111
19  	  N  	  0.158  	  0.111
20  	  R  	  0.200  	  0.148
21  	  N  	  0.190  	  0.148
22  	  N  	  0.182  	  0.148
23  	  R  	  0.217  	  0.185
24  	  R  	  0.250  	  0.222
25  	  R  	  0.280  	  0.259
26  	  N  	  0.269  	  0.259
27  	  N  	  0.259  	  0.259
28  	  N  	  0.250  	  0.259
29  	  N  	  0.241  	  0.259
30  	  N  	  0.233  	  0.259
31  	  N  	  0.226  	  0.259
32  	  N  	  0.219  	  0.259
33  	  N  	  0.212  	  0.259
34  	  N  	  0.206  	  0.259
35  	  N  	  0.200  	  0.259
36  	  N  	  0.194  	  0.259
37  	  N  	  0.189  	  0.259
38  	  N  	  0.184  	  0.259
39  	  N  	  0.179  	  0.259
40  	  N  	  0.175  	  0.259
41  	  N  	  0.171  	  0.259
42  	  N  	  0.167  	  0.259
43  	  N  	  0.163  	  0.259
44  	  R  	  0.182  	  0.296
45  	  N  	  0.178  	  0.296
46  	  N  	  0.174  	  0.296
47  	  N  	  0.170  	  0.296
48  	  N  	  0.167  	  0.296
49  	  R  	  0.184  	  0.333
50  	  N  	  0.180  	  0.333
51  	  N  	  0.176  	  0.333
52  	  N  	  0.173  	  0.333
53  	  N  	  0.170  	  0.333
54  	  N  	  0.167  	  0.333
55  	  N  	  0.164  	  0.333
56  	  N  	  0.161  	  0.333
57  	  N  	  0.158  	  0.333
58  	  N  	  0.155  	  0.333
59  	  R  	  0.169  	  0.370
60  	  N  	  0.167  	  0.370
61  	  N  	  0.164  	  0.370
62  	  N  	  0.161  	  0.370
63  	  N  	  0.159  	  0.370
64  	  N  	  0.156  	  0.370
65  	  R  	  0.169  	  0.407
66  	  N  	  0.167  	  0.407
67  	  N  	  0.164  	  0.407
68  	  N  	  0.162  	  0.407
69  	  N  	  0.159  	  0.407
70  	  R  	  0.171  	  0.444
71  	  N  	  0.169  	  0.444
72  	  N  	  0.167  	  0.444
73  	  N  	  0.164  	  0.444
74  	  R  	  0.176  	  0.481
75  	  N  	  0.173  	  0.481
76  	  N  	  0.171  	  0.481
77  	  N  	  0.169  	  0.481
78  	  N  	  0.167  	  0.481
79  	  N  	  0.165  	  0.481
80  	  N  	  0.163  	  0.481
81  	  N  	  0.160  	  0.481
82  	  N  	  0.159  	  0.481
83  	  N  	  0.157  	  0.481
84  	  N  	  0.155  	  0.481
85  	  N  	  0.153  	  0.481
86  	  N  	  0.151  	  0.481
87  	  N  	  0.149  	  0.481
88  	  N  	  0.148  	  0.481
89  	  N  	  0.146  	  0.481
90  	  N  	  0.144  	  0.481
91  	  N  	  0.143  	  0.481
92  	  N  	  0.141  	  0.481
93  	  N  	  0.140  	  0.481
94  	  N  	  0.138  	  0.481
95  	  N  	  0.137  	  0.481
96  	  N  	  0.135  	  0.481
97  	  N  	  0.134  	  0.481
98  	  N  	  0.133  	  0.481
99  	  N  	  0.131  	  0.481
100  	  N  	  0.130  	  0.481
