Query 10: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.029
02  	  R  	  1.000  	  0.057
03  	  R  	  1.000  	  0.086
04  	  N  	  0.750  	  0.086
05  	  N  	  0.600  	  0.086
06  	  R  	  0.667  	  0.114
07  	  N  	  0.571  	  0.114
08  	  R  	  0.625  	  0.143
09  	  N  	  0.556  	  0.143
10  	  R  	  0.600  	  0.171
11  	  N  	  0.545  	  0.171
12  	  N  	  0.500  	  0.171
13  	  R  	  0.538  	  0.200
14  	  R  	  0.571  	  0.229
15  	  R  	  0.600  	  0.257
16  	  N  	  0.562  	  0.257
17  	  N  	  0.529  	  0.257
18  	  N  	  0.500  	  0.257
19  	  N  	  0.474  	  0.257
20  	  N  	  0.450  	  0.257
21  	  N  	  0.429  	  0.257
22  	  R  	  0.455  	  0.286
23  	  R  	  0.478  	  0.314
24  	  N  	  0.458  	  0.314
25  	  R  	  0.480  	  0.343
26  	  N  	  0.462  	  0.343
27  	  R  	  0.481  	  0.371
28  	  N  	  0.464  	  0.371
29  	  R  	  0.483  	  0.400
30  	  N  	  0.467  	  0.400
31  	  N  	  0.452  	  0.400
32  	  R  	  0.469  	  0.429
33  	  R  	  0.485  	  0.457
34  	  N  	  0.471  	  0.457
35  	  N  	  0.457  	  0.457
36  	  N  	  0.444  	  0.457
37  	  N  	  0.432  	  0.457
38  	  N  	  0.421  	  0.457
39  	  N  	  0.410  	  0.457
40  	  N  	  0.400  	  0.457
41  	  N  	  0.390  	  0.457
42  	  N  	  0.381  	  0.457
43  	  N  	  0.372  	  0.457
44  	  N  	  0.364  	  0.457
45  	  N  	  0.356  	  0.457
46  	  N  	  0.348  	  0.457
47  	  N  	  0.340  	  0.457
48  	  N  	  0.333  	  0.457
49  	  N  	  0.327  	  0.457
50  	  N  	  0.320  	  0.457
51  	  N  	  0.314  	  0.457
52  	  N  	  0.308  	  0.457
53  	  N  	  0.302  	  0.457
54  	  N  	  0.296  	  0.457
55  	  R  	  0.309  	  0.486
56  	  N  	  0.304  	  0.486
57  	  N  	  0.298  	  0.486
58  	  N  	  0.293  	  0.486
59  	  N  	  0.288  	  0.486
60  	  N  	  0.283  	  0.486
61  	  N  	  0.279  	  0.486
62  	  N  	  0.274  	  0.486
63  	  N  	  0.270  	  0.486
64  	  N  	  0.266  	  0.486
65  	  N  	  0.262  	  0.486
66  	  N  	  0.258  	  0.486
67  	  N  	  0.254  	  0.486
68  	  N  	  0.250  	  0.486
69  	  N  	  0.246  	  0.486
70  	  N  	  0.243  	  0.486
71  	  N  	  0.239  	  0.486
72  	  N  	  0.236  	  0.486
73  	  N  	  0.233  	  0.486
74  	  N  	  0.230  	  0.486
75  	  N  	  0.227  	  0.486
76  	  N  	  0.224  	  0.486
77  	  N  	  0.221  	  0.486
78  	  N  	  0.218  	  0.486
79  	  N  	  0.215  	  0.486
80  	  N  	  0.212  	  0.486
81  	  R  	  0.222  	  0.514
82  	  N  	  0.220  	  0.514
83  	  R  	  0.229  	  0.543
84  	  N  	  0.226  	  0.543
85  	  N  	  0.224  	  0.543
86  	  R  	  0.233  	  0.571
87  	  N  	  0.230  	  0.571
88  	  N  	  0.227  	  0.571
89  	  N  	  0.225  	  0.571
90  	  N  	  0.222  	  0.571
91  	  N  	  0.220  	  0.571
92  	  N  	  0.217  	  0.571
93  	  N  	  0.215  	  0.571
94  	  N  	  0.213  	  0.571
95  	  N  	  0.211  	  0.571
96  	  N  	  0.208  	  0.571
97  	  N  	  0.206  	  0.571
98  	  N  	  0.204  	  0.571
99  	  N  	  0.202  	  0.571
100  	  N  	  0.200  	  0.571
