Query 11: setl very high level languages

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.053
02  	  R  	  1.000  	  0.105
03  	  N  	  0.667  	  0.105
04  	  N  	  0.500  	  0.105
05  	  R  	  0.600  	  0.158
06  	  N  	  0.500  	  0.158
07  	  N  	  0.429  	  0.158
08  	  N  	  0.375  	  0.158
09  	  N  	  0.333  	  0.158
10  	  N  	  0.300  	  0.158
11  	  R  	  0.364  	  0.211
12  	  N  	  0.333  	  0.211
13  	  R  	  0.385  	  0.263
14  	  N  	  0.357  	  0.263
15  	  N  	  0.333  	  0.263
16  	  R  	  0.375  	  0.316
17  	  R  	  0.412  	  0.368
18  	  N  	  0.389  	  0.368
19  	  N  	  0.368  	  0.368
20  	  N  	  0.350  	  0.368
21  	  N  	  0.333  	  0.368
22  	  R  	  0.364  	  0.421
23  	  R  	  0.391  	  0.474
24  	  N  	  0.375  	  0.474
25  	  R  	  0.400  	  0.526
26  	  N  	  0.385  	  0.526
27  	  N  	  0.370  	  0.526
28  	  N  	  0.357  	  0.526
29  	  N  	  0.345  	  0.526
30  	  N  	  0.333  	  0.526
31  	  R  	  0.355  	  0.579
32  	  N  	  0.344  	  0.579
33  	  N  	  0.333  	  0.579
34  	  N  	  0.324  	  0.579
35  	  N  	  0.314  	  0.579
36  	  N  	  0.306  	  0.579
37  	  R  	  0.324  	  0.632
38  	  N  	  0.316  	  0.632
39  	  N  	  0.308  	  0.632
40  	  N  	  0.300  	  0.632
41  	  N  	  0.293  	  0.632
42  	  N  	  0.286  	  0.632
43  	  N  	  0.279  	  0.632
44  	  N  	  0.273  	  0.632
45  	  N  	  0.267  	  0.632
46  	  N  	  0.261  	  0.632
47  	  N  	  0.255  	  0.632
48  	  N  	  0.250  	  0.632
49  	  N  	  0.245  	  0.632
50  	  N  	  0.240  	  0.632
51  	  N  	  0.235  	  0.632
52  	  N  	  0.231  	  0.632
53  	  N  	  0.226  	  0.632
54  	  N  	  0.222  	  0.632
55  	  N  	  0.218  	  0.632
56  	  N  	  0.214  	  0.632
57  	  N  	  0.211  	  0.632
58  	  N  	  0.207  	  0.632
59  	  N  	  0.203  	  0.632
60  	  N  	  0.200  	  0.632
61  	  N  	  0.197  	  0.632
62  	  N  	  0.194  	  0.632
63  	  N  	  0.190  	  0.632
64  	  N  	  0.188  	  0.632
65  	  N  	  0.185  	  0.632
66  	  N  	  0.182  	  0.632
67  	  N  	  0.179  	  0.632
68  	  N  	  0.176  	  0.632
69  	  N  	  0.174  	  0.632
70  	  N  	  0.171  	  0.632
71  	  N  	  0.169  	  0.632
72  	  N  	  0.167  	  0.632
73  	  N  	  0.164  	  0.632
74  	  N  	  0.162  	  0.632
75  	  N  	  0.160  	  0.632
76  	  N  	  0.158  	  0.632
77  	  N  	  0.156  	  0.632
78  	  N  	  0.154  	  0.632
79  	  N  	  0.152  	  0.632
80  	  N  	  0.150  	  0.632
81  	  N  	  0.148  	  0.632
82  	  N  	  0.146  	  0.632
83  	  N  	  0.145  	  0.632
84  	  N  	  0.143  	  0.632
85  	  N  	  0.141  	  0.632
86  	  N  	  0.140  	  0.632
87  	  N  	  0.138  	  0.632
88  	  N  	  0.136  	  0.632
89  	  N  	  0.135  	  0.632
90  	  N  	  0.133  	  0.632
91  	  N  	  0.132  	  0.632
92  	  N  	  0.130  	  0.632
93  	  N  	  0.129  	  0.632
94  	  N  	  0.128  	  0.632
95  	  N  	  0.126  	  0.632
96  	  N  	  0.125  	  0.632
97  	  N  	  0.124  	  0.632
98  	  N  	  0.122  	  0.632
99  	  N  	  0.121  	  0.632
100  	  N  	  0.120  	  0.632
