Query 14: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  R  	  0.143  	  0.023
08  	  N  	  0.125  	  0.023
09  	  N  	  0.111  	  0.023
10  	  N  	  0.100  	  0.023
11  	  N  	  0.091  	  0.023
12  	  R  	  0.167  	  0.045
13  	  N  	  0.154  	  0.045
14  	  N  	  0.143  	  0.045
15  	  N  	  0.133  	  0.045
16  	  N  	  0.125  	  0.045
17  	  N  	  0.118  	  0.045
18  	  N  	  0.111  	  0.045
19  	  N  	  0.105  	  0.045
20  	  N  	  0.100  	  0.045
21  	  N  	  0.095  	  0.045
22  	  N  	  0.091  	  0.045
23  	  N  	  0.087  	  0.045
24  	  R  	  0.125  	  0.068
25  	  N  	  0.120  	  0.068
26  	  N  	  0.115  	  0.068
27  	  N  	  0.111  	  0.068
28  	  R  	  0.143  	  0.091
29  	  N  	  0.138  	  0.091
30  	  N  	  0.133  	  0.091
31  	  N  	  0.129  	  0.091
32  	  N  	  0.125  	  0.091
33  	  N  	  0.121  	  0.091
34  	  N  	  0.118  	  0.091
35  	  N  	  0.114  	  0.091
36  	  N  	  0.111  	  0.091
37  	  N  	  0.108  	  0.091
38  	  N  	  0.105  	  0.091
39  	  N  	  0.103  	  0.091
40  	  N  	  0.100  	  0.091
41  	  N  	  0.098  	  0.091
42  	  R  	  0.119  	  0.114
43  	  N  	  0.116  	  0.114
44  	  N  	  0.114  	  0.114
45  	  N  	  0.111  	  0.114
46  	  N  	  0.109  	  0.114
47  	  N  	  0.106  	  0.114
48  	  N  	  0.104  	  0.114
49  	  N  	  0.102  	  0.114
50  	  N  	  0.100  	  0.114
51  	  N  	  0.098  	  0.114
52  	  N  	  0.096  	  0.114
53  	  R  	  0.113  	  0.136
54  	  N  	  0.111  	  0.136
55  	  R  	  0.127  	  0.159
56  	  N  	  0.125  	  0.159
57  	  N  	  0.123  	  0.159
58  	  N  	  0.121  	  0.159
59  	  N  	  0.119  	  0.159
60  	  N  	  0.117  	  0.159
61  	  N  	  0.115  	  0.159
62  	  N  	  0.113  	  0.159
63  	  N  	  0.111  	  0.159
64  	  N  	  0.109  	  0.159
65  	  N  	  0.108  	  0.159
66  	  N  	  0.106  	  0.159
67  	  N  	  0.104  	  0.159
68  	  N  	  0.103  	  0.159
69  	  N  	  0.101  	  0.159
70  	  N  	  0.100  	  0.159
71  	  N  	  0.099  	  0.159
72  	  R  	  0.111  	  0.182
73  	  N  	  0.110  	  0.182
74  	  N  	  0.108  	  0.182
75  	  N  	  0.107  	  0.182
76  	  N  	  0.105  	  0.182
77  	  N  	  0.104  	  0.182
78  	  N  	  0.103  	  0.182
79  	  N  	  0.101  	  0.182
80  	  N  	  0.100  	  0.182
81  	  N  	  0.099  	  0.182
82  	  N  	  0.098  	  0.182
83  	  N  	  0.096  	  0.182
84  	  N  	  0.095  	  0.182
85  	  N  	  0.094  	  0.182
86  	  N  	  0.093  	  0.182
87  	  N  	  0.092  	  0.182
88  	  N  	  0.091  	  0.182
89  	  N  	  0.090  	  0.182
90  	  N  	  0.089  	  0.182
91  	  N  	  0.088  	  0.182
92  	  N  	  0.087  	  0.182
93  	  N  	  0.086  	  0.182
94  	  N  	  0.085  	  0.182
95  	  N  	  0.084  	  0.182
96  	  N  	  0.083  	  0.182
97  	  N  	  0.082  	  0.182
98  	  N  	  0.082  	  0.182
99  	  N  	  0.081  	  0.182
100  	  N  	  0.080  	  0.182
