Query 17: optimization of intermediate and machine code

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.062
02  	  N  	  0.500  	  0.062
03  	  R  	  0.667  	  0.125
04  	  N  	  0.500  	  0.125
05  	  R  	  0.600  	  0.188
06  	  N  	  0.500  	  0.188
07  	  N  	  0.429  	  0.188
08  	  N  	  0.375  	  0.188
09  	  N  	  0.333  	  0.188
10  	  N  	  0.300  	  0.188
11  	  N  	  0.273  	  0.188
12  	  N  	  0.250  	  0.188
13  	  N  	  0.231  	  0.188
14  	  R  	  0.286  	  0.250
15  	  N  	  0.267  	  0.250
16  	  N  	  0.250  	  0.250
17  	  N  	  0.235  	  0.250
18  	  N  	  0.222  	  0.250
19  	  R  	  0.263  	  0.312
20  	  N  	  0.250  	  0.312
21  	  N  	  0.238  	  0.312
22  	  N  	  0.227  	  0.312
23  	  N  	  0.217  	  0.312
24  	  N  	  0.208  	  0.312
25  	  N  	  0.200  	  0.312
26  	  N  	  0.192  	  0.312
27  	  N  	  0.185  	  0.312
28  	  N  	  0.179  	  0.312
29  	  N  	  0.172  	  0.312
30  	  N  	  0.167  	  0.312
31  	  N  	  0.161  	  0.312
32  	  N  	  0.156  	  0.312
33  	  N  	  0.152  	  0.312
34  	  N  	  0.147  	  0.312
35  	  N  	  0.143  	  0.312
36  	  N  	  0.139  	  0.312
37  	  N  	  0.135  	  0.312
38  	  N  	  0.132  	  0.312
39  	  N  	  0.128  	  0.312
40  	  N  	  0.125  	  0.312
41  	  N  	  0.122  	  0.312
42  	  N  	  0.119  	  0.312
43  	  N  	  0.116  	  0.312
44  	  N  	  0.114  	  0.312
45  	  R  	  0.133  	  0.375
46  	  N  	  0.130  	  0.375
47  	  N  	  0.128  	  0.375
48  	  N  	  0.125  	  0.375
49  	  N  	  0.122  	  0.375
50  	  N  	  0.120  	  0.375
51  	  N  	  0.118  	  0.375
52  	  N  	  0.115  	  0.375
53  	  N  	  0.113  	  0.375
54  	  N  	  0.111  	  0.375
55  	  N  	  0.109  	  0.375
56  	  N  	  0.107  	  0.375
57  	  N  	  0.105  	  0.375
58  	  N  	  0.103  	  0.375
59  	  N  	  0.102  	  0.375
60  	  N  	  0.100  	  0.375
61  	  N  	  0.098  	  0.375
62  	  N  	  0.097  	  0.375
63  	  N  	  0.095  	  0.375
64  	  N  	  0.094  	  0.375
65  	  N  	  0.092  	  0.375
66  	  N  	  0.091  	  0.375
67  	  N  	  0.090  	  0.375
68  	  N  	  0.088  	  0.375
69  	  N  	  0.087  	  0.375
70  	  N  	  0.086  	  0.375
71  	  N  	  0.085  	  0.375
72  	  N  	  0.083  	  0.375
73  	  N  	  0.082  	  0.375
74  	  N  	  0.081  	  0.375
75  	  N  	  0.080  	  0.375
76  	  N  	  0.079  	  0.375
77  	  N  	  0.078  	  0.375
78  	  N  	  0.077  	  0.375
79  	  N  	  0.076  	  0.375
80  	  N  	  0.075  	  0.375
81  	  N  	  0.074  	  0.375
82  	  N  	  0.073  	  0.375
83  	  N  	  0.072  	  0.375
84  	  N  	  0.071  	  0.375
85  	  N  	  0.071  	  0.375
86  	  N  	  0.070  	  0.375
87  	  N  	  0.069  	  0.375
88  	  N  	  0.068  	  0.375
89  	  N  	  0.067  	  0.375
90  	  N  	  0.067  	  0.375
91  	  N  	  0.066  	  0.375
92  	  N  	  0.065  	  0.375
93  	  N  	  0.065  	  0.375
94  	  N  	  0.064  	  0.375
95  	  N  	  0.063  	  0.375
96  	  N  	  0.062  	  0.375
97  	  N  	  0.062  	  0.375
98  	  N  	  0.061  	  0.375
99  	  N  	  0.061  	  0.375
100  	  N  	  0.060  	  0.375
