Query 25: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.020
02  	  N  	  0.500  	  0.020
03  	  R  	  0.667  	  0.039
04  	  R  	  0.750  	  0.059
05  	  N  	  0.600  	  0.059
06  	  R  	  0.667  	  0.078
07  	  R  	  0.714  	  0.098
08  	  N  	  0.625  	  0.098
09  	  N  	  0.556  	  0.098
10  	  R  	  0.600  	  0.118
11  	  R  	  0.636  	  0.137
12  	  N  	  0.583  	  0.137
13  	  N  	  0.538  	  0.137
14  	  N  	  0.500  	  0.137
15  	  N  	  0.467  	  0.137
16  	  N  	  0.438  	  0.137
17  	  N  	  0.412  	  0.137
18  	  N  	  0.389  	  0.137
19  	  R  	  0.421  	  0.157
20  	  N  	  0.400  	  0.157
21  	  N  	  0.381  	  0.157
22  	  R  	  0.409  	  0.176
23  	  N  	  0.391  	  0.176
24  	  N  	  0.375  	  0.176
25  	  N  	  0.360  	  0.176
26  	  N  	  0.346  	  0.176
27  	  N  	  0.333  	  0.176
28  	  N  	  0.321  	  0.176
29  	  N  	  0.310  	  0.176
30  	  N  	  0.300  	  0.176
31  	  R  	  0.323  	  0.196
32  	  R  	  0.344  	  0.216
33  	  N  	  0.333  	  0.216
34  	  N  	  0.324  	  0.216
35  	  R  	  0.343  	  0.235
36  	  N  	  0.333  	  0.235
37  	  R  	  0.351  	  0.255
38  	  N  	  0.342  	  0.255
39  	  N  	  0.333  	  0.255
40  	  N  	  0.325  	  0.255
41  	  R  	  0.341  	  0.275
42  	  N  	  0.333  	  0.275
43  	  R  	  0.349  	  0.294
44  	  N  	  0.341  	  0.294
45  	  N  	  0.333  	  0.294
46  	  N  	  0.326  	  0.294
47  	  N  	  0.319  	  0.294
48  	  N  	  0.312  	  0.294
49  	  R  	  0.327  	  0.314
50  	  N  	  0.320  	  0.314
51  	  R  	  0.333  	  0.333
52  	  N  	  0.327  	  0.333
53  	  N  	  0.321  	  0.333
54  	  N  	  0.315  	  0.333
55  	  N  	  0.309  	  0.333
56  	  N  	  0.304  	  0.333
57  	  N  	  0.298  	  0.333
58  	  N  	  0.293  	  0.333
59  	  N  	  0.288  	  0.333
60  	  N  	  0.283  	  0.333
61  	  N  	  0.279  	  0.333
62  	  N  	  0.274  	  0.333
63  	  N  	  0.270  	  0.333
64  	  N  	  0.266  	  0.333
65  	  N  	  0.262  	  0.333
66  	  R  	  0.273  	  0.353
67  	  N  	  0.269  	  0.353
68  	  R  	  0.279  	  0.373
69  	  N  	  0.275  	  0.373
70  	  N  	  0.271  	  0.373
71  	  N  	  0.268  	  0.373
72  	  N  	  0.264  	  0.373
73  	  N  	  0.260  	  0.373
74  	  N  	  0.257  	  0.373
75  	  N  	  0.253  	  0.373
76  	  N  	  0.250  	  0.373
77  	  N  	  0.247  	  0.373
78  	  R  	  0.256  	  0.392
79  	  N  	  0.253  	  0.392
80  	  N  	  0.250  	  0.392
81  	  N  	  0.247  	  0.392
82  	  N  	  0.244  	  0.392
83  	  N  	  0.241  	  0.392
84  	  N  	  0.238  	  0.392
85  	  N  	  0.235  	  0.392
86  	  N  	  0.233  	  0.392
87  	  N  	  0.230  	  0.392
88  	  N  	  0.227  	  0.392
89  	  N  	  0.225  	  0.392
90  	  N  	  0.222  	  0.392
91  	  N  	  0.220  	  0.392
92  	  N  	  0.217  	  0.392
93  	  N  	  0.215  	  0.392
94  	  N  	  0.213  	  0.392
95  	  N  	  0.211  	  0.392
96  	  N  	  0.208  	  0.392
97  	  R  	  0.216  	  0.412
98  	  N  	  0.214  	  0.412
99  	  N  	  0.212  	  0.412
100  	  N  	  0.210  	  0.412
