Query 27: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.034
02  	  N  	  0.500  	  0.034
03  	  R  	  0.667  	  0.069
04  	  N  	  0.500  	  0.069
05  	  N  	  0.400  	  0.069
06  	  N  	  0.333  	  0.069
07  	  N  	  0.286  	  0.069
08  	  R  	  0.375  	  0.103
09  	  N  	  0.333  	  0.103
10  	  N  	  0.300  	  0.103
11  	  N  	  0.273  	  0.103
12  	  R  	  0.333  	  0.138
13  	  R  	  0.385  	  0.172
14  	  N  	  0.357  	  0.172
15  	  N  	  0.333  	  0.172
16  	  N  	  0.312  	  0.172
17  	  N  	  0.294  	  0.172
18  	  N  	  0.278  	  0.172
19  	  R  	  0.316  	  0.207
20  	  R  	  0.350  	  0.241
21  	  N  	  0.333  	  0.241
22  	  N  	  0.318  	  0.241
23  	  R  	  0.348  	  0.276
24  	  N  	  0.333  	  0.276
25  	  N  	  0.320  	  0.276
26  	  R  	  0.346  	  0.310
27  	  N  	  0.333  	  0.310
28  	  N  	  0.321  	  0.310
29  	  N  	  0.310  	  0.310
30  	  N  	  0.300  	  0.310
31  	  N  	  0.290  	  0.310
32  	  N  	  0.281  	  0.310
33  	  N  	  0.273  	  0.310
34  	  N  	  0.265  	  0.310
35  	  N  	  0.257  	  0.310
36  	  N  	  0.250  	  0.310
37  	  N  	  0.243  	  0.310
38  	  N  	  0.237  	  0.310
39  	  N  	  0.231  	  0.310
40  	  N  	  0.225  	  0.310
41  	  N  	  0.220  	  0.310
42  	  N  	  0.214  	  0.310
43  	  R  	  0.233  	  0.345
44  	  N  	  0.227  	  0.345
45  	  N  	  0.222  	  0.345
46  	  N  	  0.217  	  0.345
47  	  N  	  0.213  	  0.345
48  	  R  	  0.229  	  0.379
49  	  N  	  0.224  	  0.379
50  	  N  	  0.220  	  0.379
51  	  N  	  0.216  	  0.379
52  	  N  	  0.212  	  0.379
53  	  R  	  0.226  	  0.414
54  	  N  	  0.222  	  0.414
55  	  N  	  0.218  	  0.414
56  	  N  	  0.214  	  0.414
57  	  N  	  0.211  	  0.414
58  	  N  	  0.207  	  0.414
59  	  N  	  0.203  	  0.414
60  	  N  	  0.200  	  0.414
61  	  N  	  0.197  	  0.414
62  	  N  	  0.194  	  0.414
63  	  N  	  0.190  	  0.414
64  	  N  	  0.188  	  0.414
65  	  N  	  0.185  	  0.414
66  	  N  	  0.182  	  0.414
67  	  R  	  0.194  	  0.448
68  	  N  	  0.191  	  0.448
69  	  N  	  0.188  	  0.448
70  	  N  	  0.186  	  0.448
71  	  N  	  0.183  	  0.448
72  	  N  	  0.181  	  0.448
73  	  N  	  0.178  	  0.448
74  	  N  	  0.176  	  0.448
75  	  N  	  0.173  	  0.448
76  	  N  	  0.171  	  0.448
77  	  N  	  0.169  	  0.448
78  	  N  	  0.167  	  0.448
79  	  N  	  0.165  	  0.448
80  	  N  	  0.163  	  0.448
81  	  N  	  0.160  	  0.448
82  	  N  	  0.159  	  0.448
83  	  N  	  0.157  	  0.448
84  	  N  	  0.155  	  0.448
85  	  N  	  0.153  	  0.448
86  	  N  	  0.151  	  0.448
87  	  N  	  0.149  	  0.448
88  	  N  	  0.148  	  0.448
89  	  N  	  0.146  	  0.448
90  	  N  	  0.144  	  0.448
91  	  N  	  0.143  	  0.448
92  	  N  	  0.141  	  0.448
93  	  N  	  0.140  	  0.448
94  	  N  	  0.138  	  0.448
95  	  N  	  0.137  	  0.448
96  	  N  	  0.135  	  0.448
97  	  R  	  0.144  	  0.483
98  	  N  	  0.143  	  0.483
99  	  N  	  0.141  	  0.483
100  	  N  	  0.140  	  0.483
