Query 36: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.050
03  	  N  	  0.333  	  0.050
04  	  N  	  0.250  	  0.050
05  	  R  	  0.400  	  0.100
06  	  N  	  0.333  	  0.100
07  	  N  	  0.286  	  0.100
08  	  R  	  0.375  	  0.150
09  	  R  	  0.444  	  0.200
10  	  N  	  0.400  	  0.200
11  	  R  	  0.455  	  0.250
12  	  N  	  0.417  	  0.250
13  	  R  	  0.462  	  0.300
14  	  R  	  0.500  	  0.350
15  	  N  	  0.467  	  0.350
16  	  R  	  0.500  	  0.400
17  	  N  	  0.471  	  0.400
18  	  R  	  0.500  	  0.450
19  	  R  	  0.526  	  0.500
20  	  R  	  0.550  	  0.550
21  	  R  	  0.571  	  0.600
22  	  N  	  0.545  	  0.600
23  	  N  	  0.522  	  0.600
24  	  N  	  0.500  	  0.600
25  	  N  	  0.480  	  0.600
26  	  R  	  0.500  	  0.650
27  	  N  	  0.481  	  0.650
28  	  N  	  0.464  	  0.650
29  	  R  	  0.483  	  0.700
30  	  N  	  0.467  	  0.700
31  	  N  	  0.452  	  0.700
32  	  N  	  0.438  	  0.700
33  	  N  	  0.424  	  0.700
34  	  N  	  0.412  	  0.700
35  	  N  	  0.400  	  0.700
36  	  N  	  0.389  	  0.700
37  	  N  	  0.378  	  0.700
38  	  R  	  0.395  	  0.750
39  	  N  	  0.385  	  0.750
40  	  N  	  0.375  	  0.750
41  	  N  	  0.366  	  0.750
42  	  N  	  0.357  	  0.750
43  	  N  	  0.349  	  0.750
44  	  N  	  0.341  	  0.750
45  	  N  	  0.333  	  0.750
46  	  N  	  0.326  	  0.750
47  	  N  	  0.319  	  0.750
48  	  N  	  0.312  	  0.750
49  	  N  	  0.306  	  0.750
50  	  N  	  0.300  	  0.750
51  	  N  	  0.294  	  0.750
52  	  N  	  0.288  	  0.750
53  	  N  	  0.283  	  0.750
54  	  N  	  0.278  	  0.750
55  	  R  	  0.291  	  0.800
56  	  N  	  0.286  	  0.800
57  	  N  	  0.281  	  0.800
58  	  N  	  0.276  	  0.800
59  	  N  	  0.271  	  0.800
60  	  N  	  0.267  	  0.800
61  	  N  	  0.262  	  0.800
62  	  N  	  0.258  	  0.800
63  	  N  	  0.254  	  0.800
64  	  N  	  0.250  	  0.800
65  	  N  	  0.246  	  0.800
66  	  N  	  0.242  	  0.800
67  	  N  	  0.239  	  0.800
68  	  N  	  0.235  	  0.800
69  	  N  	  0.232  	  0.800
70  	  N  	  0.229  	  0.800
71  	  N  	  0.225  	  0.800
72  	  N  	  0.222  	  0.800
73  	  N  	  0.219  	  0.800
74  	  N  	  0.216  	  0.800
75  	  N  	  0.213  	  0.800
76  	  N  	  0.211  	  0.800
77  	  N  	  0.208  	  0.800
78  	  N  	  0.205  	  0.800
79  	  N  	  0.203  	  0.800
80  	  N  	  0.200  	  0.800
81  	  N  	  0.198  	  0.800
82  	  N  	  0.195  	  0.800
83  	  N  	  0.193  	  0.800
84  	  N  	  0.190  	  0.800
85  	  N  	  0.188  	  0.800
86  	  N  	  0.186  	  0.800
87  	  N  	  0.184  	  0.800
88  	  N  	  0.182  	  0.800
89  	  N  	  0.180  	  0.800
90  	  N  	  0.178  	  0.800
91  	  N  	  0.176  	  0.800
92  	  N  	  0.174  	  0.800
93  	  N  	  0.172  	  0.800
94  	  N  	  0.170  	  0.800
95  	  N  	  0.168  	  0.800
96  	  N  	  0.167  	  0.800
97  	  N  	  0.165  	  0.800
98  	  N  	  0.163  	  0.800
99  	  N  	  0.162  	  0.800
100  	  N  	  0.160  	  0.800
